title,job_url,company,location,posted_date,salary
Senior Java Engineer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0D_XFSRfOpY7hhzl86VUrgfgdzYRVdqdkK81Ka1OFk9usYS51D0gM4gU8dJnU8cffYrOJfFV0fuG7sCpE-W-0sZ6frfuasz_hRd-Dpcaw-f4QIShkYQG5zXdNunfz-9887opgXeSNJJniF9HJyKPp5TPDNnG0IN6xEHvm1AHVrs67cJ0hVgZdpux5VTsg5I5r8SIrnZjLyBH4dWkpFX_9_9oZ_yGSXnIlxusap5S4lkJU0xoOZSdhrNkVOUKGu1s91VzHBf_VqJlzg8LGxUG1uc0eKvINLmCSOHzNBIqAK4Cgv4yd_hH6d7xQjVRpLfnnLSd4_3T51eyOEnWCBzSQjoqJu_6KyGI6uzkRX_Y8DLing6QURQKnc8HDi6xFrIK65Pb2ikRtQ-xHZPSHO4oVSbxPOCu1Wq_lp0JcFXRDAQablazWb9Oig3fjbUde_gulosf-BhoJzJWp5gJjbKaAvSL7VwBzD9URQIZ_9XmYWGtWrq6tQjmFL_9j3OavLdq038WQR39YJmw8S8DWlKf2OEJrHjBNNr21OBxhBYO5NK9a8JghKKznXZOrTqwSd_NFbDNHb3Q__5bF65rdiklkacgcGY3yxIUbPnnWD7ph5p4T_gQUFP_i2oCLoVH6lpJzU%3D%26xkcb%3DSoCf-_M3WoFAA7Wng50KbzkdCdPP%26p%3D0%26atk%3D1gj86jukln7or800%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D8bdbbd48d79a47b2%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj86juk6n7or806%26atk%3D1gj86jukln7or800%26spon%3D1%26where%3DNew+York+NY%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,Publicis Groupe,"New York, NY 10014", 6 days ago,Estimated $115K - $146K a year
Software Developer (.Net),https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0Am50SEfGsaGmyNeKPd7ko_8hilgxRoP_Og8MigYgeNqQQHogPEkP31x4of0IfUz5kXWNInwA74GRTMcUQk4VI6KBnaAh3fCVyMsQjhvMXhER_fNh-BWEysDjNxXM5qNU27jKAGwKegf5X4HCtmsVdHN0Hmqq-eTU3H_xatfFhi_ZanpCjVkwbG5AYKnzn6rWOZrgE0hdg1VQwXnwnqz6jIOb4lAxEd4Xm8sSLnNbDoCnvJKNhc6FjIcGC1pitmtOsuNUHfxeL9aEhKqlV5SFGEx1D6fPUhqsvt8mKqpF2QINAHhJLxm7qAIJLy7i8K8xg0uTi906mbFX1rCuc6ypXEya9s_Ww0iTrFQOC9JwchhB4frnw7-t1cIF28J9mn9tIUAcfMmho6ScDnGT-uV0wGIXr5kzkdG0QUUi_m4nk5DAq_ohYbTg3duW1rS0MHPT08TQ2bp0N69vy0J2WOypxXWGETE9LrQt27xfEiBln2lobsd49hAU3ArtIW-bvXGyC08fPMU1chC3Re6dfuK-A5Z8HwIQfCw2CfJr-yZX5tIYB6c2x6vUof%26xkcb%3DSoC2-_M3WoFAA7Wng50IbzkdCdPP%26p%3D1%26atk%3D1gj86jukln7or800%26prevUrl%3Dhttps%253A%252F%252Fwww.indeed.com%252Fm%252Fjobs%253Fq%253DSoftware%252BEngineer%2526start%253D0%2526l%253DNew%252BYork%252BNY%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D0424f64434637cd6%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj86juk6n7or806%26atk%3D1gj86jukln7or800%26spon%3D1%26where%3DNew+York+NY%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,"Newsmax Media, Inc.","Hybrid remote in New York, NY 10022", 2 days ago,
Senior Software Engineer (Targeting Innovation),https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0DAFTyt7pbDCC2JPO79CSdi1dIb81yjczP5qsKcZIxgiYm3-7g-689UM0rgypL64cp65W3jBsUEdE0Cnpg4sqbpS12SvbEytUa-YyoeyRuCOaoTYAHZk6jIgBnRcNw2tQ3Qa85zZr_hHmDGZzA2UptrSolH9zLq4OuucQ5BaXk_Q5q-7H4_o7nZj07mTf8ZmGbWm0fH2J7CxFvMi4_cXILO6gJJsUhe-AREd6RbiTRaLwKfC9jFP6lcnL_9Ij1y8cdpey9NbNCkhJebZInfyxHXTvO1ul_IAjrlc--1nX0G2CEr2aFqJ-tPD4zcRpWlUsYoUlbcbE-obGpJDfirttnkCIqoI5tqux2T1yR_ATtAXfL3HVqCaosyvuzKZcCE-BbEb2IaXCKjvSrOJuOlbQQnsWEjAAAdAVnVBnLcgxh8iQTmF6VV_X6fqrdpvXGzTfzzaXhzetpQjvClxXJvNHBMvGY_3pBPDp6e0kHE-6hD4A%3D%3D%26xkcb%3DSoAR-_M3WoFAA7Wng50NbzkdCdPP%26p%3D2%26atk%3D1gj86jukln7or800%26prforceGroups%3D%26from%3Dserp&mclk=jk%3Dfeb5627e38b022c3%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj86juk6n7or806%26atk%3D1gj86jukln7or800%26spon%3D1%26where%3DNew+York+NY%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,Disney Media & Entertainment Distribution,"Remote in New York, NY 10012", 3 days ago,
Lead Front End Software Engineer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0DAFTyt7pbDCC2JPO79CSdi1dIb81yjczP5qsKcZIxgiYm3-7g-689UM0rgypL64cplWh3rRQ4FQi8TokIRg1GnOPj4wKCG-Rrxn_uzhOe-uQuMusrcelO5p3_zZXMBy8CdMLS0HX_K7ncuKvBxfslsB4YeZHd4Oz0bt7yrvRLdY5faRn5hCWIizQaUVinZw8XoPbwcOpzyGOmPRboRvKpA16KDXSJM1PI8pd4gUzm0OCxxgmqN27ZjtlmqgvgU5Lp8d7GDkQGa2sfwJPBMCZTdTtzSrdgn9RSSLbC9F_lUgEv2jUcvinx-kMPoRg0bzRU8VTFC5yNy2jz3pYz166h5ST0s-bxSAvK4fLEFlE3SWuM2KQcn8nhyqhbp0iv9jxga2Y1x5R3kfozgaqqz6On5qUclswTwJHT0Wy0qo-V1P91sYF0nA5s8LbzujAn1C10W-pDaoYMd4mft5LK60YWCeirW2DjqvyQ%3D%26xkcb%3DSoBu-_M3WoFAA72ng50LbzkdCdPP%26p%3D3%26atk%3D1gj86jukln7or800%26prforceGroups%3D%26from%3Dserp&mclk=jk%3Df752cba611091fb2%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj86juk6n7or806%26atk%3D1gj86jukln7or800%26spon%3D1%26where%3DNew+York+NY%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,Disney Media & Entertainment Distribution,"Remote in New York, NY 10012", 3 days ago,
Android/ Mobile Application Developer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0D7_aXmYA4VZI7Vb0Ayqea6EjgVK09saDD2wMLrlRUjG1seeWK8E6NHqUfZaeqNLDZ8CHZfzXON-oezalUUnky6y2RCXPLFhQUWHaOIXFAOy5CnoG8OhA77dxWnAugExZxjlDGHapZE0mJhM_4QSCqWxgOePxGPGpLrPwRCFIdHAxA0fNhxJbN6tFYjm1CJ7yNu1K_gWxF6lNW3EoyNgVUdapBRP1GJqMfO2GKnHKmrm9Gb9SnhPg_3vZzvIM-DFLV8L8xmtCn6xWgcnLkTztSUt5rwbOAQsN9qEhKalgUwnimLRqAwNPEwZTjxgf_uNDnc_Izc6I623rfj1OyjrwicrIkzAiN4hQOxcbAI1D9t7lIyr7AEftn49KiRTmpaSY5G1aBhqtZ9U3IpmOkT2nfvFtK-qNai0R7Kd3kqvkO7XH6xAsjELfFfjCGYtgH5Bsn6CQ1OB4VEYeInLkDgfYYJBZygccnbIgArXe_GaUcJWz-DK3bdDkAiZaGeojpuNUt02vg9tPsgda1mP8PotRZti_ykxwRa-6tVSZKA56psFGWqd7uAYCiZWDPJeuSS4LE_szbypBuolw%3D%3D%26xkcb%3DSoDa-_M3WoFAA72ng50KbzkdCdPP%26p%3D4%26atk%3D1gj86jukln7or800%26prevUrl%3Dhttps%253A%252F%252Fwww.indeed.com%252Fm%252Fjobs%253Fq%253DSoftware%252BEngineer%2526start%253D0%2526l%253DNew%252BYork%252BNY%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D0d4ef2e876993721%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj86juk6n7or806%26atk%3D1gj86jukln7or800%26spon%3D1%26where%3DNew+York+NY%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,HumanHire,"Edgewater, NJ", 16 days ago,
Expert Software Engineer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0B9o-LFpB8LuXqJpbGP7iozHqiPShYFfgEYqiL-BA5ma50gcG3KBYEwqi3FqUiMTLO9_qPvFZrv9IwbSMz7_lnd_gjhxmBxcOuHODWyJb9ssj_yrFI8MKT5HIHtXbICa7iIfHO4JnjxkE-Gvnm6jZW4y8AhdVW1qLmigt6o2ETAVlq9oYmzjcNDh6S18evXa9MAMFj6pP6OlWa5U_ZpLzVwTxEDqhPxvmzgwbn6XfpolP4NeAJ931gUlCR1HxV3hXlmbsf7D5KX-i4lopayAxyOUfhQ7jEkRO6SDMowf81tqB96abhwhzYKTRGB-GNea2C_1rZJLAH2fRkA4JK2qlFachmeDQVQRU95zk8KdMJUORX0H-bdNZVE7-4bhSNIhN1r7_rhtQou5p2N8BmTYYqwzob2LAz2QlzwrJlLjOLe8nGJMuagE5kUiLEKbaApe7vDdB6sNw_cdvYfnj07z0XOfxzHHZEh8JaIJWByDvpS7s-U2PZH5LA_zHOIDpBWegDqh13Has5umWTXoytF-VdqedHIhwRnZrDxQiwVPB4SJPJsSpyDedOWHonSCENzqW-mP9gMV2W6JJK4dMSoX9c2%26xkcb%3DSoDz-_M3WoFAA72ng50IbzkdCdPP%26p%3D5%26atk%3D1gj86jukln7or800%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D1a9f3c5b7c09a113%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj86juk6n7or806%26atk%3D1gj86jukln7or800%26spon%3D1%26where%3DNew+York+NY%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,Cboe,"New York, NY 10007", 30+ days ago,Estimated $107K - $135K a year
Software Engineer- Recent Graduate,https://indeed.com/rc/clk?jk=b887eb6936849a06&mtk=1gj86juk6n7or806&from=serp,PayPal,"New York, NY", 30+ days ago,Estimated $111K - $140K a year
SOFTWARE ENGINEER - CAMPUS ENTRY-LEVEL,https://indeed.com/rc/clk?jk=c0119fcc4809034b&mtk=1gj86juk6n7or806&from=serp,Peak6,"Hybrid remote in New York, NY 10106", 30+ days ago,
Full Stack Software Engineer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0BtoZ3lN-PZ8ruS368_AZ808OQZOtJeXtbLlEZargofDChIv-KETTxCzsISP008-VyQ4O71wKWQOjQwH_cnrm4uNSf5K9KyNZL9rhbJv6n_MThLi6DJMshi5ReQKi73sg-kGjoCzWQVuz5iZ3A6hLwTzKTQHNJHOanEhqy-59mBDGMZBbv8DxiDSN8Eav0J8ygbrAMDety8LhVlMj-yvhaBxAK-IH6W6EYKBkvcec0-4hERBYvevBRtH9CbF_Xsmbn6vXrggRlKW8akvTNKQN8De2re8vlbQM37q7smN_mznAU5g2Fl8sQYzkd5mHedJWggQLGZB2mprSbUrjogDp-j0fiDj79xyAZGZ0WExte8iufIQwwO_9IgfxD4XQQ1HSYD73_3er4C_GIGZdWKBoF59kRUdBUqnq--wy74sH7DhwUF-UZ8BOYnR6Q8KgNuFIWqETfPf0mEtyhGsxWo5b-x8lCrrUXDnppueZD-ExDHEllfHmITY0egcbPU3PwB4T9LZtZripTcbCvPjNrR4CD2kr4Z3JIWPo08wcIz5BMlujLSKe81jYl0J9OstjqWsEGeNQ_oEe9Op4M7M66vzLZB9yyeVZFFF0ZjH9axf7rkQoOcFd4ApH7fEQayjUAhTYrIzc-mu-xjjg%3D%3D%26xkcb%3DSoC9-_M3WoFAA72ng50CbzkdCdPP%26p%3D8%26atk%3D1gj86jukln7or800%26prevUrl%3Dhttps%253A%252F%252Fwww.indeed.com%252Fm%252Fjobs%253Fq%253DSoftware%252BEngineer%2526start%253D0%2526l%253DNew%252BYork%252BNY%26prforceGroups%3D%26from%3Dserp&mclk=jk%3Daa745e5873e77948%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj86juk6n7or806%26atk%3D1gj86jukln7or800%26spon%3D1%26where%3DNew+York+NY%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,Wilson Elser,"Remote in New York, NY", 2 days ago,
"Senior Software Engineer, Front End - Principal Associate (Remote-Eligible)",https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0C3j_zLGvpMLCdiZ0WC46XqVTA1VMZzOzKXPhAXwYlrNb9EbKZEg8x0tL4Jn_n-27Utv_BQajPs-2kiLf2Mm-BBsiPNMDV8LlKahjektMaI75ZDJU6ZfoJUHZgXF72Rr7Q9JGqZg9iXuQtCXC5r1rSTRfcMoEyIReGikb_2b3zrpooGil8gP4rG7wqQRsyThxeeVBxWUj2aMYJxLL_vL-O5DTMDDWT0U9wU7chXAZ2PMF8OHjBg0UiCKK4LOyfnj4yoRnrJestWpSyMl8du2fH2OClY39uSm6Zz0ld_MVcbultWx-_Z5RaBpzB2_byo0dgjdLwhhP49IlZMpTcyQKJd_QEA7A9T2bDtPzEOFbxGMZBDdPINZknOeBAzL4STjQCYNKrXDjxGkNjDVnbSMRtB2qDvuTnOOeza99ty2ro6Mh5wVLrMZuT2fAZobW28QAQau2gLSiOcuwRk00OdCv-w7uFTr-N974g%3D%26xkcb%3DSoDg-_M3WoFAA6Wng50LbzkdCdPP%26p%3D9%26atk%3D1gj86jukln7or800%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D307b7a1183e24006%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj86juk6n7or806%26atk%3D1gj86jukln7or800%26spon%3D1%26where%3DNew+York+NY%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,Capital One,"Remote in New York, NY 10012", 3 days ago,
