title,job_url,company,location,posted_date,salary
"Staff Systems Engineer, Golang (Remote)",https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0BAuTfAu5ThYozS55O8p5sS5gWZMb8bifg5H3ftdCgDuOPDN-CBtN47ciUiXTIfu9lq2Ei2BWlHBXAjfijEDsboeXHXCt9yiAIsI72iy2ZdTddNJrssrYxvHiOUirzT83r20LRNTzYXEdN5RO0tz_nF9-UnGDkyyrbyLS7wAK303dvVHInHgNjpJVtuOwlY9i-pbN2t7urelbC0tjv2wf5IYZl4IXZ6pe6l1kxXUJp3jVG-hRSWrGL3YwtlB1i6AuA6nfBjsWuPkJKFfPqQkFh4YZ_r3w4cQ1IytDeVKBu0TVCZSyVo0nNzfj_X7RDl9W6_YCz2apNtARhSBDh-XXNrSN-BeAb9eEZv-UJrMyGD0kl8_94CwbdbpPpjPQ-3REGkbrYXYHBC3cFd7vpRvIrPtygfE4OD5uXcnAYYptwfNYd6rxkECPVEHmVRbrtbWUx24igvsskGvANZXCvBp9Wv2RyCgyIzNBD-BkvZ3N7oEg%3D%3D%26xkcb%3DSoBS-_M3WoG-d2X-7J0IbzkdCdPP%26p%3D0%26atk%3D1gj87cd3pm8q3800%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D4bffdc6ce6e50f1a%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj87cd39m8q3800%26atk%3D1gj87cd3pm8q3800%26spon%3D1%26where%3DAtlanta+GA%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,The Home Depot,"Remote in Atlanta, GA 30361", 3 days ago,
Staff Software Engineer - Frontend/React (Remote),https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0BAuTfAu5ThYozS55O8p5sS5gWZMb8bifg5H3ftdCgDuG5EneXjagC9BEGZbZXv1aKlhk-6Q2Vpb5zZLS7Mb5nmEtZzZHB7fq6Pb-rS-tYTN4iJXE5i-PToEWqe1o7O3B1eGh2iZIJbnjgoxuMqceqMN6HWl9R38hsC_EE0jKRRDuz72ArevHJVp9pi48FkkufBnc9FHAyXenDQbubvCJhvyccFynMhZ48oEe4Me_6_sUXMjLheBp9GFm7kuCiS8Vfm_upUvqxgsLSIhwtCV3jDOaqXghExRYaZM0q54hOnNn6zD5npEYKgkjXtiE4JzuU4TJI5HPZmqFtBtv_CpL4j6j3k446JcKAEH7rLz0Ihu4kvbg1Oe2k8aa1pUYdD7UAxNIg4MIuxq3ANW5RWswu2PniTOY6M0QRqahMbl5Il4riYd_aB0BEORnOEasy2cGb4c8fH5_ipLpuPuJoLMjjmhvxQ5GM5eCgOfiU3M8nJVw%3D%3D%26xkcb%3DSoBo-_M3WoG-d2X-7J0ObzkdCdPP%26p%3D1%26atk%3D1gj87cd3pm8q3800%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D3c6e680bdd11651b%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj87cd39m8q3800%26atk%3D1gj87cd3pm8q3800%26spon%3D1%26where%3DAtlanta+GA%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,The Home Depot,"Remote in Atlanta, GA 30361", 3 days ago,
Software Engineer II (Remote),https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0BAuTfAu5ThYozS55O8p5sS5gWZMb8bifg5H3ftdCgDuG5EneXjagC9BEGZbZXv1aKlhk-6Q2Vpb-emhpTckLvHfl8TgruvE_0dBRdADVwOi8wU1_7KAxq1A0MJnU1IhrfFQUzWBUayLgEp1MWp5DreXhghem3G5-WAnXsoxivzBu0lcNJyQOISuQYuNK5Z7txbOg3K0cq_YQW5Oip2Atxxmy0PRjY0GQ16sjOO-sHRjnV9ogdOsZ1C_lTfzDGrPoC2SxX1M5Rn0IUKn3m1fnzGMiiA2HQNeOWZ9nbr8SOCzYFMxvK0ADbqYyZYT58kYaYKL5vWeE9wpx_owYJHh_j31QJid9XboBDS8MJod7b_gG5EMKCDwZZuUZb5BJgEGteBEnvrWgOJQ_1xh08x7Ju_pZPTut9qDdcBh0x8-xaaX2fUSeFQ5cOk-95drFO9wuK2q7UpCAr7HCrvfGkfSn_r9GbPtWakNFpM9WE_0zbWAQ%3D%3D%26xkcb%3DSoBB-_M3WoG-d2X-7J0MbzkdCdPP%26p%3D2%26atk%3D1gj87cd3pm8q3800%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D52b5c597d686fb82%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj87cd39m8q3800%26atk%3D1gj87cd3pm8q3800%26spon%3D1%26where%3DAtlanta+GA%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,The Home Depot,"Remote in Atlanta, GA 30361", 3 days ago,
Software Engineer Manager (Remote),https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0BAuTfAu5ThYozS55O8p5sS5gWZMb8bifg5H3ftdCgDuG5EneXjagC9BEGZbZXv1aKlhk-6Q2Vpb94BD67RCruEjFmrXN9wif_h9I-tgHoEU5Gt-0-MoRfbamx-ZNOOS_c4BBERl0b2jEZJ_tFWAhX4w0otDaRHaeGWR62lpGqukglhI92P37t-vc570zuqCckjMZEPaYhckX-wM3ymTzYVpw45RejqRmWzMzWp8X9Sjt4OeFisEK6fsfoVus0i3fPxvfAGvpCElYLSX7eDn713AqbGDoeBSt9QVqKRSNueEBvQQ0lpEW3H9h4Lrgk0kPgsicv7Qv1aB82EfulVa0j3Wucsij5Ixn8NhfV2uhx7UPZUOhCJ6pN0SmSdu9arIFzcPVPGprM0B8JjWxlBXUT1FGyowpm5B89iCQN80bUoRutA5Gn9P0o6NdERTkTDxycy1_jsf3kyuC0LlPltikyTB5z-zEANyBA%3D%26xkcb%3DSoCK-_M3WoG-d23-7J0LbzkdCdPP%26p%3D3%26atk%3D1gj87cd3pm8q3800%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D74fcf1814ce57283%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj87cd39m8q3800%26atk%3D1gj87cd3pm8q3800%26spon%3D1%26where%3DAtlanta+GA%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,The Home Depot,"Remote in Atlanta, GA 30361", 3 days ago,
Associate Software Engineer Entry Level,https://indeed.com/rc/clk?jk=22f02a592152bc09&prevUrl=https%3A%2F%2Fwww.indeed.com%2Fm%2Fjobs%3Fq%3DSoftware%2BEngineer%26start%3D0%26l%3DAtlanta%2BGA&mtk=1gj87cd39m8q3800&from=serp,CareerNet,"Atlanta, GA", 4 days ago,
Senior Android Engineer (Automotive),https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0Bf2f-4U936TxvFb4B-5UK4I-XgW_8PCIuPs5Qt2CcMUzjQDh1fJdpHRlpN_RnutFaqz6UKGgnBLNkNUfUenJEMCwL1oZfOrn_x7vf8It_0A11cQEiYZVV-n0duBrUQiRlhpf0xag1kq_Ekvc6GspkH4ybnBSm34UXlKOrD3El-FmMEIzpx1o2o6lhj-FWzBegdLJIBrbAK3xpoXCCwMYU7wtNE1LYv_TRTn3KaLxY9GdKJCk8DQPYi45KaFq84rbmCYevqZ8uZ5JjD-mRAwIAzYnVkYve9cWlGLrPX_ikdxTNFKVpb8oHHpXlnPCbgI_NMrobpqripOptfqwG8wAa0vvORW_bKILaKR2DHPR7Rmp_JRaF3JkGH8kRiOVWLsqd1frR7UQEFYHwYLvkrHhIffw46-Fz-KYt6MWZNqhyywJUx-60gy9VArPQlKl9ntKuo5CvCHksLQIave21H0MxesETeBPQnIf7vWOmvgfVREWmL2BcHKFdnefehKFwotA5vgWDkRgvYOuvee4mf4xcBU8T1GKHBPGciYot2eLCZYYEOMzKBW8n_lDsmRqucVf0%3D%26xkcb%3DSoAX-_M3WoG-d23-7J0IbzkdCdPP%26p%3D5%26atk%3D1gj87cd3pm8q3800%26prevUrl%3Dhttps%253A%252F%252Fwww.indeed.com%252Fm%252Fjobs%253Fq%253DSoftware%252BEngineer%2526start%253D0%2526l%253DAtlanta%252BGA%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D1eac0fc05608c5e6%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj87cd39m8q3800%26atk%3D1gj87cd3pm8q3800%26spon%3D1%26where%3DAtlanta+GA%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,Expert Hiring,"Atlanta, GA", 30+ days ago,
.NET Software Engineer – Atlanta,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0Aj4-Lc4C6Hb0ykU3jOktLDIAAw4anZygn__rtZFvHgNUYMrGSPDw3TJL0BFxVYb4Bk9ch12sWwrEqeph_u1-L5YquPmRJTVh7jMWu3lqxOO8v3xOGx8nkU6hNM3hC6A34RHhm7JYROAd5z1kPfsnvd8uTB6rRFltj7VRzRbwNwNZmS3v7qjq9N4pl7wU2D4l7WGfut8lnLNvdGkv_8ed3Ngbad2UmuPCMlEQ4WUl0STPvDSZ63NkAPhV8GIddxJ0tINLEMRlnIoRpJx7pyAUxs2Bywn2HG71ipUgBlD-53ZS4GoHKOMD1Oa4Ibt-H7ycZKqsIv9q8BK8pT1UINQCHLCRTFGE7zABb4hf96qqSzV9_62azYkXHoKm1to_IWEgONRF0pkQu8BCDoX9IQe9DAg4jjEWOhSpK1c26BC0JiVWRoFGtRGpW3-JGVYHDNxVSv-w2VGTEqH0iyJRFfsdaAjAf6OAkYamlfwJHlrOxDQZ6MvXP-vaz4IteaAMsdavYb1g6W2TaY0k_enT2ELjtV_SdkQTtFkVU1Z59_yWbrd_Ytz_GiKLQ9o4O_x6WGC1s%3D%26xkcb%3DSoCZ-_M3WoG-d23-7J0PbzkdCdPP%26p%3D6%26atk%3D1gj87cd3pm8q3800%26prforceGroups%3D%26from%3Dserp&mclk=jk%3Df9326d2f9ff32aa6%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj87cd39m8q3800%26atk%3D1gj87cd3pm8q3800%26spon%3D1%26where%3DAtlanta+GA%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,Noir Consulting,"Atlanta, GA", 3 days ago,
PeopleSoft Developer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0D0_noO7Oc7JtFJT3HZwjD-j9LlNG4cZe-dC6l96DqpIZZ9990r4MRVQdmbAAdqwaoFpQodJffJlUaA7X3NA-C_dsmUNopoc4h0btp3MwJWuDSlhcCb4bE6iGy_MfooCA-ORXhZpI3_vo2LxACb9a7irPt_tR_j8gGRqlEVTTRP4tz8KHvYIMZCjm9afpWJQzcdyqvANSmojivl-nyO_I3muSogmvlzJEavqhSerA3rTlZsP4mKMdw-Kmw1i6wfEt6xaHNtTgluSXCqtkDpi7S0b43LS3Voquza6SZq56JClbWMH8e2oWalz2_POp8IIYjnFeNbMygnwLMGq6KrEHL1m6zko3XtDw5agyswas_GDHsW2iLQBnbv2Ru2MS5iB2Ya19stCOlZE6ViLmPfzi_ePBRjBDbIj7OfPfOGODBVNaPj0aJ4-AuO6k1BBJ437ms5O1Gub34JqkzOUBYlSV6Zzc0rqCzy3Hj9_I0h_hrAt0aVORiT497-RgUSraeQBUisW-ZTko8Ye5OU3Xd9qKxIemhLgftKZvHOjD93POgYWg%3D%3D%26xkcb%3DSoAt-_M3WoG-d23-7J0ObzkdCdPP%26p%3D7%26atk%3D1gj87cd3pm8q3800%26prevUrl%3Dhttps%253A%252F%252Fwww.indeed.com%252Fm%252Fjobs%253Fq%253DSoftware%252BEngineer%2526start%253D0%2526l%253DAtlanta%252BGA%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D517637694ddf06ba%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj87cd39m8q3800%26atk%3D1gj87cd3pm8q3800%26spon%3D1%26where%3DAtlanta+GA%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,aquesst,"Atlanta, GA 30339", 30+ days ago,
Full Stack Software Engineer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0DUIUKNmkO9eplQBWgjWtyZTeBIvNV_K-f7eYqnE-qDJ8bApFfch6MTjmnd0ZXAEvzphs8iggiXaKh3wtqVxuH4CObHx2w4ndhWyScTBW65Hj9_-u8jH2zurca2tM8PcKuZlK7t5Orid7wg19Qn4_rXpUVMknXK0G5YKUDKIqY4MobNHUEplFAtE8axtgfad3UZ03_MAduBe3xXinrN7Wa676uTgnUXKAFVEgSA8w0_I2f4d7ygcmRK9lZ1-rev1nYRU16_YwldxgaWFP8DuIQLjTk88ihWxL9thJFlTs85wHBDesLIRLoTIyjci8hYaEAnghz7nAX_3gK71BRCt2TZO8K4UtiMcLWQ5AZM84Icg4sSJBiK7MozR4xd7Rno-S32ZoGBQSroQV13f88uF9UOkY5EvR7XodPFJws5h2icrL6mnMKE4o5nzcXaHQ88l0dSbDBbluT0O-U8SAPe6BxJ2diiH2Y8ORE%3D%26xkcb%3DSoA8-_M3WoG-dxX-7J0LbzkdCdPP%26p%3D8%26atk%3D1gj87cd3pm8q3800%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D3fabacfc737e4dc8%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj87cd39m8q3800%26atk%3D1gj87cd3pm8q3800%26spon%3D1%26where%3DAtlanta+GA%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,"Net App, Inc.","Atlanta, GA 30361", 3 days ago,
Senior Site Reliability Engineer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0BmBivckoKIwb-7nkAIiT2NR1int7Qkje2fhghJUHqGcCONFR5qLzfEEYI3cSC-62Rsz-ZSx-k4tqmak8xHhZzk3VfkRqTUJ5kee7kAXvSqlA-aSgog1DpwIGZEIq7OatWjBmWzaN4yq5HIVIo5xhkxAtu5jcUjFKUQq9SpVES23ybzchl0Ma84OH_CJd-3G3j0wtt2jgB4an-QCaYOpm9pywPMPqlaDMPp3YEhsTnKtXAGIkQD3F2WEKrMmpIyb0SBFY1bFyCQcOuns-3EXSWiSPB5o1ey-RkBiEDKVBfPHCdZArTe5Nu--lySrHD-lX6FI_MyeXA-XyXEoNity11Lk1_uqH3OuGKKi_gx2yU7ErTpcVVvL1SNNdd2diSzFvXbSuzVTqHbo8_qwbKlVwdR8sX9h8LOXDchbfWkS9JJ9zKEFCNJowzickx-BXx9ciuLNxCRcuTZ7Knz8oRBz2xR464TuU0fgHNcMxl54EMljw%3D%3D%26xkcb%3DSoCI-_M3WoG-dxX-7J0KbzkdCdPP%26p%3D9%26atk%3D1gj87cd3pm8q3800%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D04b92beb5a92d167%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj87cd39m8q3800%26atk%3D1gj87cd3pm8q3800%26spon%3D1%26where%3DAtlanta+GA%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,Radancy,United States, 10 days ago,
