title,job_url,company,location,posted_date,salary
Software Development Manager,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0CkfU4TshEczwhKDfUpm-f6eFDoMKQ7NpcEJIUNxy6aMLXlZHWWIw41I9bILxYJdcLKwx2G72Ag2YfiGkJ1Cm8uYr6uPp1NDV9QR6wMAS_PfQGOzTjdGk1OnjXZUXnBgR9ERSNqHVnkNSUT2WAX4aAJb77XY4cY42lpFzKaZIpoRKijqSNW_9gLaDvYg9XjXvfbNGFaNOpRc13OKTiSLYrW84oy1S8B3fT26UntXEBYrHup-djzFq9bfP-ooA1mOi-_9w-tpLX5UFcNJw899XVIZlOUpBICsztpyOJ5Uh8k-Al7KVJ_OQQCNf4ilyF8gcSfyh5RzKeb6BKsZeWDR0t8yB_7r7HTkHaFeu5doCN3PLtWpfPXcbCQyE4m-8vt_Y4FPVkrECo-wlQL0kBgVuhtbJVAYfj85Vg95s5Ni9q9_kP7GJQsEM79uYm0vLnEwqRW0IpYUpNPSa-6MFR5ZGAQ0b65HQ-KK-C9NT7080Jcf5OWm7wlPJAmAqCxGwY_wkOxAGNrVnOSP7xus5eXmMZLCnuQ8Go3VxfDZTPb-rL9IEDNlVTS1ZE9qWsaqGXspk1KoUyDhsO9C7jRMRYzZdpJ6my9tKbbV3w%3D%26xkcb%3DSoAf-_M3WoGCBB3I650LbzkdCdPP%26p%3D0%26atk%3D1gj873erphbi0800%26prevUrl%3Dhttps%253A%252F%252Fwww.indeed.com%252Fm%252Fjobs%253Fq%253DSoftware%252BEngineer%2526start%253D0%2526l%253DAustin%252BTX%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D5ce0ce0faaa0caac%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj873erdhbi0800%26atk%3D1gj873erphbi0800%26spon%3D1%26where%3DAustin+TX%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,Strategic Employment,"Austin, TX", 23 days ago,
Entry Level System Programmer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0ASQSak737PijTL6td-124vXlwAjEfobxyBAiBXn_Ib3lehgVqRDFmimWczxLkMdmNCQ-XabGXoofUGu68SM1v08ryrgT30ZFljHtUe2OKniAwe4vk96GMVHS9v2Xqm-ajkDB4-JV-2cURI79ocm6AUmqdASUJPd6B4QNPvqSRUTPN9syq21PFukjtUr9kafMuAjPq6Lz9jj1ZdQMae_JwzwTvAbm14-OkQHB0IsAw4LuGpt8SSj20C1Rc-oaL2V1Y2iCo2myWUGPErQrh8yjhXuoH75997-mdeHX3OfNeyhsFPb3AA_B1CliXF8FrF5LJX3HGlVGqH1D0bLb4jG4qtE7L-r9opOtfGiYcXxnPdIzpyIrQT__rfJy0eSbIIeAWAmfXUESe6d0FhmMO0R7Vv0HPT7VqU5P52TGXRXbdeXbA6GtAlXnPJSaVflYSJsAM6y_R8HT2gUd0JUCB3iCLDYkb5N-vhF0I7ivYjeuiJQMFzncJtlNWi67OidoniNxrc3B-HnAh3LVDwyjNdN-1URD3y1Y72xAR69oJZ0gVHLSrLpMJqw8M3g5Kdjk9sWJTbT3LLbOk09vr5ZIcRaxKeVdJ4Sp5b2d-e-P46EPedm_0U2nraUQnlsRXVWVmH4YDyIlVBYrEKx2Ek__GRaXAbrGN8PXEGW9qYb_ye07YdgeaL1aUewA6VIZefoyUpEjBsVxNjm73kENBTfMfxFd_72uOspj_KCiYi4SHj5XrYXp9qTmE98hKE%26xkcb%3DSoCC-_M3WoGCBB3I650IbzkdCdPP%26p%3D1%26atk%3D1gj873erphbi0800%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D82db130071235af3%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj873erdhbi0800%26atk%3D1gj873erphbi0800%26spon%3D1%26where%3DAustin+TX%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,"Kyndryl, Inc.","Austin, TX", 2 days ago,
Senior Java Engineer/Technical Lead,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0B-fTUegnOdPWDV05CiIhIi2qlOzw6WOcAKK9Y9LqNfmkdqQGIHGuk22dJTa4a7o2Yv3qQY7ms_Sd8UnK0zwZTGQWcfgn3Et_jLhReHserOng3Kl6r3tEE1sdTmWr4RZCFjPe0vgqqVMnaom6V5pc5PXZ_mra5DoefY9b5tPS53Q14NZ9phAPaAmZgKm-uZstaYQLBuWLkpAaIUgiHYxtDhKqG9IW-AM-E2K0IxrDRTs3jHpJVC1Sxx-FoI0xFdnbv6pOCZL0Snu-mBhvNa5huQ71vzuWkKYWOxgqsss7j4MtLs7oIESGFawnSG7jmmcwoQkz5fQ_3bruJ_iGc0lRsaYO7FnDfenrToB5UlOJ-5EFROhGyb2x3ZOKrVlWLa7E9UeHdF7s9bzZQnjNI4FjiAkJVZEq5nCwdnWbAHhEYb7IIAAepv3_8SFD6BqSAoZo-d3b1zODrEVOG2DcdcMywklSlg2jC_kyMnTBqOWEsvxorbYPHYqhP8BJ8gIPBdfFCuk0binmDH50doO-b589i_k_czoZlEMoz7bWU_Da1bJdVIq2M37AkkYNjRuYWIMWAAx8YWEXhunRGtV61YSoQIuKAJgl0oD1s%3D%26xkcb%3DSoAl-_M3WoGCBB3I650NbzkdCdPP%26p%3D2%26atk%3D1gj873erphbi0800%26prevUrl%3Dhttps%253A%252F%252Fwww.indeed.com%252Fm%252Fjobs%253Fq%253DSoftware%252BEngineer%2526start%253D0%2526l%253DAustin%252BTX%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D5ee845b2f8257827%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj873erdhbi0800%26atk%3D1gj873erphbi0800%26spon%3D1%26where%3DAustin+TX%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,Strategic Employment,"Austin, TX 78757", 9 days ago,
Software Engineer – Mid Level (Noblr),https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0CdTBpsLrhs4IwmIsoO0brdHaF9POTtXIeJjdlamKYQ_OhglXXDFJZTh11Z6IDPRXWLwikQGFLyArvd_Z_xFNSwXnau_-1sHQSH4qgOhkyq9Cnh6aZ1krWq8A8CJb9HwXtomAhBTCE-fC9QkrEcEQYGCcvyxQGAqMbCzoDcUCF328Kn6nrwOXYTiseoJcELfC0LtAMDVbRje4lAS7xettNdVbwLdXoegtb0H-Fg6W8ac1QzLotAExXwqu3reZBZkHD4yUDTcdVaMglxKQ29UKTgPGP1oBgLcuht6Dx3SLG6cJ4xLSbbovw_5qqoDEex-_JI9OHs_4Yp_A82I417J462-f4VVT0-IBku6HCS32egE3_hYT014DuD5oYxQw2ppnkvQcyNoBCsDxxoB7_81F2nE2cBNLxQZeHYrOybIX98ziXcZ56oTU1XJyDofinxZ4YGSSGW8fJZ6M0nLk8BDg6b4tDAbJqMWZI%3D%26xkcb%3DSoAl-_M3WoGCBAXI650KbzkdCdPP%26p%3D3%26atk%3D1gj873erphbi0800%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D08380a8985df49f1%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj873erdhbi0800%26atk%3D1gj873erphbi0800%26spon%3D1%26where%3DAustin+TX%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,USAA,"Remote in Austin, TX 78701", 4 days ago,
Graduate Software Engineer,https://indeed.com/rc/clk?jk=ab60705252c6059d&mtk=1gj873erdhbi0800&from=serp,Wise,"Austin, TX+1 location",Today,Estimated $109K - $137K a year
DevOps Engineer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0C0yHrujcxMCbkaG3IbA09ELIIJjJgF-_zVRJpDqTq0TTx-_fOZR8S_mlYLCrbuqdDNl9_OoJQ0mvXt7_hL_emKYcSVOZGaciT-xV1G_QjFBWSqllPsv_MBbuc4RILmn5tH6gWhjReMOkVoluKmT8Rlyf0euDvWWzKxXoaRQvUMSr6y0mBbk5eWiwn2RpCQQFbq3elL1PI2lwWsSm2RbJ_EIWh-rwt4U8UWBd3fATo3KVNsQ4OviyJWKfuLp9ef-6IgdzqRtzxNU2SPTZsPi3MAF9SuJvAUNmQY03t02o29llaZEYmyv4_DjWV-4ns2yxovwFJO4CbszQHcKR9EaI7isIdJHN1BXPDkJPTjD3QFGv1azRchb-CA9-dcsQu7rEorwiMemiMnKeWrb5fPxmrZbBdABcbXTosYU-MJh0XM_ghFsBmyIEgY9QrRiMQOHkpsz4L5ebd6FRnjOdyLSDVGuWxBBXjXJj1-9rUoO3Rbp5S9iUZEGnca_2JVT9ZQqn62HKzk_6Ubto_fdi0LN1uyLLnW5KANjXQUlHrlz2hAXnG0IS-8lAZa32FioaQKth6BAcki1hBlhHtQq5gcGucj8OLELmvtmQm2Cc30UiID6sDMfyfMIPivJf-MMf2O7gv2PGwvr3za_h0bZ5SueFCs3ooSQl0VJkxYENrMDad8sKTj_IXIC0InD088N70KbyJqD6lRNYHLQKYzIwF6wf0j%26xkcb%3DSoCr-_M3WoGCBAXI650NbzkdCdPP%26p%3D5%26atk%3D1gj873erphbi0800%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D77800a3ba1bbacc1%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj873erdhbi0800%26atk%3D1gj873erphbi0800%26spon%3D1%26where%3DAustin+TX%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,Emerson,"Hybrid remote in Austin, TX 78681", 30+ days ago,Estimated $85.3K - $108K a year
Senior Software Quality Assurance Engineer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0C0yHrujcxMCbkaG3IbA09ELIIJjJgF-_zVRJpDqTq0TTx-_fOZR8S_mlYLCrbuqdAmHyY0BmqrlA4J2SCpLnFWjftweFo-vtWDodwe7Ls727D9UvpaE8T2g72Z6MkHHZ4_ttSPIDIUkrqqeTMtFZAVyfAuF_Fe_6DIcDAPsoPCJolkuo0ToO_Y0yOTyHeQDl6S47KtfIkjzial9CSHK_yZTRKDvad4rG2CBSoyZGfKN6ZgaLgTzcYD0f6SDSKGn_nq3S3Y6wLVQSYNAYohA-sWfgsXU7L6QUyUBzEbJ8QxwHDAvGW5Gbu2aK7sSGA1PyrecZPSX85GrqHBfZxnxr1UD2-LXrv3L1O2Efz6t5jzvD3Hv_GdbqART07LfSte-O7skTk5xfMpsf2kTAkyqeked7vmr0XVF3v7iuTI9Py82-9BjRITi986nl4E3ONj8D5UOOQcK2NLs28Y8e2DSLT4a_AS_cZiep5Cc4FMOgOeqxuyjIGcKpvkN61Ocuq8SOtDttwLZ5PPWJsfIWixEhdtp6YSYnp0Q6lc0ZD8fLljKPM-U3-7wR7clMMu4whx1yM6buV5HJZxEl4q0G-HgbN2crRlSLxJKNf7J_RhOKt8x8nRAhjREQ3b-6Kwkh9L9_jqGbUvjWHnvEpjJNnXNWhcr5lCX2WmfeCioJwGVLFOplkQGkAbmest6wMMGtlGyaw-i1I1p4EsGEQVyOFezUe1%26xkcb%3DSoD9-_M3WoGCBA3I650JbzkdCdPP%26p%3D6%26atk%3D1gj873erphbi0800%26prforceGroups%3D%26from%3Dserp&mclk=jk%3Dfe3275bdc921b0b6%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj873erdhbi0800%26atk%3D1gj873erphbi0800%26spon%3D1%26where%3DAustin+TX%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,Emerson,"Austin, TX 78681", 30+ days ago,
Controls Automation Engineer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0CMXiLZ-79bK4Xg6hY3UKekYPE_hreLCmUN3pOCcKxAL9rsMc7ot7LLsbiGDXEhH5dq2VBNaSXR7HIO1hJWxP27gqVZ4ER7SmwQ0moLOSefJOlOSeSfCd5yT8nDFeg6_Cfzy9wsqXT7PJ4aadjuMyB0AiRkf1o9LEhnIf6EHPzDEnyxd2Z9QPwvLZJNZFYX7824sPKAVsv-ul_G1QcW0AqOdioYmt7Nv42ffCcsWAXloHhjgxNLNRBUqkQ_RN2c5mrb7Xc16OKplBp_PZCYxU8-54a9PcOYSDP7sJFnSDejKAQxQg7p3OSjo3HIcWrf1mFH5_4B5MSDN0gyAC4KTa37Pp5bk2_zf9rSdGMY5PAERecMkH8xYqpMFSJJwAGFXc8rVxYAOrXrFjjlhkT3RONhmjzlofBbjYqiLSYHhgsBPalZZJ4qqOCqUcCB7hWbm1jbASn3Uk1zEc2qEQ-tpUeas2_kHGOFsJxN1uWoXHDQOFXF8LNs0mw2i3pYaymKtH5NkUHS2IAHBiGykJIDzsYU4yQtZMr7nMxApGaQOS6o5cw6yacOxy4U%26xkcb%3DSoBz-_M3WoGCBA3I650ObzkdCdPP%26p%3D7%26atk%3D1gj873erphbi0800%26prevUrl%3Dhttps%253A%252F%252Fwww.indeed.com%252Fm%252Fjobs%253Fq%253DSoftware%252BEngineer%2526start%253D0%2526l%253DAustin%252BTX%26prforceGroups%3D%26from%3Dserp&mclk=jk%3Dd5f395f5bb51da48%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj873erdhbi0800%26atk%3D1gj873erphbi0800%26spon%3D1%26where%3DAustin+TX%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,Global Automation and Controls LLC.,United States, 3 days ago,
Technology Lead - Dev Ops,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0DFi1nmQQWK2fa3N4W3y7EUOEocZkWPqKP_f_xZ7ne8RcYYsrK34-4lDZ63JR2to7xHvIJfJgrmg-u76VlOFoEoqtu27kodIGSCPIQQ23Ncf8Bqgm0mUnpehrTh4fmeNUksU45EjvTVRjTSrx2PfugKXwqaQXwN0L16JzGVUNzuLOLLaizJcMEiPQENuQ0biD6uD20PgdOeJX0rgDj71uBVVuZict71BPH2mBmDgd8a1hzIRKY2oevaH4zataL8w0eqHvp397-kVNNB8IuFdIKWIBo3hPm1Dg5xHyrc6A0XbJATLteFNEvfxNjafO_siRRKQcQ9EcvEBIlHDJ9dp8eyiXhRk40cFFs3smV6qWoj31XyOmfmtiNHgck-dfHyqCZ2Jt0tYoWvc_ZNwI9DRK1Zsnjhwdw1mklfcBqrA-Z65lb7utwZovRuei0vVgZNJdF5qzjdHwymrK7J4Kt4KDcn2EPsZSzFmyb8Pq5YNk1pOn3bAWlo7txfix8qLGC_BYhLnsZqI1fyisqK0n407UTEnK-_3kYfmmpJ86y57_rvk8BeHcO52GV3apgrE5JW2EbBOaZQFvg8cCB9GCT78uPEUzfBo4Q3i74%3D%26xkcb%3DSoBa-_M3WoGCBA3I650MbzkdCdPP%26p%3D8%26atk%3D1gj873erphbi0800%26prevUrl%3Dhttps%253A%252F%252Fwww.indeed.com%252Fm%252Fjobs%253Fq%253DSoftware%252BEngineer%2526start%253D0%2526l%253DAustin%252BTX%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D3b3d9a9d4e167949%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj873erdhbi0800%26atk%3D1gj873erphbi0800%26spon%3D1%26where%3DAustin+TX%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,Infosys,"Austin, TX 78754", 30+ days ago,
Software Engineer- Recent Graduate,https://indeed.com/rc/clk?jk=80d9dfcb506f47e1&mtk=1gj873erdhbi0800&from=serp,PayPal,"Austin, TX+5 locations", 30+ days ago,Estimated $107K - $136K a year
