location_category,job_title_category,title,job_url,company,location,posted_date,salary
Chicago IL,Software Engineer,Associate Software Engineer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0CAJPFEtW3MUiw3fykhRh4-CzX50ElEoJG0BbrXJsN8mstOOL1pjajMq048PebqYE22ADNZSdfgVeU981M5K_ygPkk95m-PFemTXTqfk-fdsJu2uS62uQkmmjV-KXcVAgoxLqdvD5htIO4VyFYXO1e6x03oBthOZJdrmBJeASxmwVyE1E_Bfhpfdi2PpuBquFzHWk-coEyaKzEX-jeq5U0y5kraA4eHxCMkRYt3BPZo5czg6JYzXIo0rMht14ADYOTPhaletmJgZXOadLZPSNqt2Il6vNnZQDk4PGPIl3AuFZ9wLvO33nW0xP-C-JRfs9V9IAODktuL2ggFAANAAjG2iUqJjpl-eWKfwhmWXNSEm3oVPv3qe6q-QD0a7chQqVtFLwSsXcIszXLVLv4_p3TTggOciAYed1MwBoI2vj3ZEf2ma3pyBTAsdU5fVDbIFITP_HOI2Fnm0lcHNUnzYeFKtrWIkLcPXOIDb2PE3vQ2QmRuYetj5BWMziu1eui3uPRUv4vXUZC0KjpEKj5mxBiiKVosl8muenHQyeSM14ipjY1qJoEsIu4nzuq7SBR4w0th2sU79ZgywFOscvBwj6jw%26xkcb%3DSoDS-_M3WocUvBQldB0LbzkdCdPP%26p%3D0%26atk%3D1gj8a6r3qi5cn800%26prforceGroups%3D%26from%3Dserp&mclk=jk%3Dc0e8abc9d7a62e68%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj8a6r3ci5cn800%26atk%3D1gj8a6r3qi5cn800%26spon%3D1%26where%3DChicago+IL%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,Ace Hardware,"Oak Brook, IL 60523", 30+ days ago,
Chicago IL,Software Engineer,DevOps Engineer Level 2,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0DG3_mRiomr_pLmdG6kOIAghzpRyOhQEgJgXkwIQ7h8MogVp1rSFAXwY8T4ZDl8ewN7pVI31xYyFsUJw7KxxSdnHrBk5zrZaRdrtEETDevNZlS1HGX2APUYUryLMnKjlkkYipG4_pfNJKRpVeWLOScYdB-3_rFSKwCb1bfUpE-nHeyi7X2xU7vnQHwwXjaDQ6eGbJxm7aQEZuijXHXpdy__cu6M6PINZglfP1R9_2-5kVXRzaWY3ggoeBJsB8jrFNpKh3a3gsns3hWkouzAG4LRGxrNTdUOliOlY-iQ2nbDcm5mCNRzcRBG-3cb8i9zFhPmMSnevlscrC67O_O3T2ZqvStx-5jziJ-EdIQnF3X-GSuuqFvStN-7rboeUQ1gnKHfvDJ6TqSr_4svquqkZgytcshDj0NbG3-cy-7Mv5-1m4__mUbu6hTWMVFMo1pJJctEb1Fpj2QVDVnsqzLEqiV5QPwUuSVPAjWQOmWDOKQ6T4WINuIH6pA4pSfKT42hI4eVkdRlBGkmf0BWeTzBrKyxCmS0p1F0haZ-Pj8B6vnL7t6PPkKIQuqo%26xkcb%3DSoBm-_M3WocUvBQldB0KbzkdCdPP%26p%3D1%26atk%3D1gj8a6r3qi5cn800%26prevUrl%3Dhttps%253A%252F%252Fwww.indeed.com%252Fm%252Fjobs%253Fq%253DSoftware%252BEngineer%2526start%253D0%2526l%253DChicago%252BIL%26prforceGroups%3D%26from%3Dserp&mclk=jk%3Daa88e1717fb6c28d%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj8a6r3ci5cn800%26atk%3D1gj8a6r3qi5cn800%26spon%3D1%26where%3DChicago+IL%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,"ECP, Inc.","Woodridge, IL 60517", 2 days ago,Estimated $67.5K - $85.5K a year
Chicago IL,Software Engineer,Software Engineer III - REMOTE,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0Bp_PwF7wSKbhHWSuqosaaZhLWqFKK1yQDPvcGYAmaJjZvFBAnq1y7eQA2to6rGbIk6Jk43MV0JNetj2eEQzhRNt5w0HW-lBJyMYgs0CtBojpMUt8_jVg5bD-xn6RYimNRu6nqyW6CUHngNkYoGdqSby4dnEY9FK5XPvFwU7t81Dqm4rY3NAK5ULV2ho5n0MVP_r-i9l37uMjZ3jlkkEaiL8onAvz8pB5tdaMPrT5EPBUjtcsygj93OV_8qgrSvI8Nt4IbQezZUBQhAk0XouTXOnfpFR6maIR0ATARAR8DAEDrlokDXo-vi3-ECFnQ1HvYOocHiTKKAF2g6HHuo1DNOVESyMHQumtx43Y7obEuDCZq5DXc5LXUxKaY5FAx3pco4rXYbH5U5LsShhcSk_RF5WHDX8eN7KcgzCHd3BbDYDXNmNuoRKJbAaF4o0DNzmL_osjVNWyV1Y9fkw6DZNtN6uTKmk6uChRoogc0i4l6E558Ss2WUzIbnq_qIoQHNmLfqrZVh2o8BqGn07GKCm6lN63l0R9JqsEa4NntXqfE3VlzNMXGhhYiKKky57OO7hFl1wLznIWs9W8gx9RrGqUlqnM0eP954vK2h68jj5IJxZI2vB-pMgCsha1yA4SLPLLbeXXOY9I0tg-3x9W8I_8KwX5KdNyJVvRfZWzg3tz_27kfHumebXnsh2zznO5FsT_QejtNQZsnYqTfe7g4BYmk7hZRLsj3VVjXUCpCM2mBft4RiZ3MBZHi7AjPuUiZmmwMYOIHkIihlFtwhLXatYmScHQxkC-nehv37gmZvR_vqEQ6EbrPbnHFu6IWvfw22ryw6Pptv5kNzeJux1mL420tzxKRcZRic3fSrsylGryLwHHTurd_3nREPe4uRXHs4ux6sZBuc-yxHFEjR0ApQJASWJZFwM-blQWFTRyYnyTVkJ48tdhQRBoTuLxKxH3QMf2ARAlp9deCyKE7QZWe-1WRR%26xkcb%3DSoD7-_M3WocUvBQldB0JbzkdCdPP%26p%3D2%26atk%3D1gj8a6r3qi5cn800%26prforceGroups%3D%26from%3Dserp&mclk=jk%3Db1f617cd1f1032a3%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj8a6r3ci5cn800%26atk%3D1gj8a6r3qi5cn800%26spon%3D1%26where%3DChicago+IL%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,C.H Robinson,"Remote in Chicago, IL 60614", 1 day ago,Estimated $89.4K - $113K a year
Chicago IL,Software Engineer,Java Developer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0ApGIGImxOmdxIOXBMhQ8EhaqwUpG_bCXYZc5oBp4OjqQT8_J22VxX71x5wDEtd2fFRJhq70-mkU_iqb1HwOjbK_cGKsUrbss5GVBfijlghPOJnV6IYUm7c8_BarPxncMU95Bn1DPzx6J5Lbre17rIvTUSWiW0ykFpeZ1HwDhTxJH8bHKcGAtUxuQwpK0E3nVmnkrO04RP8268PJ8y3f0-OfzlCFr5Bve-8PtAvPocTkxNtqOHwp0AEKGr6tGwOvwjqxVCap_QG9mk0cnPtvnprlJ4bRqs5xxPX3wZJBVOoAwm89MvinLeJgrOdIgVMn4RSD2QTvjWat5VVrkcWsxIaTZfUT18PMApw--W_3v0NnVqXEJVdFloUIPWN_8Gul3z1rA2X_BezkRi134vG5HiRD4d30El5vya5ba2oN-vNnql5TP_Kycxf36VMSYzRF-qlXFPcGYzlRskIqU0o1eisVwVB9AW_QaX4HCZwHzOLs8krzZtN-HjNQrIMIXRJmByXPYoUgLxD7OI86oYpnyKyT5VBV4s37EXK0qag5rNP4TCP5GTJuEwzzxXdijCP0Dv-LCuQkN-fqppE3yCzYvbNxj9PYyFH2N9Nv072zVYBA0nTxykXb36A4FEkFWsqnjWa_tegzwOH0g%3D%3D%26xkcb%3DSoBP-_M3WocUvBQldB0IbzkdCdPP%26p%3D3%26atk%3D1gj8a6r3qi5cn800%26prevUrl%3Dhttps%253A%252F%252Fwww.indeed.com%252Fm%252Fjobs%253Fq%253DSoftware%252BEngineer%2526start%253D0%2526l%253DChicago%252BIL%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D1a18f67bc7b1460b%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj8a6r3ci5cn800%26atk%3D1gj8a6r3qi5cn800%26spon%3D1%26where%3DChicago+IL%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,signature consultants,"Hybrid remote in Chicago, IL 60601", 3 days ago,
Chicago IL,Software Engineer,Associate Software Engineer Entry Level,https://indeed.com/rc/clk?jk=2364e64f799e252c&prevUrl=https%3A%2F%2Fwww.indeed.com%2Fm%2Fjobs%3Fq%3DSoftware%2BEngineer%26start%3D0%26l%3DChicago%2BIL&mtk=1gj8a6r3ci5cn800&from=serp,CareerNet,"Chicago, IL", 3 days ago,
Chicago IL,Software Engineer,Software Engineer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0A3-hIWU4v7SqYJk24rGh9kaSgIOwpOqsr9FoX6MPJQ5DLXphrzdkF0yqo3eX0CrgKlczPckWljAyEPTyibAohVoQue0zQcsojmjJhiIinGsUTV-8UW3Xu4gg4_WV0YBtbpIaFB5MLrXmRKCAyeAmf4ey3B8XxAdkx7tZazwDo6KrDzqSeMDdosaRh9MdcZU2fJg1AlAwjb7uIgH2Ja8ND9u1XajJwm1psXOUEjg1Fn39RymOfLaK37xX9t3YfL-wY7cNTqW1p19_SUUOmZc5bHNHFOD4loChXjkP8uhZu60hKZ2aEZgiIaND0OKOgi7WXlUwdw2hc324BwS4bk63XQK27g5kuxMLCGU-wpEJVBZKLEFY3yLkFLysSt6EOa_0dLnKgjfcpH9ABUJrRG_QSwP3VWGJVpl9pCqeMFRR5XfMDxci-1-SEOxNsbIapiak4VnAgtqS6vbdg7-1yYneJ0qAMtVfOmUvpVukrhh4bQimxAIMHUJlPSo9yyLwbOy1f1gJVLvSyq-BvPneSt4j7Fwd1b1FG_MiVw_cvJvDBq_w%3D%3D%26xkcb%3DSoCX-_M3WocUvBwldB0LbzkdCdPP%26p%3D5%26atk%3D1gj8a6r3qi5cn800%26prevUrl%3Dhttps%253A%252F%252Fwww.indeed.com%252Fm%252Fjobs%253Fq%253DSoftware%252BEngineer%2526start%253D0%2526l%253DChicago%252BIL%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D506a42546de1a3b9%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj8a6r3ci5cn800%26atk%3D1gj8a6r3qi5cn800%26spon%3D1%26where%3DChicago+IL%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,Magnolia Capital,"Hybrid remote in Chicago, IL 60606", 20 days ago,Estimated $88.6K - $112K a year
Chicago IL,Software Engineer,C++ Software Developer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0CpaTxkLdflaRCtx3yi8XPh7mkT5D9hLSmjjy5MKkSyk3RZi-nt2ImrcQTdSWPxzfEjSAgNkot2IKRoiZLCOPFXlvQxziTlq86Nbl_95-EH8NZoEiL7ah4xq9O9VlWoPuISWMEs3jBVeDgsgzPhruaNZOYpJmj9x95nc00LcoZNZw5xxihOBmAtDpVH3J3ntuWtxHC4mD1an0d1F-gCqgRhusMazjbf09-HXlsCuWvYaF5GM6JPDDBqvetiSHDtg-qskJc9MQmBUeIhgHH_JWCRNFZBRNHjLWL1C9xBe4NnTQWg9OHE5dT5MTvl2PFiMiM7VwSX3R9u8ohvuDNF7_rY3A8iNlXFbcYBXaB_WBN5F7pK56cpFKqF-iFAEKS-c8cso_5GX__1ekKeyYpfwCuSlYeHynb-mpKRACaYImt1TrmeKU4s7bjsByfSd91yi6hrQxaeF7ZKB0nur2Ffw70IGWuDHnXz2APUubC6fvRcCi8P66XmriZwUrCNpLlLqZvw20CAwA4hw0Xc8FY4JIPbHbt0SDCGuXCjvWur4uVgCA%3D%3D%26xkcb%3DSoAj-_M3WocUvBwldB0KbzkdCdPP%26p%3D6%26atk%3D1gj8a6r3qi5cn800%26prevUrl%3Dhttps%253A%252F%252Fwww.indeed.com%252Fm%252Fjobs%253Fq%253DSoftware%252BEngineer%2526start%253D0%2526l%253DChicago%252BIL%26prforceGroups%3D%26from%3Dserp&mclk=jk%3Da51980d71b121014%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj8a6r3ci5cn800%26atk%3D1gj8a6r3qi5cn800%26spon%3D1%26where%3DChicago+IL%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,Saba Group Now,"Hybrid remote in Chicago, IL 60606", 4 days ago,
Chicago IL,Software Engineer,Software Engineer - Campus Entry-Level,https://indeed.com/rc/clk?jk=a996c6bec72e3a9d&mtk=1gj8a6r3ci5cn800&from=serp,Capital Management,"Hybrid remote in Chicago, IL", 30+ days ago,
Chicago IL,Software Engineer,Software Engineer- Recent Graduate,https://indeed.com/rc/clk?jk=2b636991b5f973ce&mtk=1gj8a6r3ci5cn800&from=serp,PayPal,"Chicago, IL", 30+ days ago,Estimated $108K - $137K a year
