location_category,job_title_category,title,job_url,company,location,posted_date,salary
Dallas TX,Software Engineer,Early Career Software Developer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0Cg2EfBWPUJaBAt4LRBUQYdDsVwfvaJOUhcLQh7tRHeQaNwkj5aiSesmAYcsz6V3jyACscpDFPHdfoEPkLBvmznuLa5pd1rBsR-A_8FX7Z2C6LB17y-CF2HecVvrMyrXDI-L04ojBHRqNpF5XWrxyiq_QfgWLDVi3AoUir6bt3KneVV8Rc1ZMd-CGkmxWJdQVOZXdywYTx9bs0PZpW_4td9esFEJKohcLI_Bn3k405Q0PNJLcRTybKrBB8wPdqpictuohfcDTJ6_eHuuJIEeDdcBPFCVv4fYgw_cljuYfyKhyV8Oqcd_EDY6LK8vMRUlxNesoTre8o8BWxX_AxM0llfweDMXL-_bmwwuNK64R1udW6kxYBFu-9AQAqd5fLJLZw2FqR2JCLXSvkI7L4D7k2gh7f-3u22p8AWswg0fSHi56OaXBalEIUrAK3D8-tSxPM5gL_QLAPD6psDXHSUNq9Xdq9oxIgsRfxnoocJQj3RvslxuyvVYNzdWPuxSlOSFQXhIX1vLbTZgCRzibJYaDQvsS3YnJPwY-aRnVjVsTLif1nL82aNrynj%26xkcb%3DSoBL-_M3Wobk6eWnox0LbzkdCdPP%26p%3D0%26atk%3D1gj89qpeh2j4a000%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D6e1740f0ed46aa67%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj89qpe42j4a000%26atk%3D1gj89qpeh2j4a000%26spon%3D1%26where%3DDallas+TX%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,Workforce Opportunity Services,"Dallas, TX 75231", 30+ days ago,
Dallas TX,Software Engineer,Process Development Software Engineer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0BbkCBIbkvlTGE5DDVVnbnrkVptyzIJ3AjEDvSb5oUHYdAd2n3wiDwz0vF9p8R_Zc86sqcvJucCHxqye6eK3tDiyNo1lZLxMVkigU_j6wub4KXordAYR5pw22xZLUWRTbrO3OArgiPzHPRIXeOyd6j5ACEJ3LEklMahwYLbg_fC0P69iqh1X0C-NBfFAaZzyKtC-Q8Fb8rIXP6gYmPI5_qmESf3BJ9gHgbyaZhmc4BL5vn1VIC8eA8dZ77_dzSDeHxVxmcEBo4GatNAF6-VIHAkBZfU3nJ8uO_Ve-MfGKwSEcFSfSGLnh9iqB4PT6Tnw1Ld0PijZ9FodzimWzEqS_0Hma1K08uGobWAd3LH4xK0v87nQC8KyOQ1dwGMmswrg5O5UoqIRqPushhWkRf4MjXDflusG0OZ9EHkPWHTF6N_a-uqQRcuX07k59Pp56BeGP5AjveQBaRKU0xJUaOB92-Oifq1KTTHx9HzldW0G3NnUjvcO-3slBz5X7bu66_JNrvjhiCNu8vD_ZfK7jpeuu8jQPcbF5g70F4%3D%26xkcb%3DSoD_-_M3Wobk6eWnox0KbzkdCdPP%26p%3D1%26atk%3D1gj89qpeh2j4a000%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D48ac8524f1d67639%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj89qpe42j4a000%26atk%3D1gj89qpeh2j4a000%26spon%3D1%26where%3DDallas+TX%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,Auto TechLabs Inc.,"Irving, TX", 30+ days ago,Estimated $91.4K - $116K a year
Dallas TX,Software Engineer,Software Engineer (Product),https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0DNjNjv3lWbBIugprsPiGPkbM_A2kBWbVBXw4g14VEOdOTa1PfyJqHs896NWJCBxIp1SckfR7ykixUEfIjfdHi58tpYlAYOl071sdmFqsbFNfU8DjbYBzOYsDJpaSQE_V1er0VBDSkBQrohMo-hhAQc0yGYL0pQILhwO823wzIH2MP7rXJ_59XDxa8wcgnK5AbHSOL3TgZjAv56NDpGA9eFJfRlQtHtkiKt0kqyGDKGAPkVYFnZbrZX5ffQgsOqeUJblhHHL6KId0LTzBeElp4bEmul8nWcYoWxzcpmS82T4aCvb_Xn5C98I20BJ0Icza_ldzdD7AFj1kfojhzFvqqll0HteRwC6AGQ4c5YrhdiZM5wBexyUX3maH3UZSvAcQMloE0cu4fATbKBipuN2ZVnHxoRXDzqnDfRxxyaafF5g2zvWZmSrBIdUzivnQNwD4IirfkAquFlZZeCxYwDQcncg5B9zjunTRfXCz75zjazRLpfKxae0IkgQTp7At40PT1MNc0PqX7smit6vK1edwox1nf2Afy_4-IIOgI5HirDzw%3D%3D%26xkcb%3DSoBi-_M3Wobk6eWnox0JbzkdCdPP%26p%3D2%26atk%3D1gj89qpeh2j4a000%26prevUrl%3Dhttps%253A%252F%252Fwww.indeed.com%252Fm%252Fjobs%253Fq%253DSoftware%252BEngineer%2526start%253D0%2526l%253DDallas%252BTX%26prforceGroups%3D%26from%3Dserp&mclk=jk%3De0cfdc61638718b0%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj89qpe42j4a000%26atk%3D1gj89qpeh2j4a000%26spon%3D1%26where%3DDallas+TX%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,Topaz Labs,"Dallas, TX", 30+ days ago,Estimated $97.3K - $123K a year
Dallas TX,Software Engineer,Associate Software Engineer Entry Level,https://indeed.com/rc/clk?jk=74efeb5788d600b3&prevUrl=https%3A%2F%2Fwww.indeed.com%2Fm%2Fjobs%3Fq%3DSoftware%2BEngineer%26start%3D0%26l%3DDallas%2BTX&mtk=1gj89qpe42j4a000&from=serp,CareerNet,"Dallas, TX", 15 days ago,
Dallas TX,Software Engineer,iOS Developer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0Bn6WyOFJC2w_cWizFvxLjc8NboJG448k6lCkWYwMnx1iasY_rTuzelxeL5u5oY7ETaFcsJYASdxVQ8JEpr4zrGkdgmbZpsXJAn-oX3SUozfKeldx3thmBO3I868p6tzIuoxectw9cSK8jnbhPG7VoF-XAIq2TRpJVz1pZLgGtmhmszhIUDMnx-eNLZSMyEkqKFf6zJEe12iXwMsPDYtMqCc6p_N8r1X9xRffWMsmpm7YktDvW8wah7HALDOZgsNCc6g0WJLC6zHoz6Z5OEBuM8PUsgsvprovl0jDUyZ_AsWAwNAhOCfBsLUerABRLPOzHFuCvSCfbtimCbidNJRAUOKINf-yv5Qy16o6HNPVL3ULSMeQ-uebT569AirkvvHkmxgKs1FwdZF2af1Z_ahIo7eXSWwwJ_MJyB0inFIGEtQNxg4QnSdwJsJdi1kS0HZVgq36JYZyD7o6HUcdq8v4T9CGdZLNZm51stJz-zEfKPXncJ4Of7Z2kmfVcQJyEKy1Vhsyd431bolKyLlOrXQojeHpjDpOMCguUVvU8MrKXHrQ%3D%3D%26xkcb%3DSoC6-_M3Wobk6e2nox0KbzkdCdPP%26p%3D4%26atk%3D1gj89qpeh2j4a000%26prevUrl%3Dhttps%253A%252F%252Fwww.indeed.com%252Fm%252Fjobs%253Fq%253DSoftware%252BEngineer%2526start%253D0%2526l%253DDallas%252BTX%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D91f5a037cf9ca9f9%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj89qpe42j4a000%26atk%3D1gj89qpeh2j4a000%26spon%3D1%26where%3DDallas+TX%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,TransReach Talent,"Dallas, TX", 9 days ago,
Dallas TX,Software Engineer,.NET Sitecore Lead,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0AuKz8EBO1xHDEL7V2YF9xF3dC_I9B9i-Zw2Jh8clPMK3KTieKealHQYQbcBGwzKfE0ww513vkYWZw52rMkTWuc-_oUMNPNOek5Xubb4JgoJPtxFuxJoq45Ev1qJxKA-NkE11J91XKZNoXU-C5_aA06feMexk3Bql4DUHvC5-NnO1biEX0kNXN7JuXOLzbCNQ94rdydMQQQebZuQvIzGz_kdB45NeyQLGXINs6gDLVvs9sdPNrFWBmiFm9IjgicW8YkaO6dMBhlSxx40tuc6pCyhoVFd9gv2SxXfE8LQ1HBVeo4FTl4kqkgb-H34O22VrLKejZJhu6s_rqSGHewy8WEQf3m-h9mvQq7xG71uBr4YLsT9rysx-W3ZeK9ZljjAv2eqPAwIqhpVzw0MjL6buHf5Wfnk8WSCOjIw4SGV56p4O-X4Vha4ISZrY_SdxliM45BW_LHl9hAPAPGWUlP0_RaMuBi-HPNS5quRUQZ9Ls7O6iV6ggdIbJRhAzLg5yT2A0eSnjASqOn_TOwAlxBwmIFlLQHiCZHHXOBxmdLFBp5bOp0GMe7Nxrblv8uVsLpwAwRiiRU8J9p1UTu5w4Qop2C_fDJ0hGWReyxSVbKANKr2Md4FlX8H3e0MTK-HLLTjSNMo_of5XUMhzxp42F_NVUnmZ87ywmP5xqD_kPCJZH5_nrcm8YRFjLogkNiVlIh-3Ljfu7YyqfAqjuI-6h5fqIZ3IuEaD2HNQ-5ZAkIiBvKfjxsPWzxtfePHq9lnHrhcnXqEbrD3_sGiVT2Mxwu4_Lgft4SKoGhJu3iABFTXIbbJ2j86gIAXS2bLqP0bQ-WYHfvf1TrGXAD-vU9FT2ZtGhbgaY2gG4aJo7IvTPxAWyvn6B2mIlK3mcqI87MQdi5XxmCeIXJE_nh746XEuQITAvz1zDhlF0_OKaxOHa6QjKrDcn3UY89Zz76sEjS9hpDuYvKmfJAzEcDIMQhrWus29exHJMr0cf7ySUBeci8TgMn43qZiwK9a2Ye3gh-hoYL_KM86MUG7N1mg696wTiSR8YqjE5GBIs_E6Y%3D%26xkcb%3DSoAn-_M3Wobk6e2nox0JbzkdCdPP%26p%3D5%26atk%3D1gj89qpeh2j4a000%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D84e5a7bdb5ba3d9b%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj89qpe42j4a000%26atk%3D1gj89qpeh2j4a000%26spon%3D1%26where%3DDallas+TX%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,TEKsystems,"Remote in Dallas, TX 75201", 2 days ago,
Dallas TX,Software Engineer,Principal Software Engineer (Onsite) ($30k Signing Bonus),https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0AmeoOzMpFeQa4nQauBOkgcasiRGbz5T5YfctgmEyRynrYolUy7pV0qPVdds7__LZfJaeGEA-LhtObOt80bAwyyIscrbvT9JN5Q-uUxoMPu8EzF8MF86zkYOjRdCFvutaEfwDgf6x7O_S40vyKEdBs00iqn4ldikdpoEc8cNi8e4IN-rMhk2H79h9dcR4hhqXcIMZyjnlhykOARUNubSV6vceMf4Rp3xIUZVDa52j3cHPLmFbGpGNPNRojxIeeH3Oe8XVZP7wxXOQ8vJWFWmIQDFygTiq80kb7JegmNyGur0QEelWL9ogi2uRFilrD0fs2oomnVN2v7XiUrfRbA_4lLyI321JchoiHijVTmXBSKN8TC8TZL0l4KSsE8m_vViIWw9Fx717NGgyAVxQGxK6_BHSg2U_CN7C6gfMMdG0ILs9OHM2RJ76QyToyZ2bsHwhJNtHNDIGqpSmRyC97cIIOJkjfMj_2NjmkjZ_0VM23O9bEMXEGobqPKBM-vzcc_9Th_R1_N6QuvtKiXhLKzE9K2uowe2FXg-4qJCQJa642G88QLuIOsPnCwup2K3bwBvACCU1FBTNrkXdTZwLucwCEK2C7jdp2KClcOUlgvXMUCuFHh4c937MSnjzbOaQzAw0rhaUR5bansA3yEWIBmLqgEWlW3vW7m8zQebcLyyv1umCJKnQciXgjdvV5arlY_7opgBnzN9NCmkrgCZ_duV0LlPBmqI80zkDGutF379kmgBsV79hehTkdX5pWDgQ5Dyqrl9n99iPZ-jY_qWouuRZp9PHUDGeVWKlgWTHXsi_sfw5rFYpM9Jm5b-DZDOPCE749Cr_8PlU695wBKfhs8XH_z1k5ayWBGFgN9dwUvwsqb17n8FPgfSuyfI7rTFpCi2x3iry-Sw-ol-2oXAIZiPnjx3zgaKBfs7X6-jPyN0wlzBqnKzWJavPjaS3EogznpXEL_ePxPX6EP3A%3D%3D%26xkcb%3DSoCT-_M3Wobk6e2nox0IbzkdCdPP%26p%3D6%26atk%3D1gj89qpeh2j4a000%26prforceGroups%3D%26from%3Dserp&mclk=jk%3Dff3900da9fe9e1fe%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj89qpe42j4a000%26atk%3D1gj89qpeh2j4a000%26spon%3D1%26where%3DDallas+TX%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,Collins Aerospace,"Richardson, TX 75082", 30+ days ago,
Dallas TX,Software Engineer,Process Development Software Engineer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0AeCLmqNTROkfc2ar6QQsJnuBIs459e6iOh9URAPEpLu-rtZ7OjiluZ0Q_SnugXLFudSeBEgTGXlxFUfqGBYFqfcLdOc1TUQJoQNwIYLVAjcy89L6RxRI5cFl00ZhUCi4qHTA5GFiHtRMNOG5zDMMNjFBjLxnsD0gwZt0F-bsmBoRTtXufRPkVlauKA4H5aeyXP07euQFki0hsEcNXbTV6oVkPabZ5HaG7MpXgLtmvphwYbyGPAw8t8wL_wN9YWUYsCgeQmZ7AeJTh6SBHIZLlR3zsZNTxEaYzi4KVh0P2rZNQmzUmz_x4k1fn2fjSUb2v-VyAK8QT5dyFIOZTEGDi2dQe4NOeGDj_gXZNb3rNVBLAJpP1Jp5rFve6WTL1cNbd35GMewKMkEXUQh_mD8tQ07EVfZE6eKXXfEccIbrZBbpmVOS44GHgHKJq4O1uZUVop4qRYvrdo4zMnQ-XV3WoE6V35xDN-8cKUyWK4Ay34StDZAp2sJHpDJftW0I4U_7rCvu-Tz0RX63Jj0XLLhJS8Lzl1nf_yiEl4QlRLkbQWEsBrpfWP27Rvw99Tk98EEAA%3D%26xkcb%3DSoAd-_M3Wobk6e2nox0PbzkdCdPP%26p%3D7%26atk%3D1gj89qpeh2j4a000%26prevUrl%3Dhttps%253A%252F%252Fwww.indeed.com%252Fm%252Fjobs%253Fq%253DSoftware%252BEngineer%2526start%253D0%2526l%253DDallas%252BTX%26prforceGroups%3D%26from%3Dserp&mclk=jk%3Dc176e5fee199f24d%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj89qpe42j4a000%26atk%3D1gj89qpeh2j4a000%26spon%3D1%26where%3DDallas+TX%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,AutoNation,"Irving, TX 75061", 2 days ago,
Dallas TX,Software Engineer,Software Engineer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0CMdjcVccik5pCTnYffLyHqbJNeKbDeBFp9W1f3X-F9BzVszzXMAaI80Ck3YqngqhouNFzbKwzs_khFP3Opfg1uwVddeota1JWRAzs52ZWEZppbBKZO1qQISUcUkUkGYrnnHD5pl1pfdmGbmNk1N5vSdyKECIAFquYPE6YCHJTipy-ZKJleQ4Bixykk9FAtzaU3VQE8TG1Ya1eBAaxGShCg7Q1ZJl2BWktg0A-rnDViD90S-v7uChSY1Q7Q2HsTuSQ4RDcod6Q9Le_WHtv41fuQohGxINquoxISOkca49qaEaULDRnboqtjF8cDHPVGmtCFGOg99mEN5wYd6KD8G7L1A8SKBIdXJSMzCZGL4sqOwy9hmCj2rkwN0059SupTac06eohbGy1xDJ_TVB3rM0UenLfPNh8vJxhFKEH6SEt6Qke53k1tbdx7-eQN-l71nKVA75vEl4Cypl0UoR5jEFQZfvWfL41iWJGtPcgPOQXrXBHAjdxwYZ6P3UDlEcch0H3_SXlEJ6jh-fy_9Ige1WlRRkTyAKvJd7kHAN7WF9l23QvGfdnq8jUc7bmk1UnOATznmJaUTU6iwMlG0Tqzr1qRNTLu5yoyS0iwjk9kyzjJexlqsM5vYWAJfZmpY_JSrWknuwQpRyapdg%3D%3D%26xkcb%3DSoC4-_M3Wobk6ZWnox0LbzkdCdPP%26p%3D8%26atk%3D1gj89qpeh2j4a000%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D90e88d57f26c12a5%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj89qpe42j4a000%26atk%3D1gj89qpeh2j4a000%26spon%3D1%26where%3DDallas+TX%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,MoneyGram,"Dallas, TX 75206", 1 day ago,
Dallas TX,Software Engineer,"Rendering Engineer (C++, GPU, shaders, remote)",https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0A3LmKGJrRdG8-GibsnagGmC1U8qn1FiBTMFAUobQ0wT5jp_zrKkiXhLff4RZyiONexCQqbZD9GVM0oy6cuuIDs_grGFGBMpHdH0QvgOXRsPAqWS24SeqXJ6jkr6gz0kFctL0U5Y1OgO1uJkKhlXjOOx4TF79xv0r-FpRfsdb_pu2Fi9s5VWiUDEbOZpS6X2n069nvwoxRV4w6eMMg-AOCP67IhjWQP9S5HOdbFtvplxIug2P4o0g9dDWxepLB-55R31CHi9UAxswNIugEz8yhUzYR3mGNjqTkt1P53chlbPM5-pIs6IheX5tMfUWVdrZ7IiNKcbVoHgWahAbAFc0PD6zilhPlcjnYpckBkEPVUqFpBGxkgfxeK0Rekww1iJEdw5cYrWYT0ggC6_9kPg2smeTTAfgeC_SgpDwRgQctgW_iCt7zMlavZT7ObSvQB616EqJdQ7hB-Wi-y3ByyII3r-gmUR39aePlHYAVARdb4fMAEVUutNzhVJlT5TPO0JZlFViNDMgT04zTLwNIo0Q98Tkx2KMLsKiS6zkoVhlzroL3HVqSyjI1xprB4MNiSIGsA43Uf8fn_DDKDF0-tXZmyh-oSrUJrNCxkEcsT8DuxphktxysHGiz4gN5PFLjuMXa9PWprRrzTv5RCvGIoB6zOOTJaCs3G_RoZ3gM_TDyJe3OyzOq2HF_epe2RKtgFeQTGG0DgP_JMjV-qdW8K06SAkws5pvzloCTVTjGmounzTE5sgA6wKjot_EEE4NIqLbGtr-GcfUF5-cmD1W4ahETtAB3El4En_vTyCR31fncGhv45C-2Vk6WG3sOuaEa7tgVcPXp8dy-mAG-S2quZBG3_Q8kC4YEoTEo_-Fuc7lLf9DSqspWxJO37p7cd9zwruWVwzzgQDCndfIPlrpiylHSz1fPip7ZAy4Q%3D%26xkcb%3DSoAM-_M3Wobk6ZWnox0KbzkdCdPP%26p%3D9%26atk%3D1gj89qpeh2j4a000%26prevUrl%3Dhttps%253A%252F%252Fwww.indeed.com%252Fm%252Fjobs%253Fq%253DSoftware%252BEngineer%2526start%253D0%2526l%253DDallas%252BTX%26prforceGroups%3D%26from%3Dserp&mclk=jk%3Daf890d59160b8450%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj89qpe42j4a000%26atk%3D1gj89qpeh2j4a000%26spon%3D1%26where%3DDallas+TX%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,Vectorworks Inc.,Remote in United States, 30+ days ago,Estimated $88.5K - $112K a year
