title,job_url,company,location,posted_date,salary
Field/Software Engineer - Aerospace Industry,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0DxCZnDliWW_rcfMLoVO_wJl195BLjL9Hk8YTc5obIwJoL2kZGJZbB_FRTV3G63eWbsGKUrQ4NuIwqFsFyfoLiTw9WAGSFxRIvHc3BiPxzi-_srUljYusU_gR0qTNUwg7YK6lmr2b85b40doXa3o3EHZNpWdvECwRsGCdtwIZYrFK_e0gbenDlpJH0RdkhI-zqxERgE3fLR1LrE3icmC4M3VZZw1qlyWOwKN5juk7xbmXq1knw8GSqU5Cll8MXFJax583smQ6Rjw4XLtxiQW_X1CHO6wTvxUaSNzT0-JSgeVZWtzVwqFllB_AzJo5pwXmkVU5FH-RkF54ra50r7MYYRhcFqSBesSQtO_ucjwJ8rhFIWTxAXPDCqW8ta9bZv6DQE5BJP6A8AqFSc0raeXyFZMRJZCsHyY1OeTp-bVZnjp5YhEAZ3px8ZMIejWL8s_L3S1NVj6LbVwbvrphmt5qKc16Ii1sHHhsl128YbZI-t8xPKd0neLdidMt98gYELjQrRFaK6fXvS0xnM-p2IW0UjITNnhM5DWjsDPscd-jUNalWiBj8lYWVNFZrjMs9Ok1k%3D%26xkcb%3DSoA6-_M3WoG47A2k0J0LbzkdCdPP%26p%3D0%26atk%3D1gj87dpkgkmds800%26prevUrl%3Dhttps%253A%252F%252Fwww.indeed.com%252Fm%252Fjobs%253Fq%253DSoftware%252BEngineer%2526start%253D0%2526l%253DDenver%252BCO%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D7bf46e1bc14d9271%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj87dpk4kmds800%26atk%3D1gj87dpkgkmds800%26spon%3D1%26where%3DDenver+CO%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,"SHOTOVER Systems, Inc.","Boulder, CO 80301", 10 days ago,
Robotics/Autonomous Vehicle Software Engineer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0DHq5cS7_NQY_ZldJLemQnyJLq4g1PakK2IK7lNmBZOqpId81xnHJBVAj9mSwr45QjtA7Pq-wUtFEWmv1zR01zNbcv2zKCHIRIWcXlprWtkbgUj7S5AOnl5SBD0LFqau1qbBRS4AZFCy5APdnwoasGJs4X2ahmceK07ry6Q9MeHYu01VHyNTBbUWBiXpV7qzbE9bASdul8gCdBxlKk7HejkLg-quC5IFwHUZeHpAsiJ5jG9o1J4ZpXkY0kesUP_ZzBoI-detm0C7ysw-6QRo9uTze8OyIK3AT-gdAOOpMG-ZnVywOt2Gok-YzI2LHihBnIV8uR-dsip9aoyY01L1RCwlxqyEIVv4W9e96gjH9lygG2SN5aVf8qflN4ISOjJdAJOpin1owd5U6AE2VHNaivmsp1GIF97ukiFHm7gP-icUPcaqLNuNEarQ9BCdNNO-5FSp54f4laoi5kD7AeucYESKPsh2C1iCw17yhBKKZES_e-L-Zgm66am46qcXsOcaRjKHJvI5iouqs3BwwHDDa4PnbKH0NQ2o0lRvaSMRf7yjfrJ0M8cXDpeyHWWdzNONqh2XMi42UPjkkH3U1frlBgR5a-t0ooAwSE%3D%26xkcb%3DSoAp-_M3WoG47A2k0J0PbzkdCdPP%26p%3D1%26atk%3D1gj87dpkgkmds800%26prevUrl%3Dhttps%253A%252F%252Fwww.indeed.com%252Fm%252Fjobs%253Fq%253DSoftware%252BEngineer%2526start%253D0%2526l%253DDenver%252BCO%26prforceGroups%3D%26from%3Dserp&mclk=jk%3Df1ceacd54aa658f2%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj87dpk4kmds800%26atk%3D1gj87dpkgkmds800%26spon%3D1%26where%3DDenver+CO%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,"Stratom, Inc.","Boulder, CO 80301", 30+ days ago,
Software Engineer - UI,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0CZUO70VSdYKA8PR3jfrSh5ljhqJhfDt0PzQCMubt8cRihWbmqO_-Ccw6DGinMZCyKp74GWVi1JsdK-XRWbFgKqmW4TYKYo_qGYGezIQ80HW8rZJWlL2C1hWFQ1kM6zckLvCSUdH6NbpSoYFn-nbRyKLhg-OS4jNGnDhNTElD70GOTl5fSC8LPBaxYIth6svk3bbrPQx91Br3yT-QA9bu56VOYeGu1AuHQAPJdUOlORNsPdDLexVqWEtc5LIGtIAndAN2hTWVvwn2Mk9t-AZCPK-rvEC1XAkWczvf9jYgjNBdmgnPS7P-9LCMjalPrxIoT3-azMFkiFZl5q1GjjkqzZVxNnnQesIIbCPeZJW8_3qQjaT0eDVT3u1dp3sSVwYtZlbHPyR8CIms7eANW3y-sRLdFNCyUx1VcRzye7AxA3juc90HmFIjztVa1nbHYnm_SIvsLs5n3xDAXKX5zJ5GmFOTu4nSRl_XL_jITu0L0MOUHMrxleJKZnSUoUUzEvrIgoAz9nKAoW9vCKyK9a--F4fpNSZw3PJiqNgovS0XkbNbhgeiJfjonuDvxO6pgSfAQCtu1PCOCmzpGv0hJisw2xgXt5XOSOB9cNwzlTqFQOzYKM2MoeNl_ETxH8EyQ3zPAt93Z6kgEww7ds3QZ20Go3uSCIMrEgmuXZ2CT9kAPg6kMQa6d0KxZkXhTu---PwanFgR86I5dr3SsO83A8KV0rPoiUep9niRI%3D%26xkcb%3DSoCd-_M3WoG47A2k0J0ObzkdCdPP%26p%3D2%26atk%3D1gj87dpkgkmds800%26prforceGroups%3D%26from%3Dserp&mclk=jk%3Dce92a83a68a7ab28%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj87dpk4kmds800%26atk%3D1gj87dpkgkmds800%26spon%3D1%26where%3DDenver+CO%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,Leidos,"Aurora, CO 80011", 30+ days ago,
Technical Support Engineer (Gimbal/Camera Systems),https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0DxCZnDliWW_rcfMLoVO_wJl195BLjL9Hk8YTc5obIwJoL2kZGJZbB_qe2hm-NhSRxCDx-AnzhUKpY3DyieqrcRqBXxqUwM8K0stBKRy_5NyUrHr84lnLnJKk5TT9Aj6m89iBLaRtQ2zsmqP7fKn1nL2UNP6cgX6FLziWz8C0_erT2u9Wt2bVFo6jd3ygUZu8tJ0D3nJ6HsJDnhG4SL3EW_we0sD82V-JHxm7gDBF47x5OH4YRoapHi1dbfTG6xD5tG5JgyEGe7igNg4xjGX7-jljlMVLao7VcxyUgXJfGGuKbTZxRgZGnCyEED-M2jvx8wDDWKI4j62SNnWVSbcsVbMnAi_tCTFEL53HTgygZMFwYfpT-Ew3dmv2CO41saYFCejxAFweYTbtB7VeCaJpKZX9IisAnXkSLF1Of5voTBppXEpmePhuUBdvAzU1H_GdAtwWnsZmiDnKyYKWz7Gs7IZ4mRS7MsmLzf1AriFW-dldyEaSoucQGgXJq8fAxfRO2P-hn5DtufxXJZCYSudMNMBPFDwKquuScPJyMi1sBR6NRNJE6A3LTMDNYkhR-WoZx0YNp2cnEpJQ%3D%3D%26xkcb%3DSoAA-_M3WoG47A2k0J0NbzkdCdPP%26p%3D3%26atk%3D1gj87dpkgkmds800%26prevUrl%3Dhttps%253A%252F%252Fwww.indeed.com%252Fm%252Fjobs%253Fq%253DSoftware%252BEngineer%2526start%253D0%2526l%253DDenver%252BCO%26prforceGroups%3D%26from%3Dserp&mclk=jk%3De4234054652f9b87%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj87dpk4kmds800%26atk%3D1gj87dpkgkmds800%26spon%3D1%26where%3DDenver+CO%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,"SHOTOVER Systems, Inc.","Boulder, CO 80301", 10 days ago,
Embedded Software Engineer II,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0Ac8NyROde4VUcKTDVt5YCTtkWmBYRazuVWaKGJliW6NpvJiyZGBDum46g-KD9fztLWKVyJq-b1uD8GcE7h7vGI4LVvVHeyoeh4tjbDT9RE897SbnPTcvQ7MzE_7kp5qvUXOazdtd_02qfgwkRSjg_5oNG_X8I7oRAvP_zYxcPxZmJpLLyThoCH7sPRnVpaSyx6OXrVEYQyUV3B2xFsftJc3o_Hgo7jPyuUfvUUwNjNbg2LRNR8M_OBOM9HnbWAoYKgaNH_WkFifkNa92rXjZKmbWPhxFn9KTwBnNxep4DXB9T6tZXO31dqsVpp57Zim2LX7DyS_3NWQ8FRGv5GYTaQ2k-lebfUFLHLsNBBWi5xZgr07zZNb_gWfk0qZscnpZgcpz7H-Ali8BAWeZMUEmBh7YapRbsO8lCLDCE0S4RbNDl-CV0-AogdkFVL1EKkRW0aQcKbbSrNAQVltvNqjAgJHB5cqCsZBZsyEwXaQ87Xh05M6-Umt_p_dkIiDmMT36cbz1kjYuaBGyOsl9HRB5B4X2IFGwY1QbnZUWLchqEiT_eWIM-Lto_-v9F8wb6MFa6EMvuWZCfj5pm1790cfZFt%26xkcb%3DSoBj-_M3WoG47DWk0J0LbzkdCdPP%26p%3D4%26atk%3D1gj87dpkgkmds800%26prevUrl%3Dhttps%253A%252F%252Fwww.indeed.com%252Fm%252Fjobs%253Fq%253DSoftware%252BEngineer%2526start%253D0%2526l%253DDenver%252BCO%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D64cf06bd742288c6%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj87dpk4kmds800%26atk%3D1gj87dpkgkmds800%26spon%3D1%26where%3DDenver+CO%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,SEAKR Engineering,"Englewood, CO 80111", 30+ days ago,
NetApp Emerging Talent - Software Engineer (BLDR),https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0DUIUKNmkO9eplQBWgjWtyZTeBIvNV_K-f7eYqnE-qDJ8bApFfch6MTjmnd0ZXAEvzphs8iggiXaPDvJvi7d5fW7GbIFhvZhNSb3lW3HLdiyZzy7nFycro9x-dP6fgDhHNNhC5M3A4l1NOm-GKlYpnLNFB6v_2zUtCzZAGLrCZqsyL35P_jHWuiZjNUHtThy-Ta7HGLg1-NuD0PFrc501v0pNhRI4Yi1y6kaRzYlxNWXXhJ3T-CsPav-C8CwBRjkTmE1qcnSFhSKT7wyF5ISiWJD5ldG_e7yC8EpC-nJAaHzG-WTZRAyX1P4vTITlzeVj-lv_G0uyfamh_dxztd1dbB0nf_1L1TTGf6NqOqAtHEgVKfSc0CrLNIDNujpvVvrkNpaa7akdTO8Os7ELTGoHqf5btBwREEV7xv6qql0YbXmav9SJvA3oeUg7VDpgEW-T1uHk4wlfHiBF1qx7BDPN5J0nR3gufFoOo%3D%26xkcb%3DSoDX-_M3WoG47DWk0J0KbzkdCdPP%26p%3D5%26atk%3D1gj87dpkgkmds800%26prforceGroups%3D%26from%3Dserp&mclk=jk%3Dfd02f68e7ae69820%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj87dpk4kmds800%26atk%3D1gj87dpkgkmds800%26spon%3D1%26where%3DDenver+CO%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,"Net App, Inc.","Boulder, CO 80309", 3 days ago,
Associate Software Engineer Entry Level,https://indeed.com/rc/clk?jk=6ca65d03762b30da&prevUrl=https%3A%2F%2Fwww.indeed.com%2Fm%2Fjobs%3Fq%3DSoftware%2BEngineer%26start%3D0%26l%3DDenver%2BCO&mtk=1gj87dpk4kmds800&from=serp,CareerNet,"Denver, CO", 4 days ago,
IT Engineer - Mobile Developer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0B-1D-e_ZYujhNkNlYyaLjJ6FcVQ233icvY0YU3o2VnphXh4wMrlrTO8CarFk3GcP7gAS46o07ZqTCp3Qj8lpj7BUSE3TEguGbU-_Ztv7U9S9xDLd20O8LPdY4nkygn4AH8T2iOqHxnvD3F1kd7dOv7fIMGg6qZ3W69XaswvPmUZsKzzrR7sIF3voR4GDnW5d6DlXOg55R_lQ0Qu2NHj-wMCcd6j4Vqbm_uHPnum2PWShp95FlhhdfjroCV8YaGeiRtorEDh3fk0zl8mG9V2wvrxs8tLAp-yqB9t1de_0k36MHhz9x9Ya__5qBtjYVbxub545E75CZ783GC-w-ly6zrR9S_PTUwC-djWbbgNoWBujJL1ss0EPUR3q8Uii9VPJVPa-bm_0XlB2zdB9My-GhaFA0AeLPEI_zcQDsD2sE94gMZ5cv7GszjkbFR5lzegHCuQJDGn6THdTTAbTFwi_LsGhmT2luaKnN8ntyp-h8rEgEJzYCyO0lR4umHzkK6iLpM7mGFpX9qanNA4WFl7v9-Y1-oxQOXwkr0rf53Vs0t3qx3O6NalkHM6ID9Ow04BGSd3ymU9Daty1Mhd1tbEQ5LgCzagfBuKOiC99I1icMMmE9SuKTA6tzNL71qgQ77gxEFnejyhdwbcSTjDTylIE_eLEBzbjHj83kpV6AG2-MbprWLtkIVZpYXiww5mf6WoTrRrU55fFo2Ug%3D%3D%26xkcb%3DSoD--_M3WoG47DWk0J0IbzkdCdPP%26p%3D7%26atk%3D1gj87dpkgkmds800%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D19cb90210bf8a339%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj87dpk4kmds800%26atk%3D1gj87dpkgkmds800%26spon%3D1%26where%3DDenver+CO%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,Xcel Energy,"Denver, CO 80202", 28 days ago,
Computer Vision and Machine Learning Engineer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0DHq5cS7_NQY_ZldJLemQnyJLq4g1PakK2IK7lNmBZOqnEYnYjtKhU36JlWtUvr_Xe7CHY7aevEY86P6-xieyhbUOURQw3xkR5_ojvG6RpkO5BnAlsaUToMecnCs6eWxCtr6UNL0xkWsoSoNhkuP4iRRckHiuyLjUjSvYNzsmoBaXnGwLCip4ufCM5gXFpnD-dUd3IneuY96i0YiNTLma1f9CGcgMf-vjyQpcKMnigupnDxTpiMdrJEvcNJIbkx_CCighPXSxPwUQBdO78HWz5Yj9dgfXIcFQnTxv1oL_ESBbZkuQb1E-ydvRKBBvEqRVjNwThUsVES2e_v7afZkJufur3fcfrs6B9_Tf-WRDcl9sULTiq6zJ1li_9dhvLwr4HdpX5BZF8CPV9H4-gNWF4LUlx6xYeVwzYiNFKonxVP5yL5cH_zLYCcsEoYpQGvsk3ZeQRTF5pyJGUWPKhEUE7GoA51dJMU9La6pdizI1MSVhuYd1TB3-ZnjXpT1RPVUgEOqW9WmqvhOzBch3iejC5DCq8NxWMZq0EeGKDGzhsAvMa-OTTLlsBLJF6DuxzlVOpttnHNChE_5g%3D%3D%26xkcb%3DSoBw-_M3WoG47DWk0J0PbzkdCdPP%26p%3D8%26atk%3D1gj87dpkgkmds800%26prevUrl%3Dhttps%253A%252F%252Fwww.indeed.com%252Fm%252Fjobs%253Fq%253DSoftware%252BEngineer%2526start%253D0%2526l%253DDenver%252BCO%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D2b3656dc50e2a013%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj87dpk4kmds800%26atk%3D1gj87dpkgkmds800%26spon%3D1%26where%3DDenver+CO%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,"Stratom, Inc.","Boulder, CO 80301", 9 days ago,
