title,job_url,company,location,posted_date,salary
Software Developer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0Cg2EfBWPUJaBAt4LRBUQYdDsVwfvaJOUhcLQh7tRHeQeUgAhlb0izscwc_DrxcTThkcMmuUegDM4nQ0YD_bXrn4Zyh-KMXi134-ytm1JJem0Lx5C3WqDRBRyu4cqEi7Lz4EJ5xtjF8lvdk-eaupnhW12HhORt1HsYTnQ3Fxv0vPz36qvjcJGUga6Ek12P-3MCOaC5JIuMyodFCIST68Z9beHpw_BvPel1o2mFcZrDD9Sfl9UZzj1hSZNsOTOo1j9nMC8hGcm_ERNGa2zyr8y-SvJyU2ds-XW6MjomR6wksd2KmnZ7zK2PtrWgLAEQZlf_vhZDVwnziGsP75DUetmgFkF6kFagE66cBMWGz4DbeSxyTHPxjKkjeCbMLMzB-QwpHCUyNzvJjFrV01847n7Y6cBMoQuAG5ksyReWAnQeGc-MGtXm3mzkUNMSmcdr6vn9zbUQkkQ3DcYOZ9ZhLhlDNzw0hEmWY_irdAgsne470ARM8mq0imubYmh1GJUVXR3qHIuMDoVzkQ_FdBzUO5S6C7gKR60_hpSOOtENlvS-QXiE1MjhBgq4S%26xkcb%3DSoCs-_M3WoGvH3zU3h0PbzkdCdPP%26p%3D0%26atk%3D1gj87861ckc1u800%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D5e097f7af89b56b3%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj87860tkc1u800%26atk%3D1gj87861ckc1u800%26spon%3D1%26where%3DGlendale+AZ%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,Workforce Opportunity Services,"Phoenix, AZ", 30+ days ago,
Software Engineer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0DUIUKNmkO9eplQBWgjWtyZTeBIvNV_K-f7eYqnE-qDJ8bApFfch6MTjmnd0ZXAEvzphs8iggiXaH9mLJcHxqBYY8cV4McaLTj-2ck4XQQcNfVjNhzBdcVutHeGlcOplFXsnt8lD6zN86iBZ57YXNXoIBGXM1KGolR3zBvkX6nVYTPtZBu72GAaP0JrGxltTBja-nh-O7kCf-Vy2Uyx285hYrhOPfE4CYYCkOnXHZ7D7W9_6vnmwabZ7_Tk_2EK8-FLD02gp0B3BiSX8A--3C_Kp0ZGWd0Z7qNG8Q8F2PF9PevhRRdaL3r-PULrYUVJFRIf6do0NYwKTURpn-Gb4pC1g_RvdoSc0j93Gk6CBB4AQ82uXzkhzKehUDzMcj30rlyyM7czKaHbb7XdjXm5lNrUCg4LVK9HvGof2-n6P-eKjGqZMRbU8JYYs0BrFxAW51j3M2Y35SMq5oLoVbR0uqPEMh_1cyVjIgNam81ff8EIjA%3D%3D%26xkcb%3DSoAx-_M3WoGvH2TU3h0LbzkdCdPP%26p%3D1%26atk%3D1gj87861ckc1u800%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D28c7a8f6e71b4533%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj87860tkc1u800%26atk%3D1gj87861ckc1u800%26spon%3D1%26where%3DGlendale+AZ%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,"Net App, Inc.","Goodyear, AZ 85338", 3 days ago,Estimated $106K - $134K a year
Software Development Engineer in Test,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0AQXjnm9lAuCb-1FUyIjJfWTB_SWOAqBZKJacC3dJzsUM7w2_ml3yJviPGVi2CSlUsEwCdqu7wdCATBkpnpdr6NYqSujYTPSmrhpcfsQCeRZgYOAIgI6hYMDXfNCTNvgwpGT7UHDv2keBVnWEGolEBwzxijU72JBnE7U4RAleWWRmLBirOXeBFgKCUJstHwdWY56H34chUab3KJOkRHuCSAkfNEbnnR9KeONpxevM47ImmJ0DLVj6SAU5j0m0C6drQLarV0y_h8kVyD-JWIq3jrwFpIZCNgqCmoC8BowlCcantC_UQq8ZOM0OwNPlwWXQVsXEA65zQeiOslTXrDopTbb07THDghuOjXJs-CcP7RLU-v3kIJXW1zavqmxBlp65LNh0rxvFNrKxjUmmav5smzcPijNV1JEQlXu3oCcqygnIPIOa_9lkgi5SUUwNI0_waPIDfSvM16UwObK1ab2-Mx7ddp0wkD3T3YDWoQ4iteu5T0ldi7U0EyYUK7VEuyHBxMG4ztRZAuwsba_uUehL8L2pUCMFk5bmOFd3ES3HUKI_kvUmaqxFs3aS-fvI0X-yg%3D%26xkcb%3DSoCF-_M3WoGvH2TU3h0KbzkdCdPP%26p%3D2%26atk%3D1gj87861ckc1u800%26prevUrl%3Dhttps%253A%252F%252Fwww.indeed.com%252Fm%252Fjobs%253Fq%253DSoftware%252BEngineer%2526start%253D0%2526l%253DGlendale%252BAZ%26prforceGroups%3D%26from%3Dserp&mclk=jk%3Dd29ba1d72dd3b73b%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj87860tkc1u800%26atk%3D1gj87861ckc1u800%26spon%3D1%26where%3DGlendale+AZ%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,"Pax Technology, Inc.","Tempe, AZ 85283", 9 days ago,
Java Software Engineer-Mid Level (Remote),https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0CdTBpsLrhs4IwmIsoO0brdHaF9POTtXIeJjdlamKYQ_OhglXXDFJZTh11Z6IDPRXWLwikQGFLyAq_aI9XA2AEKlMiiDuUVdysp4zwrJh8D20ChdPXOc1A3uA3UnD-vEGAxKTHyiyQk6I2h5rA5QU9fKPNSNDZAd58QeVOhU7SAwrUQQQcYgRJSpoY_ENPv2jlcUEf2MOcIf2ZsDEiIybxz7c2soEOAd0nx4dLoF_Pggemwqf9mnhvT6UpT3Qt-CWHaWADd1ynR4G31DQ_EVucW9LONBmBx8P0d-xd0ppwbw6knqVpS30Kjs-IKgnSx8MTnRu8XBaI-WYu0b7YNXm13g901i4UW0yUi5w9szEy-fLUZuWTLetxZxJSDv_lTBDatWCAdidaPOCtIuF-6vb-fvLhp9LhcUk6a1XQ9ZduytO7gzzIbq6CfFIfU24DpO0pMKaL6fEE-LWOTUW2WvnX_v8E4jUBUBsU%3D%26xkcb%3DSoAY-_M3WoGvH2TU3h0JbzkdCdPP%26p%3D3%26atk%3D1gj87861ckc1u800%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D0881ed479a7c4ecd%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj87860tkc1u800%26atk%3D1gj87861ckc1u800%26spon%3D1%26where%3DGlendale+AZ%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,USAA,"Remote in Phoenix, AZ 85070", 4 days ago,
Software Engineer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0CD_jUR8jtLKLZ6z7CkJTLaCT-uGus8X5A02V2EByuXt0dhjnF6dDkDRkoRah2ZuL3wP9M_Jw6a_IuTNxDN9woptyc_s5TsTUvWzjn9xN7TJ-OV_y3pDn6UuSJfPamJaFe3_CLGnZPpzj59KIFZVtsEThb08eakXHjMHeYRr7UBlAKIQd8Dps9fc_-gk8jPAFmImupz8B_v6NYuSv2lYtqlgNGEmYf67bpYfTo3-64SXu0Olpjfu3guCUFWInY9MZz9IMExFFjlq0nxegRzO03InnZlThoNh_OTE_v7iK4IYOA4QsiipafBKsZ1kesqStbJEhMP0nKmgDsZPNPV2NJp035U2IIjxfUnSBpNYHAiEc8XSe1TCpj-5JzBbA7L6pY6TtSs9zUZY-Re_9FF85k_BaeaDVpgbN45gKAmxN1K-MGqKE7vgsLtzAuWiWTjGmv7OpgpOfedkerT1lZsZum0uAeA6X5zgo8NgOgSGbestv6fnGifA-smWrXqJ9CB9E4t8DhOzTvFapYQDfT2OYT2CEIjr38DeUMntaHOSOTwdLrTAgQXespfH5n0-r9QCSBZ_rLveSRDA7XwzvZRgiYpi6Xpcd_f2IpMzVcoKzoS6w%3D%3D%26xkcb%3DSoCs-_M3WoGvH2TU3h0IbzkdCdPP%26p%3D4%26atk%3D1gj87861ckc1u800%26prevUrl%3Dhttps%253A%252F%252Fwww.indeed.com%252Fm%252Fjobs%253Fq%253DSoftware%252BEngineer%2526start%253D0%2526l%253DGlendale%252BAZ%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D373a304d926bbe5e%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj87860tkc1u800%26atk%3D1gj87861ckc1u800%26spon%3D1%26where%3DGlendale+AZ%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,KW,United States, 30+ days ago,Estimated $86.6K - $110K a year
Software Engineer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0A0sLjryQUNkc81K2goHfqpo9JHml6Vo2yWT4XuRGLXtsN7afMoSAWdqBM3YHWeqUy29dA9lh5gF5y_NbDwYDII5wIEsg4gUATm8Ortc_R57CJ-TppI-YS5RYAp8-KVnZI2fScnKP_osj282DiLK7-YkvToT27x7pPvzvs1S5xd3yZmvIMrXQBFq-kVduJtN4emWYFGxXH3XANmorXmFuOPmk2_Xa__BCIlI3nlgkDy_exriIgs2QUvNO8YC-7eLTv_5SyGh0N1CIlUE2NXkExx6u9Opk3DpZMQxkHc2nCZ7Pk7TPn8DbUemlSlfr1qZ0Drp3U1cDM9_-OQTBwh6FBGUhuJlwCyDVxtxI4SVpqv7XCG7K74QrO_IDdblu9xfpkA85XS13oDgPdfu1wseqbaEkU13tGQH2VGimDFS87iEkheuyXBQ00yWhN4zRfBW45wXaucTDpAgwT7Tair-Y3KaFs9hYoUtHzrB9asJ9P-16qb8ik6VsCGXnRhYet3FE77s89WOdyAbcD06rOeCTqEb4d9nuHG-dXxWSdZ8wzI1Q_Kh3Iq5IyH9i0ktF21hv9KijuECk5aL95IXefljWSZwKL9SQmj5iDqwmdt3p_AaPLzQ_NjbQr-ZF5klqnzMwnu9StNoSYzih3HGDrcZfpuwAiz2k7YF1FJ1yJzg3kNpQ%3D%3D%26xkcb%3DSoB0-_M3WoGvH2zU3h0LbzkdCdPP%26p%3D5%26atk%3D1gj87861ckc1u800%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D710fc8113ed6c52b%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj87860tkc1u800%26atk%3D1gj87861ckc1u800%26spon%3D1%26where%3DGlendale+AZ%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,WELLS FARGO BANK,"Phoenix, AZ", 30+ days ago,
Sr. Site Reliability Engineer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0BndQBu3Bgy-kSRvgcxVuiX_AW2MYaz84UEPimx0LjoahVFVSPUbkECcwxtlK8rlHaem2L_u4olKEsJdHw_mJUrmhhRy1cotiRbl9DU1O-pZJD_z_b0Hfa3EuB5HBN8olYLXwzXaKuijE22cpCOQyYuIGKl6PgUMyQk6dkNWC73nOg6PWv5i4nBQxtBUmbXFgIpoWtTF45nYNjYMutIrQaUFr7r3_BWFR_RtA-szZQLYpQw285_90Uf3eoc0Z-K7ObSKFFiXKbbL-eOknZGkn76rp0I4jlCRlP5wd5fOzDIbYUoLgmQ_SlOdZxR27x8TjxmccXHOK-BoA4n4kGqDJ66yrhYr_3OnHO0ZMrGEiArDaneO5ywZbiX7xjpH25XqLQ0wXv3Eqn1WZb-hOhGmB8kKWNlDwcu2Z5l53t41uTQoxNTbtU_XBacHz5VDALnWms7OtpNu6U53v3dTy0JUbXESADQHEG_IyTGuwA1VWTY51deqbPMS_8vVdjHpTf7SjqVhAzyVl1LPaMJj_tNj1SPH7ynW_gAtNvrws3ohpzc8DCx01gbALQMz-81p8RqIZ-CwyxhtoqThnhbBuTKLUtd-dV1bRHqU_Yx5E268v2phjgRP-ZMJMRt62yFkUBi7vEHIXvNMAYJLMl4-3-3dePGh_ZXsyPSIitWZ10h8mP_Ve8hnc-gmOBeRo32s65tGqgZuaSBUgvrB4mBQPwHUdR3Ho2SO1VbDlCbhXLe4Uo6V4NIj5BArI16Tw4ThAJv_Da4wMo843nk9qQYSlqb6G4Iao_gdwbFATgg2iq7SLSAwb67DM22Nt6sArpYQyxu3dPFw44HmLU5XO1W3HDei5hSnHcF3nvoJ4SyxCvpwNIqsfY0yl8C2_yOkS-S_X4VDFgdziVv8r7Lkg%3D%3D%26xkcb%3DSoDA-_M3WoGvH2zU3h0KbzkdCdPP%26p%3D6%26atk%3D1gj87861ckc1u800%26prevUrl%3Dhttps%253A%252F%252Fwww.indeed.com%252Fm%252Fjobs%253Fq%253DSoftware%252BEngineer%2526start%253D0%2526l%253DGlendale%252BAZ%26prforceGroups%3D%26from%3Dserp&mclk=jk%3Dd9ae1777b22d9d00%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj87860tkc1u800%26atk%3D1gj87861ckc1u800%26spon%3D1%26where%3DGlendale+AZ%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,CentralReach,Remote in United States, 30+ days ago,Estimated $109K - $138K a year
Decision Science Analyst Senior – Software Development (Remote),https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0CdTBpsLrhs4IwmIsoO0brdHaF9POTtXIeJjdlamKYQ_OhglXXDFJZTh11Z6IDPRXWLwikQGFLyAkpTYK2gfNV26MUJCT-j7aXjmWFqv2yHLTAb9ZvB-RfATsrI596mSeajlVT_o_L-hUyaRGHjUP-l2Qy1GeN0ohp8uYJ_UK9sFCXDmwL2r4eR-fS6k6W3yuG5m49jtdAfr3g8xkaIEI3oerwhTPFpXSi8PVWJ9zOC0jkSBraUbv49db-uGgxPhJmUP14gSdVhYtjyNfEMCHD0vhR9uQwQh_orbZvtV8bO5GY9nM_NboD2oCdH-pxayTDuzXbKYbTACFt0aCpJWxcxLrNOPdQYzLel7hcQ-o-lvO-a5wqYdYzk3ZnZG4mx4QkWPt0zbBGkTD8-VxCNMMumFHAWXMw2JD1vwyL7yLcaF_zuOw49K_LapyHn2g26zXxYHhd4d6cNUeYonR6vNIn3p3u2lW5BlOAFRNpN0TimIA%3D%3D%26xkcb%3DSoBd-_M3WoGvH2zU3h0JbzkdCdPP%26p%3D7%26atk%3D1gj87861ckc1u800%26prforceGroups%3D%26from%3Dserp&mclk=jk%3Dad24a591b34313cb%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj87860tkc1u800%26atk%3D1gj87861ckc1u800%26spon%3D1%26where%3DGlendale+AZ%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,USAA,"Remote in Phoenix, AZ 85070", 4 days ago,
Software Engineer- Recent Graduate,https://indeed.com/rc/clk?jk=29028612d9975fb4&mtk=1gj87860tkc1u800&from=serp,PayPal,"Scottsdale, AZ", 30+ days ago,Estimated $107K - $135K a year
Software Engineer II,https://indeed.com/rc/clk?jk=d1ae5b1066629d77&mtk=1gj87860tkc1u800&from=serp,Microsoft,"Phoenix, AZ", 14 days ago,Estimated $101K - $128K a year
