title,job_url,company,location,posted_date,salary
Software Engineer II,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0DAFTyt7pbDCC2JPO79CSdi1dIb81yjczP5qsKcZIxgiYm3-7g-689UM0rgypL64cplWh3rRQ4FQigg9d5DYkXmRMxOpkFoMhEYAWYQYJ8hnYnCv5vldpfxwGDDp61Tz4bzDcHQm2rtd50Rih2s29FlTz8hb8aPC3u_cuxGsvFoVjfVZp7NQRZDTVWgLHfHjhSt3w5uMj20F-FNQ_G-Hy2fXSwjsdTjoj36R-U9pTM8HAjkKDeWkcz_X2MjkKgghpcpVrF3Kfs6rE197nFQ1wUzf_0yqeLsCkmOUp-toZX8bDj06iZNg9LfqybQ-Yx9bTSwVE41nOg5B6jIYx61mTrvig0aIkOubYSb09BL5dVt1KfFuQSziuw90j5dkxpUxRuSIn1W7Kpt3OI3Nyvlb9tFHYDcrnBg6cMit4AS1YkvFH-_9PIpzrKjV26HOVE1Tp439DpIn-8evCxI8e_Vrw6S5ZBsgt12u0FdYRO9A3aN9A%3D%3D%26xkcb%3DSoDC-_M3WoF_wMWnsZ0KbzkdCdPP%26p%3D0%26atk%3D1gj86s0mti0d3800%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D652bca630ede522a%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj86s0mgi0d3800%26atk%3D1gj86s0mti0d3800%26spon%3D1%26where%3DLos+Angeles+CA%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,Disney Media & Entertainment Distribution,"Remote in Santa Monica, CA 90401", 3 days ago,
Software Engineer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0AJH7-YRN_pQoVokL7FxfJ7IM_W8ZSQ0P9tqZSe0DsnqCe04AsIqV5rFsx-EMTrVEbSh8SXaJfV29gQsuRTyzwfLiC-anmcmQITVwqcE32MsL2mJ2OqGp39hBhMtA5mDqDNMZrH3ei5ndN8G-x_-7gxbRr511J2dK_eUvwwnNGMUrAR-FkXb6FwYDQ9BLI0yQjt2w99vCWk1NYb-um2D5sz2ZOe2PDfGZnWrL8rbxSTA_1sY5Ajxecl0ZhfihNbF3Iyt8oX8C-06Yw_LeawwNPrI2kkHjK5DM9YEnraa8iL2SC8--w5u4TYY9ci9RUpDcBgwk7fYBqtaaXtHYVVk1FWZ_xjqTt4oFKG8VgiYpNkPy4IKNiOOMs2EA-cl1d8TNOG6wMwuVLBYLQRIFa2vAuXx0kKLYr5jv5YFyQgbqrAgK50TxekIQtOrAyPZQnNL6mNmWvlHsg7pIXmWtDNinQ0sLa1BsyHfi4k5jBH7r9nCav122b1QeJ4bgIdZNZw1ic1qEV7lUj5Ekd66jeVy5AoWl3cVK4x4vSFv30lXXSvwg%3D%3D%26xkcb%3DSoBf-_M3WoF_wMWnsZ0JbzkdCdPP%26p%3D1%26atk%3D1gj86s0mti0d3800%26prevUrl%3Dhttps%253A%252F%252Fwww.indeed.com%252Fm%252Fjobs%253Fq%253DSoftware%252BEngineer%2526start%253D0%2526l%253DLos%252BAngeles%252BCA%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D8af1f53bb23614c7%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj86s0mgi0d3800%26atk%3D1gj86s0mti0d3800%26spon%3D1%26where%3DLos+Angeles+CA%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,Karagozian & Case,"Glendale, CA 91203", 8 days ago,
Software Engineer Sr,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0BlVlg5gYhoA4HlL90MNa46P_L691j7AFurTLKi1Ew8G6UjdbzPq6Qiuk_1-9vNtI_BjF8pnJZXL9ubpX9uHmCiLgDC_3Fde6qFrEEtUxPtoB5RyIFr8m6YgrCrg6CIWAc9d-pwM4N-IsqwtMR4ZtiN7sldu8Rn1kk3uSltqfzINzS1M8m4vvvBkUQS-SDWg0HQQv7geC-lmu32daX3NaNvX8Z_ArZxgCp444sVykC8Fp672XQMmRG91JwrhsQ-P8e49_UZ7EmW0wBstL97BVaPCcS6HruKkk804W2_qM8BMNxjvIDnrNg5gSrEaePe9NE94pVTRy7hY7bApHWe64fwYd6JCInnf_e_M2CVz0PW9YM-71cvq4RJmk8KPXsdmKRsWx7cKICrgi-IJ6DJDsGENgYmWHyz3X_sxIHZ6jOF5EzX8fU_wSBEAQPdNjS4EZ453AcgkHHa8Cy_5P1_BzFcASX-wVRuKV7V_BHjWJsv3ySkXI1uDDEwDoQX76m3QNIWkq1erMXzLemF778yQGZiKaDeVqkVrd1pvC6EJAVY_lmraOyAE6pvGhRVyxiRhdTEZxWJbfeQvUU-MjEW-lrn%26xkcb%3DSoDr-_M3WoF_wMWnsZ0IbzkdCdPP%26p%3D2%26atk%3D1gj86s0mti0d3800%26prevUrl%3Dhttps%253A%252F%252Fwww.indeed.com%252Fm%252Fjobs%253Fq%253DSoftware%252BEngineer%2526start%253D0%2526l%253DLos%252BAngeles%252BCA%26prforceGroups%3D%26from%3Dserp&mclk=jk%3Dcba23722940ee683%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj86s0mgi0d3800%26atk%3D1gj86s0mti0d3800%26spon%3D1%26where%3DLos+Angeles+CA%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,"QTC Management, Inc.","San Dimas, CA 91773", 30 days ago,Estimated $105K - $133K a year
Software Engineer- New Product Development,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0DAFTyt7pbDCC2JPO79CSdi1dIb81yjczP5qsKcZIxgiYm3-7g-689UM0rgypL64cp65W3jBsUEdE5hwvzL0EP-LEUBoDS4gIUCIoj6OFSZmQdcl1xv3u2ZXJl6GCVOyf6-BriW0cnycKt0QnGSrHygMB5UH7SYP02NqmqPRCk99vemb5igdft0O3FD3lzUyW_8HTnUiguSWHEJRyeALKkEILd0ZSsLqmGqmoqSs8iPeToJRoMUzQzZVieQejhrdGHgvaMn6fcitYAzOEQ7NFHXe3DomfFTX-EjASM2-4ITzgd6tzTQ38PEBNuqFOUGwngfeeT75F05B5w_oGVHGI3FstgHaUjOSNlPZtz81qxthfgvB0ia1MjXsDZMCB30nmfceazHJJurzzonJMNNpA8_UDx-1SlvhdgJ4NA4GhSZlJMqHKwB5PF3rs66xxzD1FHYssQEUGWsmpa8ycSn9qx2j-3mvUV2HNVPSa6DmLgsMg%3D%3D%26xkcb%3DSoDR-_M3WoF_wMWnsZ0ObzkdCdPP%26p%3D3%26atk%3D1gj86s0mti0d3800%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D425947c4546b4cdb%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj86s0mgi0d3800%26atk%3D1gj86s0mti0d3800%26spon%3D1%26where%3DLos+Angeles+CA%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,"Disney Parks, Experiences and Products","Glendale, CA 91210", 3 days ago,
Sr. Site Reliability Engineer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0BndQBu3Bgy-kSRvgcxVuiX_AW2MYaz84UEPimx0LjoahVFVSPUbkECcwxtlK8rlHaem2L_u4olKEsJdHw_mJUrmhhRy1cotiRbl9DU1O-pZJD_z_b0Hfa3EuB5HBN8olYLXwzXaKuijE22cpCOQyYuIGKl6PgUMyQk6dkNWC73nOg6PWv5i4nBQxtBUmbXFgIpoWtTF45nYNjYMutIrQaUFr7r3_BWFR_RtA-szZQLYpQw285_90Uf3eoc0Z-K7ObSKFFiXKbbL6Qh4y1WWB3GKfkO0lzHldxPusOCsZDejRQcMxQzvfXicnuAVCa7F3mVPnTIJuc36PCLCGgnSWg75mgZlgZRW5fnRtt2hZOaWlGvIoYYhveJTn4brGVCdSWye6mxWXCvjxVeBGdUzim2EfSFwYIL8-eaymKC5boP4XGpktq5LxC3zeEZvsdTvdTFG1liaUxenGIFKTagnULHteCxrOpXzXWKbXELreuc7XjCQHRlKKIeH6CpaxU4UTSb5F-kSqjVOFCHnp2UP-oOefDZ2NL7Iq-nqqPADtkwpoTjWRij_3X9Xn_mgXfFJlBUxUjaC6ORNIw6mvGBcla6ougOFvPSw-PECNKeu7qxj-CRuso7T4uv-hil_dNs_rqqfNFa6xsTC5oQskYFNutsyqHoGuMa5OGcE1uqnNkFx9nlF_Uwuh8TU_ks5w7zTbO0ozJfEbqsAaQZzyPvptrH9XtSCT55kIniX5Tx3ESuMNzaaeAtoMoGxNN1xOgwsr3V1E-YsF11JkWOh8sMK3Dkwmjs_z6u8tV4EVlc3Egwak3qbT2W6yIvkZc6Z-YxVITZ_akboQ0YYButt3jcBHYuC6RIu0sKEkxfS_Bp4-qms8WDbiBf1j9iuxG2eaqgqo5ZsSfof7LTFkWYuXeGCBKj%26xkcb%3DSoCH-_M3WoF_wM2nsZ0KbzkdCdPP%26p%3D4%26atk%3D1gj86s0mti0d3800%26prevUrl%3Dhttps%253A%252F%252Fwww.indeed.com%252Fm%252Fjobs%253Fq%253DSoftware%252BEngineer%2526start%253D0%2526l%253DLos%252BAngeles%252BCA%26prforceGroups%3D%26from%3Dserp&mclk=jk%3Dd9ae1777b22d9d00%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj86s0mgi0d3800%26atk%3D1gj86s0mti0d3800%26spon%3D1%26where%3DLos+Angeles+CA%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,CentralReach,Remote in United States, 30+ days ago,Estimated $109K - $138K a year
Principal Software Engineer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0DAFTyt7pbDCC2JPO79CSdi1dIb81yjczP5qsKcZIxgiYm3-7g-689UM0rgypL64cplWh3rRQ4FQqr8m1Qg_-macSyZkG0mISJP6WC0Bi8BMCEH8KcdY1fb9zmpj40vOdxA1KiFACoGfJwNF8MES_eEUexni12hVrcJKunSDjTca80MvJnJErDDeTnTIgmNPBzTXmWlzug0ojfabG6xnVtBOujF27yGiw-mRaIspB_CZPhqcyVKQLIOUhQveBam2Q3BsbdCGGcmGdXKml7lAaLJVYqME6s4NB2fB30W_rivn9pUe9mp0JkBoot8kPsdMJOaww41cIbRaoHDfQm8XQdLNdLohXX7OCS0Gl4TwU_6c-yA63w31oMAK03WVF4isU-NtQ5hcIcUIrgZ5POCHW8uFdNF96HW8t3y9tYF9Z4RoiENmwv_HMoKpEGnsHsiUBObXVMOvFMPnYOl-fxUmca4o9PqTVd4dAoxoVlfbHWsOQ%3D%3D%26xkcb%3DSoCu-_M3WoF_wM2nsZ0IbzkdCdPP%26p%3D5%26atk%3D1gj86s0mti0d3800%26prforceGroups%3D%26from%3Dserp&mclk=jk%3Da9646d2703402e58%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj86s0mgi0d3800%26atk%3D1gj86s0mti0d3800%26spon%3D1%26where%3DLos+Angeles+CA%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,Disney Media & Entertainment Distribution,"Remote in Santa Monica, CA 90401", 3 days ago,
Lead Software Engineer Specialist,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0D6qFSVCaa8tXn-rJ3OcXif2lPyFmwsE2iZBGE4YLg1gz3DzxANTQL2R188vJaRnafWiFTSVHh3XJ1yJHDgz9jWe-mdojh4_3dHNQHjlitG14VOj5LBH3p0pdJZ-mRPPzE257rGvwyJPJI7fPK2yqekD1I1Ti8EXRCrtMtLAeXkDLtX47MUf1UYU2_kBzbUQBYL2KvggN7A9y7AlqoPZfM--pSzR5GelfL-XZEjusx4XrIGB4iK7lJsom7ordRRVY3I_rwXKghajV_qakUwxIcAiHvhhgGN6MYgT4DRKVBrEhJlji2EsKE-_Xb3D5SB0NkNeb0viy4y2c-rfbYqNSis6MqfDAYmFpYqWsP93o3mYXeST6fEAfmYWWBylwmfzEG2fzfPXZ9eOmHhuRdpaNAPKkQcEpxb7lvKz7vD2MmZznGjIp5-vF6yHoBkJJkEQ8lFuPCKZIOOgLqH9CxNIzpnV2doF_5ESXRsLC2e8k4UfgquRkK10FiM1pYp-tbMUoXEc8zjCv3pfkbGoAlQu60IA_BWpHDkUVDs1akNIujQXCANqGXlKiEHU-ISbEcnp751_-mimyNHPn0dwQXchu8w9lr8jEIb5bZlky12_H9ojk5DyyN4n1ImcWNMkkykyutH-BqDWG12kMRMISwRy_KnkORzpBJhLR6DvdZ7MQn_CAfunjbvdYHj9NnCfF2iJCVoeMoEgy2tURrXSB605ti6-0tet-3hLPdsADslgtNkWrihqpqmFWXUe9W4UYxRjEBZJzvi6CG8nIfUcasUSyQ8IWIYWj4RDCo_F8uhELDphUIqRePRslVTqoJTtaXcym0Q03eCxtTTcf-3gMsp4U1zIQVnPR9y8U9xQ3-E94ncY2v2qY-hUbsMq9K9U97V71i5etDJYoA0gtx51irP2SKSUrTYO2KegH7DcSTcbO8zuGJ22mrre8vO8TQMSrM25_Ywnbvom-bBPULPo4IeW1-UWUtPaZG6F6oAJZovMRg76PcsREIQeOsnJ1Xpy-Kx8MdztOFPh61cLf7JYiU9DmmphuahCa5wNSE7JgBLLwOuF2SaOYM0Cn-rGHM5xtd0XlajKxMqlXh7ypIWTCAo6G3kfWnYGqRlGXY1PpELNk_bcMOzMOBPgwmfQ1LBO3lUPjNIW1D5CytblbjeT_zSw3yiQPpxha7QALeuX7NiQvHPw24ZYdfIa8qN6VywHRUVM422K4RgT55X5dvmlVgvoEnFrtAzcABB4izbESGlEVUM4J487XxBcCnfeGSpzQ_jKtMionKP2cqaGH-6fXBaXrb6zhOp_Wo7W1ovIkjzip_WqXQyJdAfAc_7%26xkcb%3DSoAg-_M3WoF_wM2nsZ0PbzkdCdPP%26p%3D6%26atk%3D1gj86s0mti0d3800%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D5866dc6f2d2e55d2%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj86s0mgi0d3800%26atk%3D1gj86s0mti0d3800%26spon%3D1%26where%3DLos+Angeles+CA%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,Kelly,"Los Angeles, CA 90094", 20 days ago,
Software Engineer - Remote,https://indeed.com/rc/clk?jk=4125487491396754&mtk=1gj86s0mgi0d3800&from=serp,TrueCar,"Remote in Santa Monica, CA", 30 days ago,Estimated $100K - $127K a year
DevOps Engineer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0AmJvK-kzliX9ngpBL6C213C44xp_nCN00t5xNVdbFNqO-yysD1-gu-YMI9O3J2CjfNJUzQPCBpx2dCSCexHO5a_3NPccJMycemaGVn0RwxJqbkr-SVCJRZ_VErBkxECbf0O_VxEFp9h7fsD5FBNdRCJUrCmHNZhnSP-pvUdHgsUdb69NW9j1Ojx_DNidhYLCEv-syX-T5VASaZNt0q7ETPv2CTed01NPFsrWVoSP9r1FHzRuRmv3caBXRVlFiKYXkeKAJRJLOB7RztG1H7vRscwqGOV9e3S5WuomIZTYueM4Rpi7jXXF9smZzRk3-aibL7Z8yvRqRgAkHj1W_gWM8j5vGn148gehGSpu0JbKqlgcNQayATWEBQy7-M1eHAmIyfZdzqWBi9AV9YquHnmAaLC2xvqqH6DIcdshHSW_d13vsVevZmoZslzV8qtCy0IuJXSdSp9pMCigElEjZS6VS78RvvnpsTy2n1ay1gf9NwSnZKXceYd2QRa-_5svAYypnuXsonJ3L1r7kK6_LicZk_0i7m7YQdDuxceHNKPoMcxwwlnxdKMMeP_E01NF_NAouM5HypVLpIFmh9foDvurQ7guSrkC1vGcRFCYq17XR-4w%3D%3D%26xkcb%3DSoC9-_M3WoF_wM2nsZ0MbzkdCdPP%26p%3D8%26atk%3D1gj86s0mti0d3800%26prevUrl%3Dhttps%253A%252F%252Fwww.indeed.com%252Fm%252Fjobs%253Fq%253DSoftware%252BEngineer%2526start%253D0%2526l%253DLos%252BAngeles%252BCA%26prforceGroups%3D%26from%3Dserp&mclk=jk%3Da6840a4215491ebb%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj86s0mgi0d3800%26atk%3D1gj86s0mti0d3800%26spon%3D1%26where%3DLos+Angeles+CA%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,Strategic Employment,"Torrance, CA 90501", 30+ days ago,
