location_category,job_title_category,title,job_url,company,location,posted_date,salary
Raleigh NC,Software Engineer,Cloud Native Software Engineer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0DUIUKNmkO9eplQBWgjWtyZTeBIvNV_K-f7eYqnE-qDJ8bApFfch6MTjmnd0ZXAEvzphs8iggiXaEFarcbNtRXmCo7VB4MwvcLhLUeRAmmmLvEdI0sMgnUdneHzk4et8vN7KiQaX7kW68sW5ctt2_gyNV7GzkLmk-XfP2LXy0idcNHnMXOSE-eZ0g6i0TkJqf0jSJWBTW7NWQbAX7URvLWhlqoGNVP5bkAdRkoSGfPyOCZEatXuMDZg4eN-EMBwwotqKnFcfiznfSZ08TT0POJwrZZlDrmJlwOyiZUU6iCPzgq_M-iOGK3jVYEDPTLvW3MRr78DNGXpNuST5oAsVrIyeACWvxD9GKlzEj57QjlR31T513FTBaHHFfQnFNmNPZrRQIGir6kHFcBprWNnfNLpVN0JxXZCZi-3q3WnPfVTkw_1xUgRF_RWeE-pXR4DHbWXPMCv65v1PsceC3zaEWNwOQQHVmdxCRP79PtHIzhiyA%3D%3D%26xkcb%3DSoA7-_M3Wocvvdxe950LbzkdCdPP%26p%3D0%26atk%3D1gj8a8333mru1800%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D827ef2ee23d84f60%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj8a832nmru1803%26atk%3D1gj8a8333mru1800%26spon%3D1%26where%3DRaleigh+NC%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,"Net App, Inc.","Durham, NC 27701", 4 days ago,Estimated $123K - $156K a year
Raleigh NC,Software Engineer,Software Engineer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0CaYnUjPyKYWN6B0dWdO3o1N54QvboLtmTTIf0EfZb-aAYo3UMSMt4G36hEjC-hN7OFmhqxsT_AXeuAfRXRHpL7kVPaKEgvDRZA3jYlI1EQ3p8O_BXQXiC-ph5GOEL8A0ZmzixSdJ55XXlelp6jdwVH2ZpL1HLvloyemYmGMbLzlMtSVXYL2vTimk-Oeae0CNp_VyEzTVwv3L0snUqn0vmdv3WC5FNiCPo1MTRi4dJfAo6y52GSR-cPjjJcOS2uhdWLylnZNtXJ-mk1vYvJD-OpzlTh9qNDZDlkQudmVCngC_rq3-mj_Iil7cTPiMGCK3kZBO0L8FIIrCjczgzD61LBymTvH_I2fk2M0wqEcUWr7bWpMfH5IWvCXO3hr0nKtu5MUKCX-3FK88V0mrDwxV-TCj7-AAfcgML6Qsj239kY5rc39BxQqS9V9QqqtwPaQaIdh52D_MiAd0zwHlZaYepcJEvcdwnN3dBp_pPJvad9Vu5p6Jh46agQMmGAHjHnd8_pxa2OtZgb9sBHHcIgr7nF9prA6ASf4_t4s3BfmLcKhsZ5ZX10eoVW%26xkcb%3DSoCP-_M3Wocvvdxe950KbzkdCdPP%26p%3D1%26atk%3D1gj8a8333mru1800%26prevUrl%3Dhttps%253A%252F%252Fwww.indeed.com%252Fm%252Fjobs%253Fq%253DSoftware%252BEngineer%2526start%253D0%2526l%253DRaleigh%252BNC%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D16e7c8c54b2503fe%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj8a832nmru1803%26atk%3D1gj8a8333mru1800%26spon%3D1%26where%3DRaleigh+NC%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,Secmation,"Hybrid remote in Raleigh, NC 27615", 1 day ago,
Raleigh NC,Software Engineer,Principal Software Engineer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0BW1y-sVf2FbT16t_Bu2BTFedSVw5nPA7tBe60hU8fhWRtLLFIMdNt0kG-6d7WgBOmItwTUhSC4GzxBHIEbbjEjRLcr_y_e2SS6YeI9mkpH48uWU8yLp102dvrpwTgN0b73Utu1tIbVsPw6b6yziaNJiDUYjDaCRQHsl6FiZzLs3j2Z7jMmqNwILA5qol8IrwZiiN46IpGHJJyqrdW2xl0Ts_dwMQWmDOz3UYuYXE5HkVe7Ml4h2fUz-VxTkLqx0K3SAFjPBPp4QcxmvB9-MaD_EPU94sLgQ9SFB-nuZ6WeFVIqF0D-cv3p2vXei_MiBjJIu8SS5JtosGBXKYdjge2KQzJxQZfzwQCU1BsSmpE5Hxoo9iWxLy9uUvHCLTW0Yt1Cto0ZvY3MH9P1i-PrE_-XgGGnNAL9oOBbkmh-C-u8tOjO1j8OtCTBmH845xMS3LHYXQsXcYs8CIpP98XbOKMbkW3MWQBzlAeW7aeZ4bAriQ%3D%3D%26xkcb%3DSoAS-_M3Wocvvdxe950JbzkdCdPP%26p%3D2%26atk%3D1gj8a8333mru1800%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D29ea8ea75f14158f%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj8a832nmru1803%26atk%3D1gj8a8333mru1800%26spon%3D1%26where%3DRaleigh+NC%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,Fidelity Investments,"Durham, NC 27701", 3 days ago,Estimated $125K - $159K a year
Raleigh NC,Software Engineer,JR Software Developer (Remote),https://indeed.com/rc/clk?jk=e6f8c3066a981e7e&mtk=1gj8a832nmru1803&from=serp,Jaggaer,"Remote in Morrisville, NC 27560", 2 days ago,Estimated $76.8K - $97.2K a year
Raleigh NC,Software Engineer,Senior Software Engineer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0A0sLjryQUNkc81K2goHfqpo9JHml6Vo2yWT4XuRGLXtsN7afMoSAWdqBM3YHWeqUyQjOCXdrUyRfdn3GdcQvqhGk8wAIKSP05SquQjhvwtBeihfss1mYOV8I1o18raU1OEZpuqHMMzK5k1mRJabjq2EyYdYeSiP5xW0dEVQlPRktEDLl2viIAjOsU41SFHGzUUqnhwJUJmkiw9zI03uq3Bp8XYhlDaq6RisX1xh-WdYq4YNP8DgHMhXlIO9rEygTpWYczZJR5bvL8ONb2tDHJJ5h6VLX1MpUCxn3CTsMszwI58cCOodeHYILZ2VNoK_ItGO8uVAfrxrhwa7836GewrZ5HO8OAysbRXRaqsSgbnevE06oOC4qOPbz_LHtveBtaxUIVjLuvpZQWpqNF7W_5kC8a781iO0jcOttkZjrw4LYt4YCwGf_7yX1ev5elQzTYJB8X6R-IgwCfSxDLFibT86EiuDqKAG2mBwNI1tS5O6Q56IpomrkUxk5Md4a4YS1kXXxCMsvK90YLxYYAgNjliWjy5hd1LpOBp4rs848KidTwGRDIC_fYP3EC4-AnNLEzNBtcQ5pVdcDBNuSHZE95_fp4Dp1uyxze09eYAoZyE35gKR4BR_OqqzaofX7BiVxeEQAXnsnYqoDDrTZKHZuZD6-W_PgUoOSvb8zLnrlpfkWWjKMBijY-E%26xkcb%3DSoAo-_M3Wocvvdxe950PbzkdCdPP%26p%3D4%26atk%3D1gj8a8333mru1800%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D067f152331cd861f%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj8a832nmru1803%26atk%3D1gj8a8333mru1800%26spon%3D1%26where%3DRaleigh+NC%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,WELLS FARGO BANK,"Raleigh, NC", 2 days ago,
Raleigh NC,Software Engineer,NetApp Emerging Talent - Software Engineer (RTP),https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0DUIUKNmkO9eplQBWgjWtyZTeBIvNV_K-f7eYqnE-qDJ8bApFfch6MTjmnd0ZXAEvzphs8iggiXaG0QOUd-AnfqsEiq0aFvWrhScZBG4FJgL5JEL8ylDt2X7J2M-Jl1DQrbAHEWhJawA45WuBWzO-g7TQ0FlnU3VE0Bh8gfmb5uHR63GrHw_cXRE3PVkK0a5_PLdtr3CmxT6mzy-iFGxA17ugg4GgOS-gPau7j9fVUSUzSFDh-4iZg_aOvssCAUa_9gfjGFEDf8PHXNDyKFx7RSCITIpSHsOrQnY1hHcOgVulTLTqjD_SKRqyGt7o3oKjo4Y69OdvCYdyc3UpGcnfFgAjJQMarzU-rf9hazVPN1gNQfgz8zkR7XpEo4q4DtqS4xDLbe0mGgmMeVkwagrSJyiPhS135l5EClrwEHQFk-F199JuFeK_PokftDHbO4SAtBam5CKUaMMT0vav6jhduGDAIhzBnubHg%3D%26xkcb%3DSoCc-_M3Wocvvdxe950ObzkdCdPP%26p%3D5%26atk%3D1gj8a8333mru1800%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D8220d47cdaddcb78%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj8a832nmru1803%26atk%3D1gj8a8333mru1800%26spon%3D1%26where%3DRaleigh+NC%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,"Net App, Inc.","Durham, NC 27701", 4 days ago,Estimated $105K - $134K a year
Raleigh NC,Software Engineer,Software Engineer â€“ API Development and Integration,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0AoYXfdOe7El6-Ykny_IbMrQLc_ftZ75MJybi-dJXWXjsCzoyCJRRBVlF9fO0cfHB-NDQtIITNzDlw7KjwNvzI_FfOsS5SLqgtaz7gIQaaatRDPcFDd-UFfYARVMEeoL_C8s3JhNnvAZdz-_T0WmE1Xni5fvp7nWZGlQV9Mb5d4beXbvAy3DIOn8pkP4NkazLEB7SE2qwNrbvt1iiwCLhs8nxmOYcyF4Paqlswo4M9BL_4Lx7Vgs450U2rPmHQyUpwWVeqDJipfkYX-Q3NaV4QxE7rzjITQ0VOg4uR823_cNFtmvOnJynvbZ-Usbm9gviP5Y_bBRPGjw6Ectq4J9I8psWl6GgOqJa0vA2731JU1hCYmOjH_ES7KfnJWcIY6jycaaR-HYGWefKV9QK0GxaoCHaoexIidnrVQSRF_bvUe-kQ5rXXOb-fQ2lP_PimzqA0bJx8ktmvtqEamuQ6DW_kaUUv2OMJB6RsfEIN3n3yYrjcqWFSwGjAk-RT3T2ws3b0lFQ03UPXkvEGdfDEfHhP4bonDEkKWemuZv5eBl_JK2o2P7u7hlw3KGOTsUlVLzP4%3D%26xkcb%3DSoC1-_M3WocvvcRe950LbzkdCdPP%26p%3D6%26atk%3D1gj8a8333mru1800%26prforceGroups%3D%26from%3Dserp&mclk=jk%3Da9b96c680b4f0a9d%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj8a832nmru1803%26atk%3D1gj8a8333mru1800%26spon%3D1%26where%3DRaleigh+NC%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,Fidelity TalentSource,"Durham, NC 27709", 30+ days ago,Estimated $96.4K - $122K a year
Raleigh NC,Software Engineer,Software Engineer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0CpzDdaQkua3np5pkmj49lKioZwmwxQ-yx5plwbYmV_M9_ZCw3Rtq6VEIavHTkuVVPwSR_g-BTtlbcmnsKYxx10gyTIFRpQdHjknB47fzJSn4nAWNFHgQI2Yo1XucOB5yaF-knIVmYh7ZzGskiLNivikuEYmmVWTzF0FBWAzKZj5Du8EQ0V49PfY7f-cwDq0miuOVVzciOExkRXhkEDSi3bz1N6CRRy3qvqiRzogD2AJWlvGWOstPIHM3BRoAzfEnAeaejVK4NGhRIlvpF3BletDYKAnZWc7aZgpXz3qeFcKwatVIC1GDT_RCIOr4oN7NDsN6htqF0mL3hEBpzfDLJ_rLvA-xIC4kpHMm4fdt10cxUl2p5nGul7HIQR2mbpEH78qeJkQ-MWBYblSgxe1Z-ik_sTG3b9tlRPEyyKKu_kuntZW-olCm637x0T98xzPFLEVW1PLIZOFjuX2rZ3SI3JiFCnPpTWRh4R3HlcmmahPYNzL52AqVKXB4DJuxPqTM23eBKam6J1jpvjH57_bVY9v5OPBlOrj0sjgMwkHB7vrgY0YxMUgCl-BfoScnwvczFvB_sLoB-OIeQHKzHZVTct%26xkcb%3DSoAB-_M3WocvvcRe950KbzkdCdPP%26p%3D7%26atk%3D1gj8a8333mru1800%26prevUrl%3Dhttps%253A%252F%252Fwww.indeed.com%252Fm%252Fjobs%253Fq%253DSoftware%252BEngineer%2526start%253D0%2526l%253DRaleigh%252BNC%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D5647d08b037764b0%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj8a832nmru1803%26atk%3D1gj8a8333mru1800%26spon%3D1%26where%3DRaleigh+NC%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,Robert Half,"Raleigh, NC 27614", 8 days ago,
Raleigh NC,Software Engineer,Senior Systems Software Engineer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0A2L9_vZD0hP7EroI52oepw0ZPNydF83hxOGixINozGgbyAK49IoN3NPcJWMDn0EgFU2rh8HnBlJxl4G3BcJ6Qq5USeilejRnSTdWdxDgGwYfHSs6i7BopAaGioAQGA7tRlOkR4LNTA4BGXRgkuIvePmLJFg1Qo_4X9CbKZn9jJ_-pXERgsQRCq_AFIY09s6FiXkKB5Mg_TtCWxzib1ZWbOvJW4e-QxDNX880zWnSkbz3HmcL9JWyZ2Ahd3SfOnmMydz0mf_Ykn2y7OHornoHqsJB-0APfFwxp_BeFfMg7MLevaHThAq7Zwm9VPKywGbp4IlmqephP84lIGGYNqNP2XUY3J7sEX2ICpyYxOTRLhZcXaAKM33i779fIjeDOY-rNBdmdf6Cgj1JMwiUufdEHeDT4xVIoJhC9ENLeDPbtz2EU_vkWDAVRkBm9V3OCD3G9LOHekhTNAj7GGqHR18C-g_O-wOb3sMGrsonKTHD5bA8gGk0X--NN3jFJjm5pki2H7xGg2XBLBbhE5alOOLkgrsBObeUN8rA85joo1Fqx0b9SDOy70xgLQ-sdeNWxvUxsn9eHkTV8mhLx3SA41fvgWmq2QEVlH9lbuwRq1_GkolsD_srHr8u1m%26xkcb%3DSoCc-_M3WocvvcRe950JbzkdCdPP%26p%3D8%26atk%3D1gj8a8333mru1800%26prevUrl%3Dhttps%253A%252F%252Fwww.indeed.com%252Fm%252Fjobs%253Fq%253DSoftware%252BEngineer%2526start%253D0%2526l%253DRaleigh%252BNC%26prforceGroups%3D%26from%3Dserp&mclk=jk%3Ddc95da22cf0f6ad6%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj8a832nmru1803%26atk%3D1gj8a8333mru1800%26spon%3D1%26where%3DRaleigh+NC%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,HireNetworks,"Remote in Raleigh, NC 27609", 30+ days ago,
Raleigh NC,Software Engineer,"Rendering Engineer (C++, GPU, shaders, remote)",https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0A3LmKGJrRdG8-GibsnagGmC1U8qn1FiBTMFAUobQ0wT5jp_zrKkiXhLff4RZyiONexCQqbZD9GVM0oy6cuuIDs_grGFGBMpHdH0QvgOXRsPAqWS24SeqXJ6jkr6gz0kFctL0U5Y1OgO1uJkKhlXjOOx4TF79xv0r-FpRfsdb_pu2Fi9s5VWiUDEbOZpS6X2n069nvwoxRV4w6eMMg-AOCP67IhjWQP9S5p0-LhJCpTBf0utOUMCOKyyDKub_kHz4r43diSdglDHp5yiL96Xabw5W7Nwf8UBCFoANMm-KL5Wc7hYUE8CaOqWxjJhnjEIg_CiqjK_RhqF-CclXPdW43BCZM7sbCLbkjU_nRPiCqUiqNSUQfBshjDwitklXXfGUO6Wz35pfNVG-rTK7GBpzsQdgtzrLa-dWpVQKa00oEJYhsd3sB3GkEgnorl1Y-VbxM83xGuBEMeEvaMSLhKAp0Hrj7N8Yi7OA1uPdMxtxV8JY9LVs7yy1eHf6AuYYZ88QYykNFftLffDmFOxkqVUWahLigmzjm56Az1-H0AObUrB6URRpqO0KcY5xFxWfIg_IjPdjXj_5_5FgNOZADtPCGtc9JHZV_cAKcSfzVrhRuj1b8zJZMkJYyIJ9eCz5y2-s7V_q_rlQsML7K7nkKUI1F06Bdg5FP6l_z9Nem3znIUA4aWE88_Tim8X-aColOiQDAJrWqo1McqeH9FIs4P9M7IsvDWVp00XMdWUQHHbya_p-CTsWUgLdZLGda1vvnnb123XmsVB3d1sTug5nEHmBtC9sQp9wtG_Vpb1_n9wcs9pxHxCPffoayi4gx0-YU9GhJfYvcb-hLKkpaKrF3p1gbRTCzNX6Irv46AllpO8xpv8J82jbX6wG9yTQ91sDCVg2qARoXTl-ACHc8NfvXHxS6rJGfIWH-IeA0%3D%26xkcb%3DSoAo-_M3WocvvcRe950IbzkdCdPP%26p%3D9%26atk%3D1gj8a8333mru1800%26prevUrl%3Dhttps%253A%252F%252Fwww.indeed.com%252Fm%252Fjobs%253Fq%253DSoftware%252BEngineer%2526start%253D0%2526l%253DRaleigh%252BNC%26prforceGroups%3D%26from%3Dserp&mclk=jk%3Daf890d59160b8450%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj8a832nmru1803%26atk%3D1gj8a8333mru1800%26spon%3D1%26where%3DRaleigh+NC%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,Vectorworks Inc.,Remote in United States, 30+ days ago,Estimated $88.5K - $112K a year
