title,job_url,company,location,posted_date,salary
Ruby on Rails Developer (Onsite Only),https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0BeKFvsWYEpKFFK6Xbd5_RlXIEEcfailtJCesxI_8T42g7cQ9BS6tBlmf-4SxjlRUO_PbEwNoqzpZGAwt98anjigReqyTCKM1TIOiyzSwuuHNeMNA0uB6WC58HpwzdccFWMJ316Vsqu2UbMFc7PA5p8w4Ctri2jplezr6t-w-E90SsCpLJGqy0fodDPKwup3yYtwAk3tEUAHNtFcF1TxziJ8Qh0xMHv1Gd5vTSqSJrCVbQY2nOLqY8ELHYZpY2i2znthu_fsK8zNNvC6GKmedPhO-vpaGNPoc0xKev8RKpDWySg2k_Ucz59t0KeT4bPNV1R7yXSNGHaY05kBwtWwPcLNk3NAN4OnoTdibGqnGfXoQoNDFm0Qtk4n-dL3OHbKwy9UpBF1ajSCNKFX-8z2-vtq3ofas7y3dkOJvIfNEpWo1e32t_C7ptsRd1DDrcAgDpVjLyUCq67BBFjxg7Py01auy0qkOeguiG1YcHABVSyqpZp2F6TdmyXd6LNz9nEtk9EjfkmuBJhSdErAbXnXb0izftq4AzGS_x-dGs_t7LTx7jYc03bBwz1%26xkcb%3DSoBy-_M3WoGklDX-JR0KbzkdCdPP%26p%3D0%26atk%3D1gj87aqcekmcl800%26prevUrl%3Dhttps%253A%252F%252Fwww.indeed.com%252Fm%252Fjobs%253Fq%253DSoftware%252BEngineer%2526start%253D0%2526l%253DSeattle%252BWA%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D033cf846a4740438%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj87aqc0kmcl801%26atk%3D1gj87aqcekmcl800%26spon%3D1%26where%3DSeattle+WA%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,Zodiac Solutions Inc.,"Seattle, WA 98134",Today,
Embedded Systems / Firmware Engineer (Electrical Engineer),https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0BdqNuTc5Wd5gmQMLsEgnZjC0SyEud0rDrBUxrlaVojTGk2qAQcamGg1rZ3bfVZ_sq_k9A9WX0sjy058Bqz4huz0ICsaSzZFWSzduH6NgaVt8kd2x6FBpcn8cvBTIjXA0tv-82QJseFphJS4oRyvOB915eBlFQoztUq2PSuavuc2BvEhlOBKGxuaYzPsgwhuT-Jg7D6OWu2unrmxM2ZvmU_pFlEMoCarEKLBvXCoIkqdeVqfZoIJucsa1Bo8-f5hOAfpIaUEudPKOFcif-1u-pl6Xo-uLyCaU4mVrB3iyhEECXsvqsNW-H7wit-0vdoJqDPwnebm1daZf49XQcKuKfInU66NTd2uMUKLub6LYlk0_0aoz3KXjyzbrUOXzFN-OUSAtMrdzK_wGKtBBtYSp0UDOI4v2NTC2DJKBA8PAhhIkI6CPjZcV1uipkTJwxtwXV6FZye0Gm_H2hD3BiSiBYGDBvHqANR82YlqFyzf5o4EaVw_kJfpQ4VZrNB30P2FJJcyx3NQC7gNgpX3TscomoW9CZpQlcg1nfc1bDghcddNTR78GqJTWNpGhRmJdi5oEQjV-E1Y4BvbT1s-3M_Mwse%26xkcb%3DSoDv-_M3WoGklDX-JR0JbzkdCdPP%26p%3D1%26atk%3D1gj87aqcekmcl800%26prevUrl%3Dhttps%253A%252F%252Fwww.indeed.com%252Fm%252Fjobs%253Fq%253DSoftware%252BEngineer%2526start%253D0%2526l%253DSeattle%252BWA%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D2c06d999003f35a5%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj87aqc0kmcl801%26atk%3D1gj87aqcekmcl800%26spon%3D1%26where%3DSeattle+WA%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,AR Modular RF,"Bothell, WA 98021", 8 days ago,Estimated $100K - $127K a year
2023 University Graduate - Software Development Engineer 1,https://indeed.com/rc/clk?jk=5d518aade2b7c744&mtk=1gj87aqc0kmcl801&from=serp,Adobe,"Seattle, WA 98103+1 location", 22 days ago,Estimated $117K - $148K a year
Senior Software Engineer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0BP7N8pYsNWMWBMaWl8ZL7hgGB0AUGZOiHnEaoLHNDW9ROvVNa_h-O2VgHJxwiiK0HqBiNze1c372cBYM4cEUKnR4SwaSdxOu8ZcOZqEg5SbZixs3bZ5PvwOXNqEK8N70yoATIkXSjJ9TBxBaVoTfJPSHiG1fgTcXM79oJwcXSy3gwmDgT4yazAg8uFi7EAvC0Z366lyHsfrZZqwKyatlrN943x3UEAU-iS0ZDakDBBRwP9wGth4TWjfu7xovwMd8cjB39NRHSNZMfBbgakrLH-m_5lS71zTQAmVqa6p8gmqkBjyifd1kj-TncpCUhh_QHi9A2BMReSq3a7y76sx4JTMxEIauTlg-RVh1mYO1aacr55d3KN4g-J73Gw0mfuxfw1PLAXEEKVAVblFK3YtQWci1qWr4vbcwFHq89x1Zxj12bnDJqMHGo5pKvvKaYfEtJWKDnRQdIubJfPW0cfUGILh6peuSfB_JZ5QKZURgMIj_E2FoUV_L9MntPdXGcDplMSWfQGSnHb58pqXv8c9DtqiE1yoI6cCrMgeYcrNGSf9N6QVzVmLETX%26xkcb%3DSoDV-_M3WoGklDX-JR0PbzkdCdPP%26p%3D3%26atk%3D1gj87aqcekmcl800%26prevUrl%3Dhttps%253A%252F%252Fwww.indeed.com%252Fm%252Fjobs%253Fq%253DSoftware%252BEngineer%2526start%253D0%2526l%253DSeattle%252BWA%26prforceGroups%3D%26from%3Dserp&mclk=jk%3Dcdbfd30835f90057%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj87aqc0kmcl801%26atk%3D1gj87aqcekmcl800%26spon%3D1%26where%3DSeattle+WA%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,TriNet,Remote in United States, 30+ days ago,Estimated $114K - $144K a year
Building Automation Systems Engineer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0DIfMLMH5eMFB6047IPcht0g7S-IdG15S1-7iIlPnvpaziSP2bPkjkYxBdM9d3Lk31r_VKs6Wm2TO7HsnxUmo2f7FMjFREmJvFgkc1eIRBpKVyhBI6TKkfYnb1LRJ7FZZEo9N8gFNwVPZfXql5O-FNS5ByezQKRhWoPkpEnlAyIcub1wM5mgSpxhRIcRKVzP_W0TFHqbwlycIwmWa1TYiwIY4uNnNpQ_-EHIqlq8VKY4Y4Ficfvd-wiig1Rnz6iximgrGyewLvZkQLk1CG4RPcFJOLg-XaMeVyx0sYLl6YXls94_UYjS3BaqkLThWiZvIgiACiYobggfEbqrhqKkCM_boo0En8Ge9GsBlElbPA1Xti_wzlWJ0m5e6NmORGevShEr8CMDa2LSOZBMePm6b8qFG8EaEawwZlRdoICO0vWdM64OPTSzn-D_NGC-r7jI-7BMZKye4ow32DebMVi47ThZFifvI3Upe8xLXXCed8aVLmKuf7gmbc89fFM9iyN6yKmPgcY3D5-vXL68kndKpdWMovDZwNoWR7fjknziefbq4YG6hSC1UM8kqCppDR-nIM%3D%26xkcb%3DSoCq-_M3WoGklD3-JR0JbzkdCdPP%26p%3D4%26atk%3D1gj87aqcekmcl800%26prevUrl%3Dhttps%253A%252F%252Fwww.indeed.com%252Fm%252Fjobs%253Fq%253DSoftware%252BEngineer%2526start%253D0%2526l%253DSeattle%252BWA%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D7dc3de73ecaf29d0%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj87aqc0kmcl801%26atk%3D1gj87aqcekmcl800%26spon%3D1%26where%3DSeattle+WA%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,CBRE,"Seattle, WA", 30 days ago,
Associate Software Engineer Entry Level,https://indeed.com/rc/clk?jk=3d59e7fd6c6bf129&prevUrl=https%3A%2F%2Fwww.indeed.com%2Fm%2Fjobs%3Fq%3DSoftware%2BEngineer%26start%3D0%26l%3DSeattle%2BWA&mtk=1gj87aqc0kmcl801&from=serp,CareerNet,"Seattle, WA", 3 days ago,
Backend Engineer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0A67EbyqQZ2m7633xFuWhEzGHB4JWu7JYf7ZqKJexKnqyn3x_68cT_kjDKmfBNkq1OaQYdVykkNgOIUAJQEJq3_2RdpY9x0ZhdghT-EZSpVGo0EpGM_qQB88vGFEsyN-J3fi9yHDYQyNjpfDzWg-okezSc9Q73MsZLvcCUy_EiArkTOnDtIQ4FAalmy9GRAkuqYobL9v4bhjKszv5rVlg-XRde80hjAVbL4ox8_rFsTYQQTHR7nB3H1QKzR02exdtIIXgaahgVGr-k0aFPnwvbIACjE87n4HU6lEdK-dHt8hffPKgoMaP4U-K0oZOyyav-vVrdDYoNg15J290SA6z8Do5NPPSL68EP9ZOZ0kW3eLme2VGW1j06MD9dM6wGkW2JQaLxfyz2EQ80OTxMDFaf-YLx9bAtR70XBtyGPdJncxuszGxl1vRDgTGb-_f_aQJdqGzhPFY76ue3eA5XwqYUKZ80ojzJbKXsinY8BXrSmXC1im_8CA3-w1eXexM5B3vMFYp7Mrp5a2ukhZC9Z7IhPyz8ykmlbvWpJd1evlIajHA%3D%3D%26xkcb%3DSoAk-_M3WoGklD3-JR0ObzkdCdPP%26p%3D6%26atk%3D1gj87aqcekmcl800%26prevUrl%3Dhttps%253A%252F%252Fwww.indeed.com%252Fm%252Fjobs%253Fq%253DSoftware%252BEngineer%2526start%253D0%2526l%253DSeattle%252BWA%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D65ef13770fc530de%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj87aqc0kmcl801%26atk%3D1gj87aqcekmcl800%26spon%3D1%26where%3DSeattle+WA%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,Dexterity Capital,"Seattle, WA", 21 days ago,
"Principal Software Development Engineer, Big Data",https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0ANMurRYyPEXg08u6OamUd1Mvhk-zhFSGYIZgoJR86UvQ_x0FKK8TrZZD49G3rLjS8_6f9r5aL3y9I0CcNhHOF3pu0-2to6uTOZ55yapVj3ok6LJtxOLCaXFivKQ7GvVKRz2CpLX0AFcWg-oRh2-a2itGJrxHsoGqVvW0fO84M4kKjHvY6fYxfuN1XgOxvcw6Ri5AObxgUU1Q5ftcvDS6FW6FZ42wUqaPpZhZcUbDrhu5yt-Y4PX4UW__0emXALd8SsIGOU6rjRiCXIoB0f5ucZxzt--u3aaBZJaRoaO-gB3v6CorGHbIS_wqsmzxez6Bemw5OawxtOOAt2p1zudoLK9UDR4QY97vgxSaFC-08JSMYoIGX2STXKUYrwLyjNRdMrMyN7MjZtDN7dEfs3zXKep0dPjUIkZS7F7HHW6ei9kBXQZYh3ufEJ88ESt1nfj4i0i2oKNc7c_9TnpjoE2-PxSuymV-dk-5dvODgvDkg3vwyxo63RtsWIUN2TEGc0uJnpsBEn5hphuUaA35wr_CyXCkHS3hkhxv_1Enekj9yrMcV-lZlKk1k5IYD4H9VAMcKg-LEGwSSgVZmTT_0H4SFTixI6JXcXF4FxFMkCVRUoKhuusxLWHS0XQYZ_47X2Z-IR0LO9mPA-sxIs52aCMv5ypHyCHNym39S0EwiD3VqtZE83PNoBkKxAleC3XKkmiA9Ox-Q3-zP7daQN08ooNw2I58FD09PkxU4EVEcDscFt4tTXMsTKaUjqN6L9ZwImtVlZT5RviS4xk7L3igPwn7Ml41Rs6_50UHzkm-JZE4dAYoifA0nnJFXS0IRNRRiuH4G9wjT078I-nsqxmokN7csCVG99f5bpOGhI_B4n8doABzPsQLE1MDUBXbm8XjOU4lfojCm_7c2sY0bb6mcEV8fvVP8LMaOCqf8lz3zrZbo8jkIDWVj8_jwJRiuUActIODSvnFuOluXKQ0wxH4qgt2iCwAfZvOWLH6g2K3UbeOrZsN_E7qUm7tAFTiYaCEazI0OChSTs7FmhU8wScCMaGuub%26xkcb%3DSoC5-_M3WoGklD3-JR0NbzkdCdPP%26p%3D7%26atk%3D1gj87aqcekmcl800%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D4e57c09ab502e065%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj87aqc0kmcl801%26atk%3D1gj87aqcekmcl800%26spon%3D1%26where%3DSeattle+WA%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,Zillow,"Seattle, WA 98101", 7 days ago,
Co-op Software Development Engineer- 2023 (US),https://indeed.com/rc/clk?jk=4dedded7ed5b499c&mtk=1gj87aqc0kmcl801&from=serp,Amazon.com Services LLC,"Seattle, WA+34 locations", 30+ days ago,
QA - Software Engineering,https://indeed.com/rc/clk?jk=048915d00883e300&mtk=1gj87aqc0kmcl801&from=serp,"JPMorgan Chase Bank, N.A.","Seattle, WA", 1 day ago,
