location_category,job_title_category,title,job_url,company,location,posted_date,salary
Atlanta GA,Software Engineer,"Staff Systems Engineer, Golang (Remote)",https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0BAuTfAu5ThYozS55O8p5sS5gWZMb8bifg5H3ftdCgDuOPDN-CBtN47ciUiXTIfu9lq2Ei2BWlHBXAjfijEDsboeXHXCt9yiAIsI72iy2ZdTddNJrssrYxvHiOUirzT83r20LRNTzYXEdN5RO0tz_nF9-UnGDkyyrbyLS7wAK303aSx-qzGjgll6LattsMZxlAhL3SCkYa-aZ_qx23nt9t6Dy2z8XmekZZ_-yjGrAuyYT8fTMYynmjcOeqbNNm7ER3RJcxSoEOod9MEEgr43O--Vc-SvQNF1iekfY9f4UsONEWQLFtnm_DTh91I02IUHXK0Z0_0UMcHkYXR3rE-NvyqWwSokK9MZa2ItKMcsnNvStabgic_NHDZ7bmtFpQOWP9-cMvXSlt1L9fFwlhYYZKWeEWBuK7YV_k5_7pzQ0H7ld8pyPfMAmAxtsdoGZQXKrJbITf-5T0ShCdpiYbDjLFJoGNfRXmDeyLxEsAjH2JyLw%3D%3D%26xkcb%3DSoDx-_M3WocHJz25TJ0LbzkdCdPP%26p%3D0%26atk%3D1gj8a27oumru1804%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D4bffdc6ce6e50f1a%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj8a27oimru1800%26atk%3D1gj8a27oumru1804%26spon%3D1%26where%3DAtlanta+GA%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,The Home Depot,"Remote in Atlanta, GA 30361", 3 days ago,
Atlanta GA,Software Engineer,Staff Software Engineer - Frontend/React (Remote),https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0BAuTfAu5ThYozS55O8p5sS5gWZMb8bifg5H3ftdCgDuG5EneXjagC9BEGZbZXv1aKlhk-6Q2Vpb5zZLS7Mb5nmEtZzZHB7fq6Pb-rS-tYTN4iJXE5i-PToEWqe1o7O3B1eGh2iZIJbnjgoxuMqceqMN6HWl9R38hsC_EE0jKRRDiJ7scOMc8agqIS8jAvDEDncAmZUvWXi1vrE3qe1tQUDIJLVyWEfrQla0yC6v5HkFbKP7BdeZf6ldls8H_0SRFWq2R1KuW5XSIafnT9mKdJudBBDVOD6C3u_h0MlAnu8tGNFGeoM9i_D4lqHs81oQOEK62kBTmSd4abNVKqR043R0aLzRCjPuXwTxAxbtxeT1ZWd9hf9jXeOjZbX-wDnTNuL1DgGBiTAoXuQk9FH4y-7SNzvvrgv25Owd8HHQ9QVEWZkBReqwafaI95bciVLiCaGwUQl3MBXtp4WoFSpzt2h_ZyR-4G6XdhEyfeFMfxIQw%3D%3D%26xkcb%3DSoB_-_M3WocHJyW5TJ0LbzkdCdPP%26p%3D1%26atk%3D1gj8a27oumru1804%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D3c6e680bdd11651b%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj8a27oimru1800%26atk%3D1gj8a27oumru1804%26spon%3D1%26where%3DAtlanta+GA%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,The Home Depot,"Remote in Atlanta, GA 30361", 3 days ago,
Atlanta GA,Software Engineer,Software Engineer II (Remote),https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0BAuTfAu5ThYozS55O8p5sS5gWZMb8bifg5H3ftdCgDuG5EneXjagC9BEGZbZXv1aKlhk-6Q2Vpb-emhpTckLvHfl8TgruvE_0dBRdADVwOi8wU1_7KAxq1A0MJnU1IhrfFQUzWBUayLgEp1MWp5DreXhghem3G5-WAnXsoxivzBsQM_pYx1ibdcuS_6cjzDp4D_m0W2MqMgTVazhhQSyJqkYiBLYAed8tEgJVCJNz2eZR2O7_5AlVciRyQSW4f-gmL9p_UPAzZkVp06zkOK9ybxC8zVtLOoOlCe5fNemHmRTLYhFKy2pGEqhcinwSH_FQRRS9NoRUNmzjQM0EkQCV6NGEF6Ob-Om8fZIe77Y1OQXVDE5z6oYVlDcepecIfs4r478IGm9skfrw47d9PlHF-2JZmNuT1LuaNBVHmZdSRURlV5MlHDXynZXFbZzUA8oVoyGpJX2IINwSCbs5KFMNODZMgqMSq29bnsZOup8UuuQ%3D%3D%26xkcb%3DSoDL-_M3WocHJyW5TJ0KbzkdCdPP%26p%3D2%26atk%3D1gj8a27oumru1804%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D52b5c597d686fb82%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj8a27oimru1800%26atk%3D1gj8a27oumru1804%26spon%3D1%26where%3DAtlanta+GA%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,The Home Depot,"Remote in Atlanta, GA 30361", 3 days ago,
Atlanta GA,Software Engineer,Full Stack Engineer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0DNkUG0bS-AWn0Y__BPLtb7z7HQsucj5eM3-Jtw1c2h1DIsX5ceJ9dZvkPaufNtor8eclm0r9NhN5Ki5cnsfFDWMWglccWoLttNVCM7lUCm5qf1de5br8k-Gfm8Wfcag36F9l1JNBTZrerLxfgANvpzNyYQBr3qh7vqa8E08JOGSoru46AtKID-lryu9utu7POQu2rK6usFW8txkX0Xrlh0XW1OTkcludLt0xdBPM_-El4NKL4lpVbMSWQ8ik-FUwy4Dzk01XYcPscPPV2aUgU7RD-fplWdYHFmk8G15gDSa9h_Uhc-k1yn8u01bbHPkRL_IqbxXIcb7Q6G3bNnM0m8Oy-xSjMGZ0OtI1VzRv2_G7YVhBbT4_k8Og-gbwBlOvEVFSYaHGLKk3D1DBrp4nfx2dfK_3O_vXgorEsGtxpgW0-NzvB8IudL5VbAD9lligX415nnPVyPDBJVyb3S0a2XVWh_-hZ4B3luKKr1P6d_rVGsNODb0zxt3NP6CQbLL6817RQIKIvMHiOmhSImaJSpcgvtUSQVaa1f7TqiY-s51pL_edfbspMD3KGOqTzt70DWTLUxyKLW5ehtXdY6F_NfI19nlod1xAMYgsEy4I9sGXzeTZahdfH5mp_dBsxHZixlv1EmN3M3vOs55j_aYiOCNSPD7vv9k3Kqe79ga1iY509WX1Nw0Nn8C-6CE332OxHoaD35Q4veXnf6A5O6etVFLdKxCxGD-zckzivaqpmj7vYUSElb4O8wUyfhlzyt6-s3wrpIV4EXPYivAduoh39jYcWHYIz6tgU%3D%26xkcb%3DSoBW-_M3WocHJyW5TJ0JbzkdCdPP%26p%3D3%26atk%3D1gj8a27oumru1804%26prevUrl%3Dhttps%253A%252F%252Fwww.indeed.com%252Fm%252Fjobs%253Fq%253DSoftware%252BEngineer%2526start%253D0%2526l%253DAtlanta%252BGA%26prforceGroups%3D%26from%3Dserp&mclk=jk%3Dff1006a66a8d600f%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj8a27oimru1800%26atk%3D1gj8a27oumru1804%26spon%3D1%26where%3DAtlanta+GA%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,"Unifi Aviation, LLC","Atlanta, GA 30354", 30+ days ago,Estimated $87.2K - $110K a year
Atlanta GA,Software Engineer,ServiceNow - Senior Software Engineer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0BulUYP0VXvka74vK-gchix3kDHo4BwjONfZ3bhUXFKQM5dPmJ7BoPM6AiGH3QQHN2MpBPaldK3QCY2togL85c9UCgmZAFBoVdi-QoHrc4-5rW9nopooC5pHm_QaPzIzWfGnNBMAjsTkroCQca6lcyCbLc9dsYmXLnTREfRHVjH5iaqPaSwmThgssJ0qVggfmMchDti3oWG34j29PATRS7tl9l6hXrRTBTQV3DrBONTLrexMxmsGcKUujwV9wjQJq_mZHEW7lJD9l3G7kdkvb0IIxoC1wtzStYNhXWVclrT0cgccz_uWKgyJuKyivNis_pTpuv4TR4uvzoJ7jSCFlV8_75viCslt29cAWH59fkfdZXInCNLvfW15kJIXkRlS0pM-rBgySPjhsCkPgwsH28FmCcum8lgIWwhGEflPHdbrrk1S2H2e2suQPORWFXTbVu2OeJHe6Y2Biij17rMwmOz82aYp_1lCk3T5_XcLSK5cNBBdEMJr-eOpvDM9vDPJTaSyWnQ3Dw0CI7uhiaupR8U_gL-gdMvSgIIK9HhkLAgdSxxjy4_4gsJC2Y0hy4uqms%3D%26xkcb%3DSoDi-_M3WocHJyW5TJ0IbzkdCdPP%26p%3D4%26atk%3D1gj8a27oumru1804%26prevUrl%3Dhttps%253A%252F%252Fwww.indeed.com%252Fm%252Fjobs%253Fq%253DSoftware%252BEngineer%2526start%253D0%2526l%253DAtlanta%252BGA%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D6a056055587e32ae%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj8a27oimru1800%26atk%3D1gj8a27oumru1804%26spon%3D1%26where%3DAtlanta+GA%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,Sean E. Merryman Placements,"Hybrid remote in Ellenwood, GA 30294", 30+ days ago,
Atlanta GA,Software Engineer,Sr. Site Reliability Engineer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0BndQBu3Bgy-kSRvgcxVuiX_AW2MYaz84UEPimx0LjoahVFVSPUbkECcwxtlK8rlHaem2L_u4olKEsJdHw_mJUrmhhRy1cotiRbl9DU1O-pZJD_z_b0Hfa3EuB5HBN8olYLXwzXaKuijE22cpCOQyYuIGKl6PgUMyQk6dkNWC73nOg6PWv5i4nBQxtBUmbXFgIpoWtTF45nYNjYMutIrQaUFr7r3_BWFR_RtA-szZQLYpQw285_90Uf3eoc0Z-K7ObSKFFiXKbbL0_pyk_LfGGrxx75ZsJkgzx0W7wMIwNZSZP6GMBzdBOcIseK4jhkoyAI_tDVi5C3zFaTV36uBQfnrDMryFf5AWfrUXVLVDEOk8ooPG7UgaWXIoB4GaxBDY1v0NUePaqRihx9Fy0hVx4DP9WcpGGsZCVRrFn1piy3vA1TMAV3ri2nAbTnbheWcqhY1b58pUw33Z1RmL_jahnWuBxAafbudprOk2r4W8qnUsXsNM2iTZ6ss5hw-xc3oBrq8smpdvJdqLBYS9FBPhmdbI76FvT1KIEoBpAkvtVsoy6-r2MdV860EWjPPxCXt7baZn73RvpGyjv8TpImeVieif4_gHtfDBV77Vm4L64uy9fqkOjA750fJ8krcjZ6WaaPC2j3djZPsx0WW6iwxJF6c5vkcq5wWQjDxsxf5VRrTHizMTgkPqoHPvz2lB5Ha2uzP29DTS-NtBgJmU5uYmQmR9kfL1ijtfiS_9JHqVpWdnxa2OXmEn85aIbqwRPpagm0ncQQEclbVl9J8AQWBeVE4C4y4QkeU9SdSlueV0SqOvWrJKl9UsGZydk5RkHBwFufHR3LOgG8Ly4ZFg4w47qAV8b3Oh7RQrzPiehK6VFxnAbsN2l1YrxWQFfgu3yLYXiEBZjc3Bv1eg%3D%3D%26xkcb%3DSoBs-_M3WocHJyW5TJ0PbzkdCdPP%26p%3D5%26atk%3D1gj8a27oumru1804%26prevUrl%3Dhttps%253A%252F%252Fwww.indeed.com%252Fm%252Fjobs%253Fq%253DSoftware%252BEngineer%2526start%253D0%2526l%253DAtlanta%252BGA%26prforceGroups%3D%26from%3Dserp&mclk=jk%3Dd9ae1777b22d9d00%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj8a27oimru1800%26atk%3D1gj8a27oumru1804%26spon%3D1%26where%3DAtlanta+GA%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,CentralReach,Remote in United States, 30+ days ago,Estimated $109K - $138K a year
Atlanta GA,Software Engineer,Software Engineer Manager (Remote),https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0BAuTfAu5ThYozS55O8p5sS5gWZMb8bifg5H3ftdCgDuG5EneXjagC9BEGZbZXv1aKlhk-6Q2Vpb94BD67RCruEjFmrXN9wif_h9I-tgHoEU5Gt-0-MoRfbamx-ZNOOS_c4BBERl0b2jEZJ_tFWAhX4w0otDaRHaeGWR62lpGquknM_-EGt6hgYo33u-AZ9qwSeA89f8rKQszmNUbH3HeTiRhtbLgEuwD6YGtjt6IGIlgga_bTi8DjZDNM7Ay0cf5D0PBTl3-1d6ca9HEaL0Et2t3LNkXmLH6T0S2rwUzqkYRh6nbaMd2owrCSJMlAVN27_A6ldy8OECZzija3TuZbbJ-VbrnUULSW9vPrQ5WaXlUq8fjNJXbei230uza7fGDH-T0pYgoHUnbnhLVyrUCIBC0LG_ZEOZLXceO5k6-Yt3N40VIuQO0h_ExAqJsIA6AmueDA_P_hf_OqojAo0N0EKUR1ZOptTJpc%3D%26xkcb%3DSoDY-_M3WocHJyW5TJ0ObzkdCdPP%26p%3D6%26atk%3D1gj8a27oumru1804%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D74fcf1814ce57283%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj8a27oimru1800%26atk%3D1gj8a27oumru1804%26spon%3D1%26where%3DAtlanta+GA%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,The Home Depot,"Remote in Atlanta, GA 30361", 3 days ago,
Atlanta GA,Software Engineer,Associate Software Engineer Entry Level,https://indeed.com/rc/clk?jk=22f02a592152bc09&prevUrl=https%3A%2F%2Fwww.indeed.com%2Fm%2Fjobs%3Fq%3DSoftware%2BEngineer%26start%3D0%26l%3DAtlanta%2BGA&mtk=1gj8a27oimru1800&from=serp,CareerNet,"Atlanta, GA", 4 days ago,
Atlanta GA,Software Engineer,"Manager, Software Engineer",https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0CNTaigg53tgKMQQsjdGlhApYl6RSsbpQl6QWYzGuod7-bTY1RMAoc8WFq_oZTNX248l8kFX6Uc2AE9dMG1koJkUk6V6EC3LTa3DsMIzzoGUdSM7NU10T2ubABEcrenw_YXBhCKpF5Io7-DGpAtBAWm1SFGKZOkcSajPhNYPX_u2ISAgasQbFGFmebv9mPpN4xi7B-hrHMEQaObJHHPpHde-xBDf3-pVSqv92NinXMNy6HTScbavOW9Qa85ur8QmcTEAkRdfXky6UgyXjsEFI41gGsqK17S0eAI2qvfqY2OXqaBGDcFW7Qly59c-QbqMx0VC8PK0gnDLUA6yOTGrj_8N-6FcH8Tx52DVEjwonfH5dJKcSy8EFTLPKB53wU880EC6s7ZecjH9PqAHE2-DFofuEyHHNNjYi_nha1QXh7KTpxQX6XaUwCRGUdgRq7UDYzTOg4tB_hJB08EntHx735c7PmvP-Hjekmp9_kZc_agIu93pLu7YG1aiCCDlvKl8JNF2m0ScKFNblVd2stbXe0B7aEz-kDCCwrR1H1K0IO450LIh3axUR41HF7_LDGNWEcVQ9DeufggqUOctJy-2Bnyf6rvC2hEureVRRDM1YN-1ozDeEeEjH5AFGWbW3KD3S5I1i32wV4BoLAcuLjT9UyrWBbucm3o2JEj3Vq0sge8N4AZlZ4KQGkq-im_QKJ13PUTv7nC4pswjHJ0lC4cJvtG_uIc59O216FzGFymbcD-iB-WZfr9aq11lIoTJ5Ul7S4SHCGRh2hP_jHZhfJFiDx-cDUgl_kzeKRO2PrVfEeZ8c_NyBHDHmfQQE18vwnIl-oXiV5WjHn4gALjl6Am--cSgc92bwElFj7LtgkLXllS782vtHya185BLA31q_7JaLy0jaxB3h6M6M32S43jA4HmJtqgtlxFiuvKVr0TO6ARm5VxworBZe1S6UgxvQTpu5KgtoUl0bXOPf9pyY757OP2OMjxqxP1vdGGZnsv_78MBKJR35UqL-kdwekoLLtMem6EYdP7lJTeuF9QRkwDDLSy5PQyUJhRcUTClUDzjhEkueGtSm1puMchjGNuRhZOmz_sFSaHBbxUZAtHTFWbcX2fQb0-atR_vBEEPYBQkvoINBLUo6uVEukP_FRSRI8IXe-nmRhZ82136fnZ_Ri7S5CfG3ereO_2RlZ2uLFXyspuuQ%3D%3D%26xkcb%3DSoCO-_M3WocHJy25TJ0KbzkdCdPP%26p%3D8%26atk%3D1gj8a27oumru1804%26prforceGroups%3D%26from%3Dserp&mclk=jk%3Dbd8b0fc6167de66b%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj8a27oimru1800%26atk%3D1gj8a27oumru1804%26spon%3D1%26where%3DAtlanta+GA%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,Cox Automotive,"Atlanta, GA 30328", 30 days ago,Estimated $102K - $129K a year
Atlanta GA,Software Engineer,.NET Software Engineer – Atlanta,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0Aj4-Lc4C6Hb0ykU3jOktLDIAAw4anZygn__rtZFvHgNUYMrGSPDw3TJL0BFxVYb4Bk9ch12sWwrEqeph_u1-L5YquPmRJTVh7jMWu3lqxOO8v3xOGx8nkU6hNM3hC6A34RHhm7JYROAd5z1kPfsnvd8uTB6rRFltj7VRzRbwNwNS3bqUnS31BeA_7u20aMBRBwOlZddjoMMqfhoZT9drZJciPuY8sTHSi-lqEKdriqGuhp2VmT0RV03xbC5LXEE6dkGEPuF-nqSRLvULqA74xUvLHe6UkGY42VlmL1fxJdEY3mqsjN6H4V_ZNSyeIMyFwjTu0crra4bg-KaI4uj-M49yM7qNRCYV6_8ANsWWAQr4clvY7CsPCnZrvoYaM6VYSnPQtpme9wgY9inpPznP9X7yzmING0e0N0sx8TY8WXzbtalf8VdU74ZDxs_57J-vpHQv8rJQSg7ZoUmfY-JEQVb-0k1BL58VQEM0Hq8MoDaBhcp86aEGiQvKSObc0Sl2MDHsgxUFg7mKX8brabMosui3sSAgaUDCrG3AHn0WbaNd63vf1CIZs62kSVoRdiJnQ%3D%26xkcb%3DSoAT-_M3WocHJy25TJ0JbzkdCdPP%26p%3D9%26atk%3D1gj8a27oumru1804%26prforceGroups%3D%26from%3Dserp&mclk=jk%3Df9326d2f9ff32aa6%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj8a27oimru1800%26atk%3D1gj8a27oumru1804%26spon%3D1%26where%3DAtlanta+GA%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,Noir Consulting,"Atlanta, GA", 3 days ago,
