location_category,job_title_category,title,job_url,company,location,posted_date,salary
Austin TX,Software Engineer,Lead Front-End Software Engineer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0BFaCAxfKMawOSTJyPhLRA9n7q67pOGZaVgBlSZyvUqUcV6OEQYxGWXoVNb3ZX8JQ0wxa93NO7eyjpFSTz8c--aKdH7fW1Y1J1TDiSmzo3g7GK8LM6h37IXPjovzF4oUPFg4_PDZF3Ksit8lSxe-YQcqDLPsRF-qwaAhHMN40zmNN6WVYEEbQgM3CKK82r8mXkn-_eIqvDW4bwsN-xAuB4OfcuSS9NnpSRv9Eo6mNeOIMKgJYEm1zWtdb4PhsyIXLHTmD5BdnkFoU5P6R9fYPYWm5bKN4kJVZEe6bSJ4xK7nte9i-JtSg2_Q1dcdwhbypwKQydzk8-cZl9FYDXO6ZxkSWpdvqJ2xjX0ndbnuy5foEd8IHowmNRrt6q4Wx9iTfSdrjHp-pMdGeHfpDUr4Stl84pfbmbm94bwo9HJ6OWw9mVeA60TzVpyCkOGLOx8Co6ZtRN2PTEa1Zpz4MC7eODARqI7axc6iYLqufGqetxgzF5tsia25LqhuZNgks3YFBqw6bHOmhyBpwYqOgZK1Br2OFgV0LuSc1JWGVjrbXd8i75wqpZrXct8%26xkcb%3DSoAh-_M3WobngRW5cZ0LbzkdCdPP%26p%3D0%26atk%3D1gj89q2n6mrvp800%26prevUrl%3Dhttps%253A%252F%252Fwww.indeed.com%252Fm%252Fjobs%253Fq%253DSoftware%252BEngineer%2526start%253D0%2526l%253DAustin%252BTX%26prforceGroups%3D%26from%3Dserp&mclk=jk%3Dbf7d3e27c26f0bed%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj89q2mpmrvp800%26atk%3D1gj89q2n6mrvp800%26spon%3D1%26where%3DAustin+TX%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,Fetch Package,"Austin, TX 78701", 30+ days ago,
Austin TX,Software Engineer,C++ Software Engineer Contractor – Semiconductor,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0CTC3FdpvOYiY8-ub5CqlsWhqxE-x2LiDxOfmt-lcgdOeD2l6i-8e9817AghA3cAv2ytH_8fHuQFGf7j5P6JuCZM1RqF7OuWd6_jUGc5frTpgODTHhk_Wr2vF8ZWRU1RaipIcePhoVi6QdvzV4ulSuiW4YMnqsTgnoM5V3rNOz2udq5DWMAFYuClBLfErECE2whLLWvBeXHJJyO_vsiZGoxRKHb5QoKAbE30FArJsI72R01OpGJRMQQpLPvNy6-76NC5jMcRVj-_Kn6pwxR3MitjL9a3iO849yXy_xJqCMq8yuKe9yRRQV4Pie2EPJh8Op5xITsoVCE6e3xRmb0-_hsDDaFEuCMQn9VqfUYjz2monGrzka2goct_a5xSL464j63nIo8Xc5HuvHGNAswAawjKnfa3us0TRuLKiZQUGP5Cr-dM6tUHrYrxJIhjSadoQWUulQcfoSk8kgOZFaHeF2ZNKMeww5VfRgsJ1_BuEYJ2ErkNCP1MXR4UouO7N0qJOhWPuNfu2jeKN8MnQlSnSO7anV7WD0O9DgZwz5ZxIQJxw%3D%3D%26xkcb%3DSoCV-_M3WobngRW5cZ0KbzkdCdPP%26p%3D1%26atk%3D1gj89q2n6mrvp800%26prevUrl%3Dhttps%253A%252F%252Fwww.indeed.com%252Fm%252Fjobs%253Fq%253DSoftware%252BEngineer%2526start%253D0%2526l%253DAustin%252BTX%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D01089648d345646f%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj89q2mpmrvp800%26atk%3D1gj89q2n6mrvp800%26spon%3D1%26where%3DAustin+TX%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,Express Employment Professionals,"Austin, TX 78758", 1 day ago,
Austin TX,Software Engineer,"Senior Software Engineer (Full-stack, Kubernetes, Microservices)",https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0AgWdHB-1Gn00exb8huEpxfx2g-_385e5PlrYs2PG9d-4FewXCfwrDt_pABffi4qO5ffcmBIvkOcUUF-ZSslFdaXdib1T1t8V90kcKbTJ7t6BBsQ6wo15HUUQkAkgi6aeX5JkhSD7MWXdHgAlzMICS_EHVJvoxUpzNoiP3xIMPeRvNYeQ1c5pLgQR7yxtHKdvePE6VKf-MH9aGFuaq4T5-IoB_lSCgiUm-BIasQSm1LZRdoM7IyOF6WJ257bdFU4aDIXeWeqCVFOxra5obHznz2WRtPbhouJqxj7_T7yaW14sjkt6BDghpJEX1jRzekysH3APM_991SSaVTw--vf5Ftg13Ogq53pV3hQnmoj0ICIB9S_bXpavlgcByqut5tnMvNP28JaM1f9tIpNXf9OQ12kgLosBKJckMSVpB8ROoJj-KTuEAYHJrMPRGDDuz6U0YvLRNddQemdTIkbgMNudDu1lBwcyXzifYNXYoFVAixzw%3D%3D%26xkcb%3DSoAI-_M3WobngRW5cZ0JbzkdCdPP%26p%3D2%26atk%3D1gj89q2n6mrvp800%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D996386732702cbb3%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj89q2mpmrvp800%26atk%3D1gj89q2n6mrvp800%26spon%3D1%26where%3DAustin+TX%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,Dell,"Round Rock, TX 78682", 3 days ago,Estimated $118K - $149K a year
Austin TX,Software Engineer,Manufacturing Automation Engineer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0BeKFvsWYEpKFFK6Xbd5_RlXIEEcfailtJCesxI_8T42g7cQ9BS6tBlmf-4SxjlRUOoRE9OipfiPz_XqFhNfgAIx_26bMQ9TQ6xBQl0lcSLzrcpj4gMbMWWnInWZiNbc_LygBvwvJ2rI6Vbq5JV6WtdZvJw2qs-T4e7ZYQZOYjbu85u5ZSnlrcmk1McuzHpi93RRMt63vhW0vOb36JHQT2oEEfORfjp0SFDB-BgvpAVfYwmurAhcB1t29IHm12U2MnSye7FsNREK0Luh_vvlCoAXnri4l3XG6DhS21Yuk03bf9xUMCpuJz6qiXIBBuXwyJPyw7S1ssiZuCXlAIrIpmLPYZVo5iEPUcQ3erJLcAdRWNUzFQKudiHg4JS5fJZKs2RPWErCCD8cm-aKNnHB-VOZiL1NRvNnKcHE5RtiHlhnTgCTHwTXUr0xqk6O2vQEoSz5J1TGmmqZaF6JscskXw7F21QBQaKenhO4jJLH8tPAWsroaykeI-OMoTxOXBKUA_5Kr-m5eoboq0H8a_oRaWaHabKDvtVYi4eOUnNir_jfrbn7DxSWWyJ%26xkcb%3DSoBk-_M3WobngR25cZ0LbzkdCdPP%26p%3D3%26atk%3D1gj89q2n6mrvp800%26prevUrl%3Dhttps%253A%252F%252Fwww.indeed.com%252Fm%252Fjobs%253Fq%253DSoftware%252BEngineer%2526start%253D0%2526l%253DAustin%252BTX%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D20445ac87eb45af0%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj89q2mpmrvp800%26atk%3D1gj89q2n6mrvp800%26spon%3D1%26where%3DAustin+TX%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,Zodiac Solutions Inc.,"Austin, TX 78727",Just posted,
Austin TX,Software Engineer,Software Engineer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0CD_jUR8jtLKLZ6z7CkJTLaCT-uGus8X5A02V2EByuXt0dhjnF6dDkDRkoRah2ZuL3wP9M_Jw6a_IuTNxDN9woptyc_s5TsTUvWzjn9xN7TJ-OV_y3pDn6UuSJfPamJaFe3_CLGnZPpzj59KIFZVtsEThb08eakXHjMHeYRr7UBlAKIQd8Dps9fc_-gk8jPAFmImupz8B_v6NYuSv2lYtqlgNGEmYf67bqtj9rqVk84fqqHSLzew1yNaVVisHhrSmnQFfjLMhUcnJp5PI3hexnIdE0JkuAFNPwZZ7bbzUVBc2HosLZD6ogfYXHaoR1DK7ymZxbPYhYU3q7_sf4z9a-bOlEMUSoijvtIs6lCNxRt2KNbfWSfJuRi38a4YoiTfJgGD8nM9L2QJ2w4v-nT7k8mNnfZODYVrvuwaBjCx2G0jBWJezdnBh05cUiL2qsOcSYMm8FnE2Re0RMHdK56t_Ft_NeMgD_dmaqo_-mhpCFSTqsywhENk8KMmUBohND_JW-OemYzd8WLHcOWrKX_luyharKhGOEI2lcJeHftBgLhhjNNso5u8MoL4J1GlYg5R_WnR0DmlAnUvHMybQtBUoAZ_w0nivonnLfWxPq_EtnI-g%3D%3D%26xkcb%3DSoDQ-_M3WobngR25cZ0KbzkdCdPP%26p%3D4%26atk%3D1gj89q2n6mrvp800%26prevUrl%3Dhttps%253A%252F%252Fwww.indeed.com%252Fm%252Fjobs%253Fq%253DSoftware%252BEngineer%2526start%253D0%2526l%253DAustin%252BTX%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D373a304d926bbe5e%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj89q2mpmrvp800%26atk%3D1gj89q2n6mrvp800%26spon%3D1%26where%3DAustin+TX%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,KW,United States, 30+ days ago,Estimated $86.6K - $110K a year
Austin TX,Software Engineer,Sr. Site Reliability Engineer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0BndQBu3Bgy-kSRvgcxVuiX_AW2MYaz84UEPimx0LjoahVFVSPUbkECcwxtlK8rlHaem2L_u4olKEsJdHw_mJUrmhhRy1cotiRbl9DU1O-pZJD_z_b0Hfa3EuB5HBN8olYLXwzXaKuijE22cpCOQyYuIGKl6PgUMyQk6dkNWC73nOg6PWv5i4nBQxtBUmbXFgIpoWtTF45nYNjYMutIrQaUFr7r3_BWFR_RtA-szZQLYpQw285_90Uf3eoc0Z-K7ObSKFFiXKbbL95VsNNOxo-pQyJYghcEjS6fbj8pLVMuwdftcupLlfCbacVBSM3UXrq7MTIsXBNrfNB7hKxh304X4tZ3T8mE0XCUoPI4ptozdqOXBzDyxg03crOemjZXlz058U27u9F89QtQP2RUJ0LuMEVIdUxAd9sYaaB1zEnxrNlCbdt2rHErW_AXo3D7LGQ3MvV2xHZgXF96UeY5fp6nw0fL9cZ4FQUWWxWB2YPY6oUNnR73NjsumPaEXd716OL09C-MPX4y6oSkKeTqjKrk6CPbL1pWhqGBpnbPOFWdeeS0ruUs4vkkdzF1RRG_GAj-pbdeZgyl-QHV-s9itHMsnC6vGi1sfrqD5xgZgA3jvD_k7o6GARC9ZuYqNz2oiT0mpJ6HjisC2r6fIefDz2VvzqQLcj7heREb90TrhcuVrfR3ce5l7AF2_iHLvDi1s83Xn3D3D3laVem-VOn17TfhmZmw-dLdk2zfqqcouR3yXxQxkxnvouWJCay0W4UreimPjMW6TjolrX_vD2YijWtzqU-wGizrTL3_8e5EOlXzTVLQ_ovI8a4iIVzPWfbc99bd631Os62eHiu-m51g_wRW_T1K-s3dpUhuUoYlOOI55CzlBv8OYOQbcvdPkqzN_OoxRkd0kpTc0Q%3D%3D%26xkcb%3DSoBN-_M3WobngR25cZ0JbzkdCdPP%26p%3D5%26atk%3D1gj89q2n6mrvp800%26prevUrl%3Dhttps%253A%252F%252Fwww.indeed.com%252Fm%252Fjobs%253Fq%253DSoftware%252BEngineer%2526start%253D0%2526l%253DAustin%252BTX%26prforceGroups%3D%26from%3Dserp&mclk=jk%3Dd9ae1777b22d9d00%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj89q2mpmrvp800%26atk%3D1gj89q2n6mrvp800%26spon%3D1%26where%3DAustin+TX%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,CentralReach,Remote in United States, 30+ days ago,Estimated $109K - $138K a year
Austin TX,Software Engineer,Entry Level System Programmer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0ASQSak737PijTL6td-124vXlwAjEfobxyBAiBXn_Ib3lehgVqRDFmimWczxLkMdmNCQ-XabGXoofUGu68SM1v08ryrgT30ZFljHtUe2OKniAwe4vk96GMVHS9v2Xqm-ajkDB4-JV-2cURI79ocm6AUmqdASUJPd6B4QNPvqSRUTPN9syq21PFukjtUr9kafMuAjPq6Lz9jj1ZdQMae_JwzwTvAbm14-OkQHB0IsAw4LuGpt8SSj20C20R2Jpx2wIClRkWEUy2FR84BS9ERPrxAHZcSrMmdNhwtkm02WTiRFLS06HmtusPj6jC_TD8L_K11J3CjsX8tbK3S18TeGim0DfJ1P842-SgACmYX8cj134VY3Oh0iT7tpkeqsBvTYgcHzr0ZS5Kl5lKpDbXJ4FFND-V8jegLr-klszKGynOo9mHrYCtr_VFs1RNw2YurgIQyHu2O_0naZ_ksphRwA5hLHh2h9yHVm09XZ8wqxmW8BAATzRvVvdJj6F7KduSCmayh4A2aKG_PdqOcuKbsPnG2hwCo3q7qpYoITt6ilM4swHguecz2yZn_BkeQxepF4mV9ZWEindfMbf8kP8dR-doRZJsBii0Gj3AgvlW-jdIM-gw6D7pe2W8dAGTh_66lLTBknqTwLF6MLgvrGjzJ3SdZEpOTAGGy8eSqMMD8kmSlfs2eFHJ3Ieic07T2CBOLVirB3R6ojx6UV8SqROL-0nUu75Mls8GvU-tAsCDxpJI5O0E6oI5WpCeM%26xkcb%3DSoD5-_M3WobngR25cZ0IbzkdCdPP%26p%3D6%26atk%3D1gj89q2n6mrvp800%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D82db130071235af3%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj89q2mpmrvp800%26atk%3D1gj89q2n6mrvp800%26spon%3D1%26where%3DAustin+TX%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,"Kyndryl, Inc.","Austin, TX", 2 days ago,
Austin TX,Software Engineer,Software Engineer – Mid Level (Noblr),https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0CdTBpsLrhs4IwmIsoO0brdHaF9POTtXIeJjdlamKYQ_OhglXXDFJZTh11Z6IDPRXWLwikQGFLyArvd_Z_xFNSwXnau_-1sHQSH4qgOhkyq9Cnh6aZ1krWq8A8CJb9HwXtomAhBTCE-fC9QkrEcEQYGCcvyxQGAqMbCzoDcUCF327FdZixuKeXezqGHUSwrNBu2jhyjbBrNKXT7J5xZbFB9yeM5pqE2FAdW_ysS9vvbRvKqly9nrhTvCYaGyX67f-mEOTzalJFeIy_fKS4isKg2EBvtMxSpTOZ8LKbgbb-w9lPbmtM8dRgg-DQecMrSN65rNeD5UqjleFV5KsN5mwtgIWjsuFDCGOh0F4q9c_0yiAzkcxmtKopkpjMBuwzL3GvAIAkhlJbMfSDGw0xPQx8Kpgcmt0YaPGyRKSbSxxOVC7H3F7ihmrqPwO8TGlVaSjo-kQsLk2PoI-_EhjtxS6yxxFOOdzpscIw%3D%26xkcb%3DSoB3-_M3WobngR25cZ0PbzkdCdPP%26p%3D7%26atk%3D1gj89q2n6mrvp800%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D08380a8985df49f1%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj89q2mpmrvp800%26atk%3D1gj89q2n6mrvp800%26spon%3D1%26where%3DAustin+TX%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,USAA,"Remote in Austin, TX 78701", 4 days ago,
Austin TX,Software Engineer,Graduate Software Engineer,https://indeed.com/rc/clk?jk=ab60705252c6059d&mtk=1gj89q2mpmrvp800&from=serp,Wise,"Austin, TX",Today,Estimated $109K - $137K a year
Austin TX,Software Engineer,Senior Analytics Engineer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0CD_jUR8jtLKLZ6z7CkJTLaCT-uGus8X5A02V2EByuXt0dhjnF6dDkDRkoRah2ZuL0vQ5o-x20S7-5ZLiVHbHOR7-WFde3Q8HlxUqQM1xEOBiP7NDUSOJxnq8fbPWGS32CXc5KGgriXTIBMVyxbq9pp0GcwH1t7hepdsuq7Uz3ctwoy71UTHG7PVgQwfDioAUAQAJXspBRs36uyLn0vKKc-U-Zc_kVu7B2rMOcoWr1S1DQaEfiTPkiE_2XweeJQIAcGIlcI5GNRhna3Z9Bp2ax4-c3HCWF1NHRgpVsu5-3qGupERnf_U3lJ7mEwUoCy9C-RpUdb_e_oZk8iEePJ3dkjRZnVuyVWEouX1BBZmVCI9D2YeQFk_DxzXwYLfZA7XChbB7m7_d_hOrnhACC9LABPTBhhu1sUphqQIuqrJAXc2g4qAKwS5ljiDJNzIxVy1_s-Ey9NX9TeVBblXcsgNnXAVwtt4H9dCRkwoz8V9rfqvwYTJqksMSs0znDpuPEi5SdK2mDyxsLGZykLMJUQBmehYVtZk3gomnwb6-xZxgGO_VBpfG-7L9voc7AwKGFpfqW0spWfjnPpzuGUDnl8waLPe9QG3jz8UcdGEbL-AmWsDg%3D%3D%26xkcb%3DSoBe-_M3WobngQW5cZ0KbzkdCdPP%26p%3D9%26atk%3D1gj89q2n6mrvp800%26prevUrl%3Dhttps%253A%252F%252Fwww.indeed.com%252Fm%252Fjobs%253Fq%253DSoftware%252BEngineer%2526start%253D0%2526l%253DAustin%252BTX%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D836a9cf92018675c%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj89q2mpmrvp800%26atk%3D1gj89q2n6mrvp800%26spon%3D1%26where%3DAustin+TX%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,KW,United States, 30+ days ago,Estimated $107K - $135K a year
