location_category,job_title_category,title,job_url,company,location,posted_date,salary
Glendale AZ,Software Engineer,Software Developer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0Cg2EfBWPUJaBAt4LRBUQYdDsVwfvaJOUhcLQh7tRHeQeUgAhlb0izscwc_DrxcTThkcMmuUegDM4nQ0YD_bXrn4Zyh-KMXi134-ytm1JJem0Lx5C3WqDRBRyu4cqEi7Lz4EJ5xtjF8lvdk-eaupnhW12HhORt1HsYTnQ3Fxv0vPz36qvjcJGUgaHZzt_ZhNCG4Lh4IApPZNrLt3X-tgionPqi4e7iflDCNtuRVF2tzfRLkHZ6FXa7p1XLmmivITfrpCupiB3wvjd7a1EzjKpXbk0cjGNJhTOm0g_U2NlVrjfPm8mVjxIOCFXJft0J-Dy8unW9mAgd0Ey-jBMYsqCJQ843tximAD_dPp4u6_sySmXINRb0YYkzGNjNXnEFyggC8duaJaKFRsU1BOVNECIy460sPU-hND96ZLYCbPdtAHaY0szXjGABi9ZNXCfCFMpOT1eW8g73bfJtWUwK9hIiDazMqY7480bmH_kcGiV1Yms8wPGCl4muoNPtC1rGxSEY7MXwU2PpbZyrItE2rnEd9hMyQGeMGLWe7f4v8ov7u0L-jjPIrXIC6%26xkcb%3DSoBt-_M3Wob08sTU3h0LbzkdCdPP%26p%3D0%26atk%3D1gj89up532fcj000%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D5e097f7af89b56b3%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj89up4l2fcj000%26atk%3D1gj89up532fcj000%26spon%3D1%26where%3DGlendale+AZ%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,Workforce Opportunity Services,"Phoenix, AZ", 30+ days ago,
Glendale AZ,Software Engineer,EDA Tools Software Engineer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0BA3MKuha-jPD9CSzC2RLR7MGw7irEVqrUWZBF8dL3e3eXf_36fAnneFEs-d7qvI8cABNgNDFhCsOay3X_a2WescoQZ4rzsKNhTyaPDtnZiebJprQNMLWHA62SyCUfPzoMU58c9EWGzyBBds5WuCFTjd2uMG0fIm8f5DJ-crFotDaO0YgFpQc79nZaLO_2lBsIqJ944G3UG2FEJ6LhGJaIJDSycDZcwMMwUqBOw159UO7gRnzn9g-66LK8Kv2Yn6qXfghlOKVPwU8cucJVw36X9bcqZ0AV_YXq3TrCnZ-kuPSgDdNA10cGhOHNzDzYqPclPPufnhHhydHl3E2IHOIskCuHSyljjNZCUK2bPWoYLqi5Im8LPeHwhBrIWecZvlzrhMb0cyGwqWQ2xDaTBEzdI2-Rf5z-QcUICT9j1LL5WQa6A7eB_uZsBUUVU_p0VrzxyL9DZ3qu1E3iYNvZ4QF9RoRkPR1vDMdihEgZoUW_dLw%3D%3D%26xkcb%3DSoAo-_M3Wob08szU3h0LbzkdCdPP%26p%3D1%26atk%3D1gj89up532fcj000%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D6f8d8e394d52de7d%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj89up4l2fcj000%26atk%3D1gj89up532fcj000%26spon%3D1%26where%3DGlendale+AZ%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,INTEL,"Hybrid remote in Peoria, AZ 85381", 12 days ago,
Glendale AZ,Software Engineer,Software Engineer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0DUIUKNmkO9eplQBWgjWtyZTeBIvNV_K-f7eYqnE-qDJ8bApFfch6MTjmnd0ZXAEvzphs8iggiXaH9mLJcHxqBYY8cV4McaLTj-2ck4XQQcNfVjNhzBdcVutHeGlcOplFXsnt8lD6zN86iBZ57YXNXoIBGXM1KGolR3zBvkX6nVYddPkt2d-5VuYQCbf-Ai_YELCf0ViQ8X6A4q9ScnHu6T8a9GpRzBg6EmuIa7fDFfUKyMNILqfwgb-NNtVQvzjSkGMvo0dDVMCkfH6sjcVP-RBhkeQdctigagLOURoCTVYYkGK_mt4rvps_QwRPznAl1qFB36liy4_hsDgmRn-zlb5HPdQ97pp6hkGzzc7TWurO5EsFBpRJePPKSeUIEBj8TCcDBu4G7m4WYdMEFFr19ymTq-i4niYVy0fsLbPlgULb0NcsG897KPgVsXSNOGoOplX0xc8S4_BLP3ytTIqDfw_wpStE71fW0MdhJHKJmvGw%3D%3D%26xkcb%3DSoCc-_M3Wob08szU3h0KbzkdCdPP%26p%3D2%26atk%3D1gj89up532fcj000%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D28c7a8f6e71b4533%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj89up4l2fcj000%26atk%3D1gj89up532fcj000%26spon%3D1%26where%3DGlendale+AZ%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,"Net App, Inc.","Goodyear, AZ 85338", 4 days ago,Estimated $106K - $134K a year
Glendale AZ,Software Engineer,Software Development Engineer in Test,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0AQXjnm9lAuCb-1FUyIjJfWTB_SWOAqBZKJacC3dJzsUM7w2_ml3yJviPGVi2CSlUsEwCdqu7wdCATBkpnpdr6NYqSujYTPSmrhpcfsQCeRZgYOAIgI6hYMDXfNCTNvgwpGT7UHDv2keBVnWEGolEBwzxijU72JBnE7U4RAleWWRmLBirOXeBFgKCUJstHwdWZYWSl-Qc2fnhgGQA9ZHrTRDuBcaeMnamQlqplBg6DHhcuVKdxJINX9NDaTPpKvtAY2eWD2OFybDGGhj2xD8ySoOvEI8H84Ykcc2RuyblqhpZSuvZ-pUMNWr7Hr3KKb28cBu-sX811AIITrrbUwRB0yyDDOHJ2E-pA2amcmUNYE3sFryVxBKoB86jRsNhHCS1gWwuD7n9Pi4u1vnblyO912oBujJvW1qq1IYoByPw1bFII6EnCzsgAEf9bABRyV7d-yNRoZs_hel0y-fG-OJIaV4AXORHe6_mEdOhY5DbQrT5R8RD7Yk73BgNtWSohmMYd5QkOhFSH5hNfBIZPJAGjxJwYJGtYVgPxvmH5dJpViPJwdv7ym5t7Gr3d2nCGIzz8%3D%26xkcb%3DSoAB-_M3Wob08szU3h0JbzkdCdPP%26p%3D3%26atk%3D1gj89up532fcj000%26prevUrl%3Dhttps%253A%252F%252Fwww.indeed.com%252Fm%252Fjobs%253Fq%253DSoftware%252BEngineer%2526start%253D0%2526l%253DGlendale%252BAZ%26prforceGroups%3D%26from%3Dserp&mclk=jk%3Dd29ba1d72dd3b73b%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj89up4l2fcj000%26atk%3D1gj89up532fcj000%26spon%3D1%26where%3DGlendale+AZ%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,"Pax Technology, Inc.","Tempe, AZ 85283", 9 days ago,
Glendale AZ,Software Engineer,Java Software Engineer-Mid Level (Remote),https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0CdTBpsLrhs4IwmIsoO0brdHaF9POTtXIeJjdlamKYQ_OhglXXDFJZTh11Z6IDPRXWLwikQGFLyAq_aI9XA2AEKlMiiDuUVdysp4zwrJh8D20ChdPXOc1A3uA3UnD-vEGAxKTHyiyQk6I2h5rA5QU9fKPNSNDZAd58QeVOhU7SAwuUXDESjpbrW0dwN0-9e3qR6jywhQI5ORPaRwCzqQpxIjFBdfq8nbGvgrOCtAg_vZH2C0JQiTkJvBc30mFpeOU4eL2503KsQu4Tm3rgOkeHsxqk6-CNlKyXfdaoBnKWPd6eyMVaBmypxWBBndT9Vu_-C6QNITss4f9lmsefwAXohWQ5UdP8JZgv_JotZhHIP0NVV2nGVW0NRG07oDjPVJD6PIrJNzKKPzwjesRxN_bJ_zHMTeiPsHPwWHefvmXFHaU3kNjXptColCnktIaLZPz-yr2sUqyLvt9R7-yKYao-awS6LyAFcw3k%3D%26xkcb%3DSoBx-_M3Wob08vTU3h0LbzkdCdPP%26p%3D4%26atk%3D1gj89up532fcj000%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D0881ed479a7c4ecd%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj89up4l2fcj000%26atk%3D1gj89up532fcj000%26spon%3D1%26where%3DGlendale+AZ%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,USAA,"Remote in Phoenix, AZ 85070", 4 days ago,
Glendale AZ,Software Engineer,Software Engineer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0A0sLjryQUNkc81K2goHfqpo9JHml6Vo2yWT4XuRGLXtsN7afMoSAWdqBM3YHWeqUy29dA9lh5gF5y_NbDwYDII5wIEsg4gUATm8Ortc_R57CJ-TppI-YS5RYAp8-KVnZI2fScnKP_osj282DiLK7-YkvToT27x7pPvzvs1S5xd36bkOUTfs28kFW7_iPFtqins-2Lx4Co-RUveJnrryAMPOkO1INNAkseY9-BKzBurcNBYDPQBqZvOp5tyEEL28OZZ1dkgvu25aEH3Vg5QpMbknon5pJa5T3w2pJBrz5onw3mu_toHFNTPMTpMQAaP4g6jlv8HBDaa4VsEXK3RtQOGecstLhlRcO_oncIVwliDjtoyXChSgEh6_XcwbDwf3zQ7cO6qmJzhlVI3MxBh_fksXQzp64JfEkefSvcuyOVJs81gFFIxpqIG1r5spxDP7ksesKMpTEaa7CsfVlw5GfRdnMaIlL12fZx91hg5HsFIKi6dB9kBuB59K3xxYUYL62hjGrV5d9cX_HepCNq7f77j4QZ85BFgsPaOyKtt9Jbe86Czwh7myfFYXPrQfqjnDPmyL3v6xte60KB1T_V1U0TWbF4oKta8MPeFql8AeDdBS5GLRowTNJa1j6CE-DP4BZvxZ0prWyvGGzus7Kwm3yVKcPFZeBIeT97TYNDeHpFleQ%3D%3D%26xkcb%3DSoDF-_M3Wob08vTU3h0KbzkdCdPP%26p%3D5%26atk%3D1gj89up532fcj000%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D710fc8113ed6c52b%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj89up4l2fcj000%26atk%3D1gj89up532fcj000%26spon%3D1%26where%3DGlendale+AZ%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,WELLS FARGO BANK,"Phoenix, AZ", 30+ days ago,
Glendale AZ,Software Engineer,Software Engineer II,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0DUjneWDXt5hrPJu4WGni2wApPMgeVCcrmurhYOfeq0yDlWTzbHv-uFSzWzjun57nmlQC9WIYH9691hkM-7HMsFqNF91SiJyetYCvEaEVGrEHl51tJuVLGtSIJr9vyRc5LHcYJxF3UyZDrVbcI5OmSh7TkgAVQZZs-OBdStQnYufyqT2KzoTCxXcnqAi_DTBbI0HRXy6DkJlAOD3_8UvFCsVC6CF92ZJ4wHmr5bWLIJWKwv-lRIqusu7wk9Ur2dDNyUpYVF3mkFvmEV_KF8o2K1zz6a_8GrXX2WXiB-0VWgeHEIvGA7eLc4qSE3Rlcw_dsLTwmVcUCeUiIUZHuVDeLoHtU0FgtGGlTuVr1iBfWRIL2eu9jicSpql6nxQOmBlxezdnufW1nZ06rDCeNWeZwV_VNx4PhHsngp9CU96uc1xfvE5RkyMxPBm1jA-tY_jlxLqhN3nyBpPLdjzdndqaMdqAuBxkOp1DhWPHD-ELo8L--1YQzM79e4S3-vC8jmsl0JAM7leSf1TgOpOBQfJJqDAd4fVFPDLpK-IJ5cBBgdqACkLaJ6ERpv1bYmu0GdXS4x3xeRqWOJpDja4QF2OibHFvcUonn0B_2xEOF86pOBKtDO7KLdkg2m37qKLcjKiDc-eAjqfJwdbBf3ZIJw6J9JFLrhKaf-LdRQD52C3PASKV_3jC-yZQ8JFWzN6imBq2muYVzKwV5klaPGHRyC6HDvcOq7iPvFHph0CYG0er1KXSQRcQyZOd62lP-PBnycgkpaGOVwG7CkkAccuKinxA4wDarOtI_Z8O8XUwo31JDVf8C7wkYKooisC8YvBhb4Kc3sCXY0lIjBUTJM4wrifvta4dXQeHqN2NAUnb0H_bReM4HUTL-PqFb2SAiuOWN2kgwrz0JbQSOgqCRPJJKZCgXppVUCk6S6mT4o5p6VUWI3jYuufW1nRYbOsAvQBBItBtaP3-6EDklDVJtHwEHrpGmT1w_z0YhZfVAUZm9DxczK4z6xFh5sRD7w9EIFgA0uU4crDLr1aH_7h49l-fqcbH8e6EukXm4jGT5TSmpEv1GNpMt_Zg2RBzv_oEPgoWVDTvM2j8cAUK-lhw%3D%3D%26xkcb%3DSoBY-_M3Wob08vTU3h0JbzkdCdPP%26p%3D6%26atk%3D1gj89up532fcj000%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D8f91460123671096%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj89up4l2fcj000%26atk%3D1gj89up532fcj000%26spon%3D1%26where%3DGlendale+AZ%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,CSAA Insurance Group,Remote in Arizona, 2 days ago,
Glendale AZ,Software Engineer,Workday Absence & Time Tracking Engineer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0A0sLjryQUNkc81K2goHfqpo9JHml6Vo2yWT4XuRGLXtsN7afMoSAWdqBM3YHWeqUwcg4B3cglsnd8SJ_pDZuBgbUPKFc7PDk-oFWyNAL0-Y8l8YVTBnzcotEzoGR1PzSKzRycVpVn_GArh8AxXAFJOWXx17_4Nx__BSS7l4ooslAlkKH3hce64CJlPhn3DQWUsopTGynHP3ZaWjHAvEpPXKAdIyJMworVfxei3LSOe4Lo6C9BwCkgV1s0oXIH0_OUF-ga2d_UhF0GwVbAoyjXrJh7rH3Vui707PU94hlSwtrDe7vIJ3lkz0mvmRLeYCi5BCoFrmeWrZOCcu0pSaq-eKl8rDQDcHNVJalCS4GeZ5NfSih6K8CmtJyYK9NY_i00S24dgi5P1fXNoIClYdHbVGnv22Gwyr4LIpOH-KSfCyxLD8u7RGI3TT15O01IYc79sPXd6HEXi38Zh4Ne06FNBDGqn-_7Fqtq62cR9fA0bFhaIVP5QP7U-ytKqruKfHcR5RNawmi3u_o8g6ifwQuzARKkQ971gbWbDuPH5KH4NTqU8px_v5ys9eExIyZTImsJaM4yGpD3MwfjIoJ2XpSbx8V1jzdCqhglmMfCXNpbGYZpufUFZtiSqFKibboBlcmZDkOttSe4JY9ceqAFu_pnNFomUEopZt-XIUqVyvJ5nQw%3D%3D%26xkcb%3DSoA0-_M3Wob08vzU3h0LbzkdCdPP%26p%3D7%26atk%3D1gj89up532fcj000%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D9c8eac51b6c9cfaa%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj89up4l2fcj000%26atk%3D1gj89up532fcj000%26spon%3D1%26where%3DGlendale+AZ%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,WELLS FARGO BANK,"Phoenix, AZ", 30+ days ago,
Glendale AZ,Software Engineer,Junior Software Engineer [Hybrid],https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0DI0tKE89bsnNk3qFvbHVJ_W9IJg_iGrc_hDtaSxfB_J34LJalCz4wIEl829u1q9EjqaLeZOfchHBPshv3AOKl28Ts4POaCY0Ek6LU7Gsw9B-NrguPksrBwPwmAtVVRkb0LNsFYkBJynTevJR8OXJtgPJp_0ywB7DwysIfcX7EO_00WWnRdkCIvceXaxN4EulFaanZHpVEaNLvXYEDUnKWUyxcVqzL7AQbkbEmB8T9tZr-Z2mp-ADmn4WzWz8cDM8xDsjZKc3Vl5pkk3le2sxQWxIcEM0QEeJoVXNSLmbu_Hx3pWRmh977HEtpMZOnQ1iiy1waZ0WshbYf6r0Hl122fr4oX-2hk4ceBgcvO9UoGdBMwa9TfWU0C1u1uY5IBX2earP5yJYrKPHv_abPBykAQzItADHHqkdfMRiJSpL5CDU02uEz2dJq3AcbkgZrCWTC14ys4QX0dEXzps0flZbG16dNJ9Im1wLVxPjjk-H2GF7k_CIyhSDmcbmoxksCs1z90o784ETt_Od4H9fFupyiVIefkmg2xuxv-ZCDSzDoQ1hfcyNovwqc6DIbh0oD6ohA%3D%26xkcb%3DSoCA-_M3Wob08vzU3h0KbzkdCdPP%26p%3D8%26atk%3D1gj89up532fcj000%26prevUrl%3Dhttps%253A%252F%252Fwww.indeed.com%252Fm%252Fjobs%253Fq%253DSoftware%252BEngineer%2526start%253D0%2526l%253DGlendale%252BAZ%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D02c75b39734ec986%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj89up4l2fcj000%26atk%3D1gj89up532fcj000%26spon%3D1%26where%3DGlendale+AZ%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,ShotSpotter,Arizona, 24 days ago,Estimated $64.1K - $81.1K a year
Glendale AZ,Software Engineer,Senior Software Engineer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0A0sLjryQUNkc81K2goHfqpo9JHml6Vo2yWT4XuRGLXtsN7afMoSAWdqBM3YHWeqUzYdX8POgSLu6InKwdK3LcE0JTcX6YF4FgZwyyYo6g6UjRFv_2ZsdBFrJuzg5y6qOFMpDm-AlTbXvqqzK1-EQl2MaQmUPeFxsueaN-8Z8k_GjvePrCJOu2DoCGgGcub40nz6JepSvPOtAt9rvFCF-butj7rg2JHSWmNtMxDd8urdk9zsQi4IP5GKIxD2hi3ieAwUXnudcGF3Sad8l7ippG9wn-LlsQf34sjWgf-kkP6JCVViqP78ILN4ymBWcTmJtEqoX2HkNI1tXKvKlKCCeqEUzo80DQAJ0UoYfFODerc3TFJNFEz0D4dv5VmCxCRHfWVn5oaFYGz5IXKKcHotrNm5HEd0wcFiEkx7dIy5620N1R7WRkPdJbI-Vu1bVZJ0KIr9Hem65110LQbG15ZQGl-vFBkp6f1W8t2vxhxeihWAgmUp2OO7vCr7ydprMUvRT23uIHmhnBkXE4gzBC8s7XfJXKsxYeZfXHsYllhuA30Vb_LzsLyAL6J0PCF_Av2xUFgFu4WLsJ-1wEs2DIJ2ynLOb0GfYnuvyAzIAde4cUUBOa40efcRZOX4_ZfwthEmZezfNK4nrvEl40P5URVbbvFKMUxqMtV2gvHSAz5PZa-rg%3D%3D%26xkcb%3DSoAd-_M3Wob08vzU3h0JbzkdCdPP%26p%3D9%26atk%3D1gj89up532fcj000%26prforceGroups%3D%26from%3Dserp&mclk=jk%3Dfd5f0408ac4d5c44%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj89up4l2fcj000%26atk%3D1gj89up532fcj000%26spon%3D1%26where%3DGlendale+AZ%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,WELLS FARGO BANK,"Phoenix, AZ", 30+ days ago,
