location_category,job_title_category,title,job_url,company,location,posted_date,salary
Los Angeles CA,Software Engineer,Software Engineer II,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0DAFTyt7pbDCC2JPO79CSdi1dIb81yjczP5qsKcZIxgiYm3-7g-689UM0rgypL64cplWh3rRQ4FQigg9d5DYkXmRMxOpkFoMhEYAWYQYJ8hnYnCv5vldpfxwGDDp61Tz4bzDcHQm2rtd50Rih2s29FlTz8hb8aPC3u_cuxGsvFoVpVW0JfMKaA3ZoGTvwPCgL_tE1VmHsxx3s_9psBED8KuZB7AHoGeZQ-2P71O4Fomtymsv6L-OS9kGwHvt_OG3wpHcj00_1_6Vgl-clcKquZpRhMF1fFBMOlcXSZcoO_hqXEbohq4rcnZAlc7SqdEf_5aEoC0STwlBPPwaEqvCNe1t15osqTKHeZLCAIELD82EsWYd9mEXBtp8CxA_egKevf7fcJ3YmUmglf87Q2fCR3W0K_4RVqQZl0MHWbwIfh_kLN9g59_K36BI1qUcYVRN2RdsdsV7gmUXvZDPFs6FnrmmfXp6lJ2NMUl3Rk8HlWiMw%3D%3D%26xkcb%3DSoBd-_M3WobvqMXI6J0LbzkdCdPP%26p%3D0%26atk%3D1gj89o3gdis9l802%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D652bca630ede522a%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj89o3g0is9l801%26atk%3D1gj89o3gdis9l802%26spon%3D1%26where%3DLos+Angeles+CA%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,Disney Media & Entertainment Distribution,"Remote in Santa Monica, CA 90401", 3 days ago,
Los Angeles CA,Software Engineer,Senior Software Engineer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0DsDX5o9b5V-ZoTduOWK2K2rI-TBY3rgZ2oD5lAV7ECGnGunHxUrxk7Vt1p23HlwnuccQwJ8X25Ab0kAvChFEhqpdp1G-SWIpRFQ8CvCrToAdlnn2Gf998eogg93X21LW2ZrxDQVrAFOaw032LXwK9Huu5io0xGbKE_GLk9z8B4POTjvtAWm3aG7HETRcFg2GSzvDWQ1oV6VNrP9ckiZBXQgA4upQABzg8Pby2YuDaiE6ZFz97IWzwkEBM9dITDf_1HOHy3AdftL0EFeISDwqmxmx9008mWJc0rmDwWhQMxSExnS-82oFBerAPRBK4dhnXemtTWmmp0ShMYl2j1tWo1l8WF7A-BaXByThm1RVttSftSC_faaKShBP2wNAGqB9vHMmN4UcwRd5r46jhzADLSOYFHr3oIBgs9VZGzHsPxhSyIa7cKOWKQ-6iN2WUSE5jiyULRPKw_VMg3U3t0Vd8p-3rY26kyEkegFLv4yLgd0RZNy7JPWZaAUkQ_kPHDeCCebtyHvx_NQGjUWbV1xyVDZzEDidIYwpkrul6lEwJfqPqoTTNKzivdZLgtcKx5aWQ%3D%26xkcb%3DSoDp-_M3WobvqMXI6J0KbzkdCdPP%26p%3D1%26atk%3D1gj89o3gdis9l802%26prevUrl%3Dhttps%253A%252F%252Fwww.indeed.com%252Fm%252Fjobs%253Fq%253DSoftware%252BEngineer%2526start%253D0%2526l%253DLos%252BAngeles%252BCA%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D67b41c9519c906a7%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj89o3g0is9l801%26atk%3D1gj89o3gdis9l802%26spon%3D1%26where%3DLos+Angeles+CA%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,OBMedia,"Remote in Los Angeles, CA", 30+ days ago,
Los Angeles CA,Software Engineer,Software Engineer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0AJH7-YRN_pQoVokL7FxfJ7IM_W8ZSQ0P9tqZSe0DsnqCe04AsIqV5rFsx-EMTrVEbSh8SXaJfV29gQsuRTyzwfLiC-anmcmQITVwqcE32MsL2mJ2OqGp39hBhMtA5mDqDNMZrH3ei5ndN8G-x_-7gxbRr511J2dK_eUvwwnNGMUrAR-FkXb6FwYDQ9BLI0yQghrRXfkA_to2RJ4Y2juP6Ia6mGXUTj607GLOTkftKRKxgHh8hTd3dZkkvaq68IWbDjEP6g7jTNme_2dV3rPadoKKtdML_GCvjQDbH5TFK9ml9vK4XMHzOuDWu-681e_LJoK_BoF8Uloqa_RFjCNLQES-uxl_vhz7b-q31qVM8-uJbW0jJ91ERnXADrK-wplb-xhnviK4LYIjg9yexepNr2Zj4Akv_B0uGuhTrDiMOR0KooYgTkYP3uqDv72NArn5Hq-AOn4Ouy5qMHMUdfTBnOYy68c4SFqygiuCxSanDHaQcdkmqVir_IoH5PWDjdb9UXuWzJKZDRYwQoQd_jzCCl0AKViQGG0-amNamk9V9flQ%3D%3D%26xkcb%3DSoB0-_M3WobvqMXI6J0JbzkdCdPP%26p%3D2%26atk%3D1gj89o3gdis9l802%26prevUrl%3Dhttps%253A%252F%252Fwww.indeed.com%252Fm%252Fjobs%253Fq%253DSoftware%252BEngineer%2526start%253D0%2526l%253DLos%252BAngeles%252BCA%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D8af1f53bb23614c7%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj89o3g0is9l801%26atk%3D1gj89o3gdis9l802%26spon%3D1%26where%3DLos+Angeles+CA%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,Karagozian & Case,"Glendale, CA 91203", 8 days ago,
Los Angeles CA,Software Engineer,Software Engineer- New Product Development,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0DAFTyt7pbDCC2JPO79CSdi1dIb81yjczP5qsKcZIxgiYm3-7g-689UM0rgypL64cp65W3jBsUEdE5hwvzL0EP-LEUBoDS4gIUCIoj6OFSZmQdcl1xv3u2ZXJl6GCVOyf6-BriW0cnycKt0QnGSrHygMB5UH7SYP02NqmqPRCk99sxdWc8QYZur-ND4xSfTzTfRgpTtJxVL4bEmgcOvGCEpb_ljLw0P4Ti1SD9gdRtn3mOGzfvF-OAaLHZNfWvDIh8Af2xzbN2fnZsR0w21tpEZpXqlGk01dRb4IqnpGvYKH_tfywkbqNw1wO4n-k-Nt7GQoPifozLody3NHXywhoUiDSGfZDJwbmtd0R9r48epqsUumsGVu8MrrCRaKltiNEoa3Q2pmgGnTCjGoZSQ_3i1Nt3FqwojVnu0TVflPeDKwqRQXbbP-b-a_gKUouATw8cSLWa_dhZNoQn9SC7N1KyL3RZGq6P7AroGY4N45seQsw%3D%3D%26xkcb%3DSoDA-_M3WobvqMXI6J0IbzkdCdPP%26p%3D3%26atk%3D1gj89o3gdis9l802%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D425947c4546b4cdb%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj89o3g0is9l801%26atk%3D1gj89o3gdis9l802%26spon%3D1%26where%3DLos+Angeles+CA%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,"Disney Parks, Experiences and Products","Glendale, CA 91210", 4 days ago,
Los Angeles CA,Software Engineer,Technical Support Engineer (Gimbal/Camera Systems),https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0DxCZnDliWW_rcfMLoVO_wJl195BLjL9Hk8YTc5obIwJoidRJMYQwEXwV4rcGy1Ogf_vBeXikGewA-cEDBtqwaJC6rHOajeMBU6BxQXc16zVMmGuh-5tqFCDme3roBT9DEJZhQ1DgKyubMKjG-OlM9P7gg5DeEJxw0aoTcXYY0UMGz1xX3uEOGIYCnzB8CouXwOWGXeNk5OFdbQmhSXrzq9Ajs_Y3uDv5GLht8N5BmjOiLKzIHLRI4uYSbi3nG7Jk43e5r5CHdQeF50iZ0INpJTXLZ_MOciVOprr06zQkxDJhWvXpmoxK8ylOWQDAWToRbUbkiU3YV2jP4BfAD6Kf5TpuqGc6x_9gAX6tykojn3VDOpqJg_TqWwTPehwlIq2PeWLeK0PeHPGdGAsWEZVLEwHSltzf2zlqco3b4FIi7j6I74Tf74dfKaPtVPnHZYYVkPZDPFF99Z2sUP6_1nuBvoFkePwZ0v_Jq_5bDWJQPVphCf6EKtglfsuFJ2iJG0uHUZl1oWrzkBZ_ZDWGG5DAfooUzWv7_5j4_oe5t4lXPh201JVEnT58-H2_rUJ2VpFYHeyx5mftrZB4311fvtnGew%26xkcb%3DSoAY-_M3WobvqM3I6J0LbzkdCdPP%26p%3D4%26atk%3D1gj89o3gdis9l802%26prevUrl%3Dhttps%253A%252F%252Fwww.indeed.com%252Fm%252Fjobs%253Fq%253DSoftware%252BEngineer%2526start%253D0%2526l%253DLos%252BAngeles%252BCA%26prforceGroups%3D%26from%3Dserp&mclk=jk%3Dee8d609f1f71d05d%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj89o3g0is9l801%26atk%3D1gj89o3gdis9l802%26spon%3D1%26where%3DLos+Angeles+CA%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,"SHOTOVER Systems, Inc.","Van Nuys, CA 91406", 23 days ago,
Los Angeles CA,Software Engineer,Principal Software Engineer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0DAFTyt7pbDCC2JPO79CSdi1dIb81yjczP5qsKcZIxgiYm3-7g-689UM0rgypL64cplWh3rRQ4FQqr8m1Qg_-macSyZkG0mISJP6WC0Bi8BMCEH8KcdY1fb9zmpj40vOdxA1KiFACoGfJwNF8MES_eEUexni12hVrcJKunSDjTcayJfJcbr-ziZEQ-ew1T3qjLo8YFlsMS3P1IklZqKG3SxKWWrjzXA2-wAzArNTuYc_rleD-kpyjLiPJT1FJYoo7_qfmZXjheTVTVA8HuR69B09Imv-0w4AE9P2Hbbk7_rQL8KD4JRt7Ojz7waUZ3tgZ4Ae5RU_3B3rDDjFZkJNNdonVhYc2oCK0wtaa84dzLAvfj0_LbuOn8n4VVHKiSzQ4OIdFlSa306M_U6ESk8AN50J1vcNOfQQE6uOBFGnRCEZb73MaeqHg3TRTx3czz6Br8zSCvJyRnMSyeqUMXSs7ieoPAEjpVhOfnLiNLAPwAHpw%3D%3D%26xkcb%3DSoCs-_M3WobvqM3I6J0KbzkdCdPP%26p%3D5%26atk%3D1gj89o3gdis9l802%26prforceGroups%3D%26from%3Dserp&mclk=jk%3Da9646d2703402e58%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj89o3g0is9l801%26atk%3D1gj89o3gdis9l802%26spon%3D1%26where%3DLos+Angeles+CA%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,Disney Media & Entertainment Distribution,"Remote in Santa Monica, CA 90401", 3 days ago,
Los Angeles CA,Software Engineer,Hardware/Firmware Engineer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0DXGJH9wgk0TYO1dNyelgSC0c1fQDVaPdg2NnSMCWe4eYNrwc5Ajd6bzWeSHfq8IstP-c5-rPMAfp3lzrXXdLoLJM72ltOqiCUt2mvlgNlfwTotWpvwl6MkxGE-P9g1udyUsbDFihrnr06fOZBfAM3KK0L2rvbmAa2o55uxHOg1m1q3xXnnMorbAKoH2F01R7blePbu9XlyMHI4xkphOaP9NjTGHdccRE-zJEDUrkKNmeJU0NM3olkNdoctZMj0SyZRb3Fw4ZFBJxbF8nTw8AHoDrkbyif2Nv6i2lTWUjt9wt0VtyKcp5TyPcOXXUpL-ICfyVNagCVn3ebaHIEc0-dCbHaPPhOiBz_zO73igPK-jCgxM9Bi9l6V9NMISxp0XVg1zXvR0pf__ByMXw9E5prV14dsXZpcIKWg9z1QRqHVYWS6rzIOzvTW0cZZ4e98-woQfDWCxHhjujcK3V1elZ0xUWCva9yuP8iFdkBmUoXFtQgHncdgU8IUAh5UVYkktCogeWd4JE0llneCcVWJBZbEBKDUOmMBbACT4rSDNhJPMMkT7FH9o2ld%26xkcb%3DSoAx-_M3WobvqM3I6J0JbzkdCdPP%26p%3D6%26atk%3D1gj89o3gdis9l802%26prevUrl%3Dhttps%253A%252F%252Fwww.indeed.com%252Fm%252Fjobs%253Fq%253DSoftware%252BEngineer%2526start%253D0%2526l%253DLos%252BAngeles%252BCA%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D2ef4de3e5d2f72a4%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj89o3g0is9l801%26atk%3D1gj89o3gdis9l802%26spon%3D1%26where%3DLos+Angeles+CA%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,"Westnet, Inc","Huntington Beach, CA 92649", 30+ days ago,Estimated $79.2K - $100K a year
Los Angeles CA,Software Engineer,"Software Engineering Trainee, Distribution IT – Spring 2023",https://indeed.com/rc/clk?jk=19122797ea753300&mtk=1gj89o3g0is9l801&from=serp,"Sony Pictures Entertainment, Inc.","Culver City, CA", 30+ days ago,Estimated $91.7K - $116K a year
Los Angeles CA,Software Engineer,Software Engineer - Remote,https://indeed.com/rc/clk?jk=4125487491396754&mtk=1gj89o3g0is9l801&from=serp,TrueCar,"Remote in Santa Monica, CA", 30 days ago,Estimated $100K - $127K a year
Los Angeles CA,Software Engineer,Linux/DevOps Engineer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0BDI__sp301brW0QjSCeXbb_POfrJisnoEOTgrZM7Uwy5t5KJBb7luWUjk-QndBmeh_31bNNaOE89-QuaVzQqe6Mpz8U7PxtFpRljp4XSZUJyrAnAaU52HC21AubJ9cCxTPV0CBp-8meidsrfBA2EuMTQe4nDWKLEkLFiOpHiN0RtDuZuuHB-eFzD0ygUjJjV_EFy9HO4YAJ-WmiaX9ZHZjC9Dxt33Uh_rmV2USTLmO_8vVT44EbtgoXJtpBOP_xLM-JfNSJy5sGfnGbwnVeUOWajaYDKpfS26bXhXQq9UEATi1BccPeLcY6vAS933_j3wnhx6ycOnQqGj4kO2bJdcH9jkXF0EhBzWnbTX6QBqgu04R_Vto3ltVxdxZQrMPr4mZ18P__oKD0kO_tOzdFoUMs8MKmYlSXuNymFWDuehBxlIDAjH27Ccm2izNi6F5He00dFCguaOfC3RBOtxOe8o0pM-5lmdzP_OEFk-suDk5dDa2fifKj4JhgCWlx0xAjJN5G3QcwltEF7gUIfjM1et_afhxDVNTH7_UofbsYzRelQ%3D%3D%26xkcb%3DSoBB-_M3WobvqPXI6J0LbzkdCdPP%26p%3D9%26atk%3D1gj89o3gdis9l802%26prevUrl%3Dhttps%253A%252F%252Fwww.indeed.com%252Fm%252Fjobs%253Fq%253DSoftware%252BEngineer%2526start%253D0%2526l%253DLos%252BAngeles%252BCA%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D46567e402a4e2555%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj89o3g0is9l801%26atk%3D1gj89o3gdis9l802%26spon%3D1%26where%3DLos+Angeles+CA%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,"Jada Systems, Inc.","Pasadena, CA 91101", 3 days ago,
