location_category,job_title_category,title,job_url,company,location,posted_date,salary
New York NY,Software Engineer,Senior Software Engineer - FinTech,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0BlxxBnWW1bkqkwMMFSt5r9ZzUO58dRhPTB7I3_ooPxbXyHSA3nVqRBEpLl_9ZwdYXPSu6_hnMmxesA-L_JPkAsgTweqT3rVxNDtdPdQMmXz22cTzHATIFy-h51rXLJVKpfPcy34W_EPdkqo8yosIacUc-TC_8y3FR1EOXIPUNDnhWfAVXbWfYSxw6fPmeOK4ZieaB-upqD_KVNgyO1Vco3hcA7A6HKEFaiiOJU26V-iQj1dDMUGwfRBxcq7OkG7EzEAGflAjabwPbtNmFmQsQaiItxqIt90A5OA26s4xSzWS-cIrA0INbxOuGD-McHBbeQJRBPJWfPdNdCtKrS7ySdg7u1T_nKPr4TPXaKjSxdSlTnZCDYdTdsqHn2UdeL-XK_h-CSgLv5_i6GrrRx3y42p-vvPdLvf1WJyQpXXaB1bn8E1Jcr9HrUhLf9w8fdBGwaj2yOEcyJKBNfRb_rlniW3sgzhRDF0f8AKCbXqxiiqwbT1wzAT88CwYhFCLq8WrKT8bshOh3QUpO9b-b50ALdRViTu0pN_-WsgvUDowBvM3SpWfo4P-iEk4bxugQ5dZc%3D%26xkcb%3DSoDV-_M3WobTFwTU3h0IbzkdCdPP%26p%3D0%26atk%3D1gj89n68k2fcj000%26prevUrl%3Dhttps%253A%252F%252Fwww.indeed.com%252Fm%252Fjobs%253Fq%253DSoftware%252BEngineer%2526start%253D0%2526l%253DNew%252BYork%252BNY%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D055762fcc891b90f%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj89n6882fcj000%26atk%3D1gj89n68k2fcj000%26spon%3D1%26where%3DNew+York+NY%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,"Menusifu, Inc.","New York, NY 10016", 30+ days ago,
New York NY,Software Engineer,"Senior Software Engineer, iOS",https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0BIXMMX1_Nw1tjb2N1hhYKvGbNCKU7gn8rcaqD_umfnswnhBr6H1O6pQzZsuy5siGw3fd9fv_o5jBhQFOtXwgSFy9bWyuHrG0lyGdJuYP9tIsKTm-LdbEO1EzKoUggIhg9sbj7EycPlGm_KkKw4jbo3xlBLJ8RmPh2hAfOlGKLKjuh_dMJsYhtfv5V6UgBL8cVD_NVRFY_3gWf3rmDU7ehjG-77AarEWIAtnMk2omDWLepga2spxj58X8iQ9jj2Pbrf429SXN7ZirrUOg51RZCRqR83xhl4o88Ou7eZOjdpbhd8Aq0iYpdiFwWYS4iPYj4yQvEhAKjM5ndp701PjDVjvyEYfM5IbXRnI5rYoUn7_Z-TmQVBggvXGuTQFZGUQbJehykins2NcN5lR-5jFK0H7xoxKVVvfuMuIFxoMv3D5dGulOiZutLbYNOGjv4wA1w6Dw1prvNY-3kXixKPcv3wwZczqpOSIFgHJ_CtA-f5svlQUFgxC1A3c0BS8nbaQnw%3D%26xkcb%3DSoBy-_M3WobTFwTU3h0NbzkdCdPP%26p%3D1%26atk%3D1gj89n68k2fcj000%26prevUrl%3Dhttps%253A%252F%252Fwww.indeed.com%252Fm%252Fjobs%253Fq%253DSoftware%252BEngineer%2526start%253D0%2526l%253DNew%252BYork%252BNY%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D20094486bb8faa07%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj89n6882fcj000%26atk%3D1gj89n68k2fcj000%26spon%3D1%26where%3DNew+York+NY%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,Peloton,"Hybrid remote in New York, NY 10011", 30+ days ago,
New York NY,Software Engineer,Senior Software Engineer (Targeting Innovation),https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0DAFTyt7pbDCC2JPO79CSdi1dIb81yjczP5qsKcZIxgiYm3-7g-689UM0rgypL64cp65W3jBsUEdE0Cnpg4sqbpS12SvbEytUa-YyoeyRuCOaoTYAHZk6jIgBnRcNw2tQ3Qa85zZr_hHmDGZzA2UptrSolH9zLq4OuucQ5BaXk_Q2UnGHqv-6zTo_BAl0ovNqR6Sd80OjOqIvwiCiz4xkOkpsuQ60rGW4XQc0IpaQ5CFRcqa0GaeKYM1hybF4xAcWjJ2ezJow1A-hsrsV2ZCmhl0IymRAle3W6yw_4_bhSAAdqAdGYP-hIPwnUXGibvKal78rYnSi-RERP-K_fh4pbnAopr0bAtwYzgSU_aXGfGlfTH_TH1s-dy3ZlXSMv-_R32KcjSLTBiwJ0Gw9Oj6PF6sND6XjL3qBJp28p7_I3ezCMhw4UfGANHWLyYOrqlhq-bSny4pIXRl9l4dz0ljUcz5ilFgVlb1isrk5Mgn5RHUQ%3D%3D%26xkcb%3DSoAv-_M3WobTFwTU3h0DbzkdCdPP%26p%3D2%26atk%3D1gj89n68k2fcj000%26prforceGroups%3D%26from%3Dserp&mclk=jk%3Dfeb5627e38b022c3%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj89n6882fcj000%26atk%3D1gj89n68k2fcj000%26spon%3D1%26where%3DNew+York+NY%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,Disney Media & Entertainment Distribution,"Remote in New York, NY 10012", 4 days ago,
New York NY,Software Engineer,Lead Front End Software Engineer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0DAFTyt7pbDCC2JPO79CSdi1dIb81yjczP5qsKcZIxgiYm3-7g-689UM0rgypL64cplWh3rRQ4FQi8TokIRg1GnOPj4wKCG-Rrxn_uzhOe-uQuMusrcelO5p3_zZXMBy8CdMLS0HX_K7ncuKvBxfslsB4YeZHd4Oz0bt7yrvRLdY93vWsZTpTatbxy8dlm5V2pqJsRdapsctCg_msEGUM8Hw5NqNKoU4KuwR9bHTTIeNJBdG-Htk--TMcAOovTzFr0MpFY-6wVcqh_XB1HlXAUBFvYqeldY_tTeE2Wa5mt5TubBQjv4bq1s17BwzQsGOeehXDLYTkUqVc2RCuYw8i3BpAE9KcHJv5hiUq3UKl20LwSs1QY88xMHtMoC2f2gbq147zQYhyR5t77Z3NC9GtIt_KSTTr_-B_cH4W3Wg_J5wRhVjAy5joXhf-zXdD96BioKKuKOqKTAamsR-ia8cEfSJlHdKv98trQ%3D%26xkcb%3DSoC5-_M3WobTFwzU3h0KbzkdCdPP%26p%3D3%26atk%3D1gj89n68k2fcj000%26prforceGroups%3D%26from%3Dserp&mclk=jk%3Df752cba611091fb2%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj89n6882fcj000%26atk%3D1gj89n68k2fcj000%26spon%3D1%26where%3DNew+York+NY%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,Disney Media & Entertainment Distribution,"Remote in New York, NY 10012", 3 days ago,
New York NY,Software Engineer,Software Engineer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0A0sLjryQUNkc81K2goHfqpo9JHml6Vo2yWT4XuRGLXtsN7afMoSAWdqBM3YHWeqUz_U4HTUWCB7a37zb5D0nRJ7IClow1CnoyXKo1gDF_K5Jx2VyXAyyH_sNTj76wgEfpyVwqOZNe3YARbaGqHZTc0DWT3-z9tetd82LJIRmdUuRgOrMzWYCOV-U1EF1lcVmrP1omaIuvL3NKwG_Gzk7BOvoWSsCGl-c6nC-ZDypRXHjNdePf0jvxcL0j4QfnPqZECgpAQaik7xzL8rDvjCHAWfN68yTZjD8noNm5B-eLuib0TKaUyAfqJisD-e-5ga4euVgCQgid-PjuejRIDn3-60YB_v_g6DhhkEEanrY4eGd4KgqixkYp7MVJAJ60Q8r6P-qY_b8IApLARTuuC1QKh4miQHt7WfHNFjfBCatUhV_7CiMd9tmrTI95BK1P-Gg7ykTGax494HxMkgvwhO0SyvWB0qW7Q2UsTvUCHqEMmaRKS71iqHILPjDFkFdBDTsHJB8o63YMqqpv_I3EFCBAC9KO1BOTBR2kbpw73qXnNPA9ZFkuBDbWnRO6pj7JH6LCSMOSyDKWA-aDkmdcfE7NtzWbU_c3MxqE-4VE3tmA8gwijxPOGedEQjHLXZtwHSKg2QQbo1l5RiQAqRfiqO_u1kpy1JPObnwkJJt0H_TxaEQ_36ek51AXC%26xkcb%3DSoCQ-_M3WobTFwzU3h0IbzkdCdPP%26p%3D4%26atk%3D1gj89n68k2fcj000%26prforceGroups%3D%26from%3Dserp&mclk=jk%3Dbc6820e072ceb0ec%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj89n6882fcj000%26atk%3D1gj89n68k2fcj000%26spon%3D1%26where%3DNew+York+NY%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,WELLS FARGO BANK,"New York, NY", 30+ days ago,
New York NY,Software Engineer,Software Engineer- Recent Graduate,https://indeed.com/rc/clk?jk=b887eb6936849a06&mtk=1gj89n6882fcj000&from=serp,PayPal,"New York, NY", 30+ days ago,Estimated $111K - $140K a year
New York NY,Software Engineer,Embedded Software Engineer (Manufacturing) (Fulltime),https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0BTy4Vq3kUv-8E8fBOrhZt-7WJQYqv7u2ur6JnxlE7nqyp_7uh_5BBg8y8vJYtk603t6YA32kK3ptQ6cmI0-GkBLMuh76GWsXeecggTUYlNd1GrntaI9N-b5P_ypCI1KAjYhs2IHLXViv5lhXT2onvq99j-0CduidhQoDS4YzNbVOFaTlevyQtn89WT1UxKnxoky0Y5FY1cslRYno3bN3vrKU-M3RaWo9Wl41gxuasV-VtkBsNe0jABcWrNZv4ZF0WUO1T6CTLOEJ-ZYqOlIncKiUmjJNo9YcLyvtviU84_oKUWXY_ZFFkL2zoU_ztvdPW1ebi1xFc-hpFdU2XP1gXKUwKSH4X0aig_KnIuOFbmd2Lo4iBvZJDAmo0X9emJsIbiKdnZyHZy1iXQjKQM1mN29cuYJ65K1x-NY5HBY3vAG9uXSq3DnEbf28sXi_rrmi9j05b1gKwsjyf8uU-HRlOiaYpYnBB3grJeb0qICYcz7_6v0hQrSXWhdWDXLHXB9LWHvh-4l9cyp4C5tX5YUWoZTZyhP5PEMEzGo24LdCrtQuZwGRrBjecP%26xkcb%3DSoBq-_M3WobTFwzU3h0DbzkdCdPP%26p%3D6%26atk%3D1gj89n68k2fcj000%26prevUrl%3Dhttps%253A%252F%252Fwww.indeed.com%252Fm%252Fjobs%253Fq%253DSoftware%252BEngineer%2526start%253D0%2526l%253DNew%252BYork%252BNY%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D553b7b5f15992391%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj89n6882fcj000%26atk%3D1gj89n68k2fcj000%26spon%3D1%26where%3DNew+York+NY%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,Diversity Talent Scouts,"Blauvelt, NY 10913",Today,
New York NY,Software Engineer,Android/ Mobile Application Developer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0D7_aXmYA4VZI7Vb0Ayqea6EjgVK09saDD2wMLrlRUjG1seeWK8E6NHqUfZaeqNLDZ8CHZfzXON-oezalUUnky6y2RCXPLFhQUWHaOIXFAOy5CnoG8OhA77dxWnAugExZxjlDGHapZE0mJhM_4QSCqWxgOePxGPGpLrPwRCFIdHAxA0fNhxJbN6tFYjm1CJ7yNu1K_gWxF6lBitqLV2af4BxfJ8pEQZhf7NJrordRnsLZNv6_crE27sBjzjLAkDU5hV5gsgpN1u0o8v93TneI3wyYTxlSNpIaVELYTEYxAZ39GDK6iUbrGote6xzF2ekVXsifYV7wvaLrlSaIe6UonB6k2x7CM5D1rk0z9rgPavXgfB7GX5rX6QONYmQkF97jReXaupL06GSBGHHmWLV_-Si5efnpvMde7JZWzJrktB8-97w8FUWIgAvEVQyKiWZFNoSeDUMlGLUFZ05HZOlRetNvFzF6FS1jF05T05K1BCEeLoJJDS0RNgk67epK82tdvmPuO9c7UMA-mctjzePwEy66zHG_0zAS-9h6LB5HZ3fi-DVMdthFYkQdASmtGyE215Zd2VIo4e0g%3D%3D%26xkcb%3DSoBD-_M3WobTFwzU3h0BbzkdCdPP%26p%3D7%26atk%3D1gj89n68k2fcj000%26prevUrl%3Dhttps%253A%252F%252Fwww.indeed.com%252Fm%252Fjobs%253Fq%253DSoftware%252BEngineer%2526start%253D0%2526l%253DNew%252BYork%252BNY%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D0d4ef2e876993721%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj89n6882fcj000%26atk%3D1gj89n68k2fcj000%26spon%3D1%26where%3DNew+York+NY%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,HumanHire,"Edgewater, NJ", 16 days ago,
New York NY,Software Engineer,SOFTWARE ENGINEER - CAMPUS ENTRY-LEVEL,https://indeed.com/rc/clk?jk=c0119fcc4809034b&mtk=1gj89n6882fcj000&from=serp,Peak6,"Hybrid remote in New York, NY 10106", 30+ days ago,
