location_category,job_title_category,title,job_url,company,location,posted_date,salary
Washington DC,Software Engineer,Software Engineer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0AC5S5KfpcrE62cRuYLg6qW_HWiPjKHP06qk-AGfbwYtPF95Wd5g3i5FoC9GoV9iWNLUqpsgSR7jbG94913m57TnVGmC83cM_EB-poxf-FUSKAZbITzU8cLluEc5aAlBd58CIs3QpsOj3XDKVqxcE3C-w7T2ugspVo0AFmIpRtK6y6Y5g59tTL9t4Dea2sSsCOcK-FjhqF1q6JJHnmx6X_1vuEFV8VgtGxEwQOZ4o7gru7MBqk0mL_BgALYk8dyyej0tfu5lNADUOiTLZpouStd6q_iTTrJHz5gbrCiMXNACvkGS-ECRbYBWQZ6KtagT-6FNLAhNSVDcqT0Afk64ixw5-hHhrSTEq4dY0OvsapeTmz-CHeELYjN9LhiH7cGbDgU2wjFUPu073xgK7gDYYGTzi7kE2KrFNzhVpeSYkFzzY1WyenJklYjn9KeBTjDq-321msuk2jqhygGeeu63uE_AcIbb4Vi8m2AvLRz9E59tJlvi69UogCHCcsRG4-eQxt22cMcSAEBs5fBRerAtuPZ%26xkcb%3DSoAu-_M3Wob4XtRe950LbzkdCdPP%26p%3D0%26atk%3D1gj89ts0pi5cn800%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D54b17418b6f07b8f%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj89ts0bi5cn800%26atk%3D1gj89ts0pi5cn800%26spon%3D1%26where%3DWashington+DC%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,National Security Agency,"Fort Meade, MD", 30+ days ago,
Washington DC,Software Engineer,"Software Engineer - Columbia, MD",https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0AyiU7I6MWEx30T3H0_HRYer5MNRXwPMwKbuYIwS-YHD1FpRwvcP6pMh86jAbYpcB40UPXwBj_OB0lwUcMjZ2G-oxlbK1sSXiC9OqgC5-k-pJkEjjTOQy2VBJxMXjZutzZcBRjluD_0YIBtKCiblHVYYZsE9DWAXI5XxKc8BqvFvgjgoCedrdeaNkj0nL13fx0eksG34bQmwWs5HmrcC-Bq7GaqSqBCBPipMry4xreIBpUv0cBe2w6OOmokZXfD_T3tOXFS9jUsUD6p6jDYR2rh2glNEPJC179FAKFyayyTZv5pH2BMbC0-ulXgNpAwp4lawiOjc1Xv-Ez_bWcEpJhu1g-XGbvToCIz-tR_HP96CGnUAFMtXSuKd67BslF3aRmj3lh39LjDJYsDBMI1_eO2f02m0tUZYJctKitJ5NNNFyvWR7HVZYH97Og6l2nvitcdcQXECz2mmakBbQZYKGbPadTAeeZjcJvh1yekaD64cFIRqOultjP76KR6-fr7ddEbx0a4bx-NFXiXQTs6aHEM8KLov_a8eXd3_Ihma0Bw0HdSEehPHeptxkGXBYDKKQRsAqjLdx4689JfmS_6vlUia1XDqFFktOTP3tz55lUhXHKO7k43m-1RmD44_Ij18IHVMjqShEp16zw79r4daSy3i0rCEDVrbY2YwA7UR2Xp7zxMdeM0h1JBSbiY2cjjXJg%3D%26xkcb%3DSoCa-_M3Wob4XtRe950KbzkdCdPP%26p%3D1%26atk%3D1gj89ts0pi5cn800%26prevUrl%3Dhttps%253A%252F%252Fwww.indeed.com%252Fm%252Fjobs%253Fq%253DSoftware%252BEngineer%2526start%253D0%2526l%253DWashington%252BDC%26prforceGroups%3D%26from%3Dserp&mclk=jk%3Db667ff415838400a%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj89ts0bi5cn800%26atk%3D1gj89ts0pi5cn800%26spon%3D1%26where%3DWashington+DC%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,In-Depth Engineering Corporation,"Columbia, MD 21046", 9 days ago,
Washington DC,Software Engineer,Associate Software Engineer Entry Level,https://indeed.com/rc/clk?jk=b441f10336ea1152&prevUrl=https%3A%2F%2Fwww.indeed.com%2Fm%2Fjobs%3Fq%3DSoftware%2BEngineer%26start%3D0%26l%3DWashington%2BDC&mtk=1gj89ts0bi5cn800&from=serp,CareerNet,"McLean, VA", 4 days ago,
Washington DC,Software Engineer,Sr. Cloud Software Engineer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0C3j_zLGvpMLCdiZ0WC46XqVTA1VMZzOzKXPhAXwYlrNb9EbKZEg8x0tL4Jn_n-27Utv_BQajPs--ikqGNyb9BzTtXHxWu_8X7QKiTDuXwdPMwZS8cl88L92r6PP23phlb-msE-lCx-8mTG7FfllEDmCHIG-QnDJ1ivGpqNpXGuOiwtha-KZJyR9jBDMkukCOncIxrgrP1n_eDKdASLqV2cUCBxpJEtlpLfTBwsNzKnL1Oz8VkbAuAlOrc6aD_ma0OVW_eTuT8fauv3prQgIxF1OfGhUdHoUTVTZopTLLOyRIZpgKH-GnUejbZTub1hy5xZESBnzHKw54F4KyYrwWAOo-yTYc7Cv31LqCPljKBHYVAc_e8oRYpW3v1F4c9JV0RcVYruPZ_49fNI4Ba0fIHwvkdOpygbVIRw_H7c0lfichoOy3OlV6tM4i9JfH9vnXoKaTqxuAOfhGzxwWqQGfG8Hfg9fhGSuMuLM6X9PnZ7Lw%3D%3D%26xkcb%3DSoBr-_M3Wob4Xtxe950LbzkdCdPP%26p%3D3%26atk%3D1gj89ts0pi5cn800%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D068343899c10f83c%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj89ts0bi5cn800%26atk%3D1gj89ts0pi5cn800%26spon%3D1%26where%3DWashington+DC%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,Capital One,"McLean, VA 22101", 3 days ago,
Washington DC,Software Engineer,Senior Software Development Engineer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0ANMurRYyPEXg08u6OamUd1Mvhk-zhFSGYIZgoJR86UvQ_x0FKK8TrZPiQOr9Yn9AsltvNoAYyzErcxfw1uQDlT-8nA3dM5iL1JemSKQB6EnycrhtJ14p1ILsE0COza7-OF1uMiAkeph8KqCPJmc0j3EpTChXpjvVZT122_qnmqc3NCfhh2PHZkxjctLCq_adbGgUY0PD0AG5P_rv5_SWPo07v4ERLMfwfGJ5PRtODjtTIPsjLPF-_EsWtZNYfakgYKWRGh_e3DW9VZdYmsgO4ivirW1JHd0iw4YEThYg_kA5SbVqF_lKmHw236nlKXl80eSefx83LFgdgzSvc8I__QbU3chnKWOImzzIFHIJikYhJvDc-9kikjFp8iqa47D2nBoVmUiafcMwhchhHAA7qybIVmsgRbVkHqCmtxyTWYA9AuEq0wZddCKBwHjXgIzWWEISxYa516iwLRB69iENc-nrq0EUNbcKIH6hO4m2aDmYU5ZdMJwVq4VuYDG92kbi-oYoNUYTewwzDby9QM68ePJ4cb4q6VVnYRce1GSci2TrMWPaumqmWMzZy7lk2GlEIumaz0kzggF710OPJBbbcDla_DWQEB13xys07pg7u0frPLcPUTCtOCog98fHhLsCfC7gZYPmrGYsVimhzOZ8e_Y9Wyk0Rm55mCGDYtOVMeqgHehdciiH24FJeVdZOifbUooK8apFBK0FH5nS_LD2t3f7UH7CTW3vGVVOkawtd93X7R3esuVIX9xymHnfclFekgdL7A5DFQCjofyAh7KmKRJPlKdQeL-YjIkpJdCmPGm-yBLQSd6Idtta8-6wk53SzcuotakSS5ZuWy0plA-7lp3FikKfQfuCqxDpM22Bm9KX4tvCqlP0uabGbgAbkrfHn3Z2mD5r9SrQMiBK-KXQwdp9uYNi1c6AGwEsF_19umUVZLkCXFX1FZJPFDY-moJ63ewfHnlysFGRjNeRf5bRhcVZIefsyW2I_ORSfBCxmKEDGt5kr5S-ZRKJ0tzP5SuLeASM6tS50Db5pv3IOYIHytXGlKIR4i1p8%3D%26xkcb%3DSoDf-_M3Wob4Xtxe950KbzkdCdPP%26p%3D4%26atk%3D1gj89ts0pi5cn800%26prforceGroups%3D%26from%3Dserp&mclk=jk%3Da25252c21ecfd651%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj89ts0bi5cn800%26atk%3D1gj89ts0pi5cn800%26spon%3D1%26where%3DWashington+DC%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,Zillow,"Washington, DC",Today,
Washington DC,Software Engineer,Application Developer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0ANMurRYyPEXg08u6OamUd1Mvhk-zhFSGYIZgoJR86UvQ_x0FKK8TrZPiQOr9Yn9As7bbuLaSDi_YU6g6j-9zXXakaI2DjE2R8KxdMkDiXDtXOb_wvtHlo1W_mwFkfel9MCRKgyEpwSBrFHUmoTJzMf59ixNoK28VIKZObzhyvEiVGUY0JqhlGyL1Xq6E6XL4bOrcLeBehHneztVzW_57vdPyzz-ZoH-BBI4XptK3UO4jvNggibaOmRQJp6Bs6DOI8HjSLdGfs_p2EKY9k2cfhFNwzE6uHpBlsLmjB-FWyk7-4svUx6gagTrW3kb32H06hW36UyI1kGeFRbjc2ZT4DqN2p-ZfiyVTb643TeIga7E8gw54AAC9goKUEPK0mMfQLk-tC_bgCZl2Lp5Y_At-UUCOgddlEsghrcYwBdlyjlvsGCu0RFRYvhHSmGubYrGob40XUPQWx-vbZwDbtOoxfXbta6xVPQ7WwxJFIWLLgIs_VdSSIN5l-YgRgNUv2R5ExY7cM0pjZdayYB9fTmqIx8i-ZkoLktF7EJOIoT0ROHD7Tk80exZo-wbqB_zB1IzXhgwR96Uknpet97E4TocJkyIAx8SxvFXdtprOjtCblWVpeyZhdftulZ7ncjnSl51G9aQ7I5eoPM1shnmnNT5NJh41B_uPlseoNjZ03e_TftEtyvUrCuPkwMMVVXvM8y0Y7cRvGxYGrnt3UVuT4YD9gNNYEU-JPEyuPbwyKzgFioJutjerxGbueiM3w87_SIi794c6yHghcYXzB9HGc2OhTZB4T9AxatR507ETNk1qtdoKDiFDdPC6IEHf-_M0dcLePlzQztv4bX5IX0GyBRVVc-V69BlZf4zrSO7qxwPGVf-J7LRTc9puhH5dGx7s_pVOGnWCzcI5GCvUYersF_z_qfcOn-54V6OQPgy2Bi4ymVe-G1WyRuUulysnCyd7yb0sgs1UWuBt0WQJ1au8G-HZbePV9LfTcuBouox6ELLwmEiOU4Vhmp4iy1TT_MIZuMJnKyIy57UtpfhwbCwG40Ldah5r1KpIxWcss%3D%26xkcb%3DSoBC-_M3Wob4Xtxe950JbzkdCdPP%26p%3D5%26atk%3D1gj89ts0pi5cn800%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D15c0f6a440d4a0e6%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj89ts0bi5cn800%26atk%3D1gj89ts0pi5cn800%26spon%3D1%26where%3DWashington+DC%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,Zillow,"Washington, DC", 2 days ago,
Washington DC,Software Engineer,Access Database Developer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0DdLn5tXN_RiyJSiFodarGZFJKa8s6F6AK0THPBWp05MQ8YpkChHhHdIeDZgD_0kAuK_nUSrrCS504rGhDKkjBTsMAV7JrJz-ibZdau7jUY5KW74eHmUmBUZZDRO_ByKM4w6Jr0ERWGKFEnzWLDA6v-xyjHQ39Zrassj9NshjD2uMou5FuIOPDZLF0ho-QJzTzJXmMGIGTetAKbSa08rh7v_o8pxHtc2Az_8K1ACuvWMhU8K7p15yI0u6cAih87U6FMx7TRoDiZA7p6qyu_aFioZ3G-TJsSKwSmdcOlT8kkyXDHjGD0_imiAfvwC_mtPfh0_psTqCkuoY2WpOwaRNwPGdAfIkB3PKI6N80fFYMqEPJVhyzRdiGhXrQvuMAhtSOkVFAWW-FzOxErREZeOaHpZJDS6yz65mVocwX7c8YSZFge5OImLjdQ_fsm7OPSBjlDreslDl_f7RF2sD3VU04Wm-4l7-R9YmeetCWWJPWqotp60Aaa484_WnJTLbKu1CWi3NWpexcAqIK8tXoR0387VhXI5YwwkmSSSe_AZq_1v89dO2fB1bDq%26xkcb%3DSoD2-_M3Wob4Xtxe950IbzkdCdPP%26p%3D6%26atk%3D1gj89ts0pi5cn800%26prevUrl%3Dhttps%253A%252F%252Fwww.indeed.com%252Fm%252Fjobs%253Fq%253DSoftware%252BEngineer%2526start%253D0%2526l%253DWashington%252BDC%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D538e05041e8e0f0e%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj89ts0bi5cn800%26atk%3D1gj89ts0pi5cn800%26spon%3D1%26where%3DWashington+DC%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,Connsci,"Hybrid remote in Gaithersburg, MD 20878",Today,
Washington DC,Software Engineer,Senior Software Engineer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0DsDX5o9b5V-ZoTduOWK2K2rI-TBY3rgZ2oD5lAV7ECGnGunHxUrxk7Vt1p23HlwnuccQwJ8X25ATbVyNNIrc1u_EMoDCENcCfrQiXO2IMSAfJ4aSvvDJ2MwICDKzezDsfljUxWWqOpRHmujxP19TsuYCHMQ_s22my-kOdNfiUTkU8qxLRhf3JJfCcPQjB-J7GlYejhem0jiJ8qM3rDk32Ia_Birw4bZwnDN1FreiAVCmx1e9zczobEt3NCtdBuI0WFR-W2oGQ3MeF_j3fe_NJQcyxo0SPcD56eIbS-cLJkBOzewvp4plXs39OvTmbV5-eaQneZ_WdNMqzY7lkWwZmU2WLUEnZ1DUJo2V0D5kDnJYQEHb7tM2zmjOE1LKFhXtlm7VK0ZbkrhSLcIUuQV8oJwuSknH4oFVKi5pW7qIozUFVlnyjodxbtuBTmPTTCi8mGxHkeVjJL0J0Un75fydR3VUSqmwRPBR9crt9ZTyvL3ucoL1zsBTe-VWnJOjeguXkftPm4EVqvFbNGcfA-mkbM7Lj8yISBh9FOMGS0Y__x8pswpHVRzdD1Ee-2oCcJ7z4%3D%26xkcb%3DSoB4-_M3Wob4Xtxe950PbzkdCdPP%26p%3D7%26atk%3D1gj89ts0pi5cn800%26prevUrl%3Dhttps%253A%252F%252Fwww.indeed.com%252Fm%252Fjobs%253Fq%253DSoftware%252BEngineer%2526start%253D0%2526l%253DWashington%252BDC%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D9a1560d976ada37d%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj89ts0bi5cn800%26atk%3D1gj89ts0pi5cn800%26spon%3D1%26where%3DWashington+DC%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,OBMedia,"Remote in Alexandria, VA", 30+ days ago,
Washington DC,Software Engineer,Principal Software Engineer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0ANMurRYyPEXg08u6OamUd1Mvhk-zhFSGYIZgoJR86UvQ_x0FKK8TrZPiQOr9Yn9AvAJARfeSO7KFhlcUOIsaFGB2TZHhqSvikgLdX46UwtbpmOcOE06A_bW_Np9jbMwuGrFSOJVGD5nFv1zfzkzWOcQ-nEqsVMcFvkYkeMficIy5OGnhdYQBxFYrqpc_nMfXbmr1D9biLFdvEefKCNTYJqlqmVdn8SK1hIXpUw5OvBsd5CG_aw38qJlThy5tZNfB12aO-IkTYSSLIZgRWlwpt0-5DwKwBB3hcwznnyv0VqWtuFXID9qeGy8ojpw3ivXfEL3QUo9zYg1uwzHD3TKqqD0zKLKaKzLFlF1HHVdDvrTgcMhMRfloGfahwwtmvC7hm7neUxeCDOvw2ZFVbTFKgkcHZAm7nvZTw0EnekB7ewIFECSBE45JJPud8pPI0P4x3qrswOjNuLw-yEtBJEMfEhEcedtoOLtLIXaa5-Pg6uoWsvn05Y-AbRphN9cK01PZ5Yvvt03iCsKAMuAA3bHyWw340ufTDueLdC-bOdknxNtloPBJ6JKMyA7tQROk3xkhDMjWczLL7NlkfAxqKvWkPoFByVQKlCGr2v1q6AMnAkjZsenWb8Pj_DadPQhxz-46LKq6zErPtrooRPcDE8JbWT0X0jBfv7EQQ6iT0WdFCiA8pkyGaVZYahpGEW5_d--65u_H63hvODIuFLh17oey951rA80Yx2BlmvdFIVTHaVKtvz-RfvGuNil11ZV2uCY47ZCwmuNif1b81S0qwOmub7tDH7-19cyO734dt1JswEyuS3z0iBG2Z6t-khGOJ2c9fPfqb1NF6595vcl6GXUjcOL8CTpASyZeIaG1MZpHQiwSAsK6VqOHCFuP7oAvrR-co5JvxJjRVBz_fjhV89Qu9L4PN01ZlHkYbK8ERIFlSFPspsG2R9-LgeXEWKe7s5oONdmvq7j8FayzZi-c6uz7yW8viRBpLW1ZFBioFegpTJw-56tYTOyNV9jqy7Dd5GLICagP64CNfHVHVCM7fJJKXND0zoAhQ_jPI%3D%26xkcb%3DSoDM-_M3Wob4Xtxe950ObzkdCdPP%26p%3D8%26atk%3D1gj89ts0pi5cn800%26prforceGroups%3D%26from%3Dserp&mclk=jk%3Dbb6a8e6ae1489de1%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj89ts0bi5cn800%26atk%3D1gj89ts0pi5cn800%26spon%3D1%26where%3DWashington+DC%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,Zillow,"Washington, DC", 30+ days ago,
Washington DC,Software Engineer,Electronic/Embedded Systems Engineer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0CG0o8mdt8WR1kLcff_iw6T5Woz_oiMlYAoaMywBbSR84vWN91aHnxCIVQpvIWX6-siHTpdk4C2hRP5Cxj26k8XpFC6DD8nAm5n9HJQaNMFa_QfXvqv8d6fG2-K0kVigFR2VNIUpRgnU4wgcC-lM9XgUDlGfi7nlF-PUZw2MITorJUog0xGZl3Nzkft0YicGholA6YmTIivACnSwxnHGQ_6_OlIH5a-XwCP5NDnEBmsXloSsEBsaq8FD0nA4ch2fU8NrKAasTkUSCDYp0hW8u4KqltzqswYE5OWmSw6ccOP8Xa2RoYmAEegd3vxYvLvV7rrE6r2T6_64bQlKV46sniQrHRTVYBzuUBV6hTmVVCNcGpE382H6uAFnSjMC_pKmcLLrvVLq5HBWiAp_4N5FnmFwJyuHjDBmyVAD9ThajBxEfXnVnO3IWayV8lyL1XrbdEv-FpWtXPGN9jX4TpuZOhEoAc0HcfWHSf2udagRZ90Y0r2era1YqF5OxXXufJAF7uFNCzNmtcrKtbW9pzyYOdpE9nFWdSvsill2R3-KEk3YH-u4gX_uGNkjZm_Al486fMB8lk5UCvGAQ%3D%3D%26xkcb%3DSoDl-_M3Wob4XsRe950LbzkdCdPP%26p%3D9%26atk%3D1gj89ts0pi5cn800%26prevUrl%3Dhttps%253A%252F%252Fwww.indeed.com%252Fm%252Fjobs%253Fq%253DSoftware%252BEngineer%2526start%253D0%2526l%253DWashington%252BDC%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D59429993f164b363%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj89ts0bi5cn800%26atk%3D1gj89ts0pi5cn800%26spon%3D1%26where%3DWashington+DC%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,"Cardinal Scientific, Inc.","Waldorf, MD 20602", 30+ days ago,Estimated $95.4K - $121K a year
